date;followers;following;fans
2013-04-17;3725;350;3375
2013-04-18;3730;349;3381
2013-04-19;3736;350;3386
2013-04-20;3732;349;3383
2013-04-21;3737;349;3388
2013-04-22;3739;349;3390
2013-04-23;3741;349;3392
2013-04-24;3740;349;3391
2013-04-26;3741;350;3391
2013-04-27;3741;350;3391
2013-04-28;3746;349;3397
2013-04-29;3744;350;3394
2013-04-30;3745;350;3395
2013-05-01;3749;350;3399
2013-05-02;3747;350;3397
2013-05-03;3747;350;3397
2013-05-04;3748;350;3398
2013-05-06;3745;350;3395
2013-05-07;3752;350;3402
2013-05-08;3754;350;3404
2013-05-09;3756;350;3406
2013-05-10;3749;350;3399
2013-05-11;3739;350;3389
2013-05-12;3742;350;3392
2013-05-13;3746;350;3396
2013-05-14;3766;350;3416
2013-05-15;3783;350;3433
2013-05-17;3787;353;3434
2013-05-18;3797;354;3443
2013-05-19;3796;354;3442
2013-05-20;3794;354;3440
2013-05-21;3798;354;3444
2013-05-22;3796;354;3442
2013-05-23;3799;355;3444
2013-05-24;3803;355;3448
2013-05-25;3815;355;3460
2013-05-27;3816;355;3461
2013-05-28;3819;354;3465
2013-05-29;3822;354;3468
2013-05-30;3826;354;3472
2013-05-31;3826;353;3473
2013-06-01;3830;353;3477
2013-06-02;3829;353;3476
2013-06-03;3839;353;3486
2013-06-05;3836;353;3483
2013-06-06;3840;353;3487
2013-06-07;3838;354;3484
2013-06-08;3841;354;3487
2013-06-09;3844;354;3490
2013-06-10;3845;353;3492
2013-06-11;3843;353;3490
2013-06-20;3868;358;3510
2013-06-21;3872;358;3514
2013-06-22;3877;358;3519
2013-06-23;3876;359;3517
2013-06-24;3879;359;3520
2013-06-26;3882;358;3524
2013-06-27;3884;358;3526
2013-06-28;3889;358;3531
2013-06-29;3892;359;3533
2013-06-30;3893;359;3534
2013-07-01;3896;359;3537
2013-07-02;3903;359;3544
2013-07-04;3905;359;3546
2013-07-05;3908;360;3548
2013-07-06;3908;360;3548
2013-07-07;3908;360;3548
2013-07-08;3910;360;3550
2013-07-09;3918;361;3557
2013-07-10;3918;361;3557
2013-07-11;3923;361;3562
2013-07-13;3926;362;3564
2013-07-14;3928;362;3566
2013-07-15;3930;362;3568
2013-07-16;3935;363;3572
2013-07-17;3941;365;3576
2013-07-18;3946;365;3581
2013-07-19;3949;365;3584
2013-07-20;3949;365;3584
2013-07-22;3952;365;3587
2013-07-23;3957;365;3592
2013-07-24;3960;365;3595
2013-07-25;3964;365;3599
2013-07-26;3967;366;3601
2013-07-27;3967;367;3600
2013-07-28;3964;366;3598
2013-07-29;3962;367;3595
2013-07-31;3967;367;3600
2013-08-01;3968;369;3599
2013-08-02;3969;369;3600
2013-08-03;3973;368;3605
2013-08-04;3975;368;3607
2013-08-05;3976;368;3608
2013-08-06;3983;368;3615
2013-08-08;3986;369;3617
2013-08-09;3990;370;3620
2013-08-10;3993;373;3620
2013-08-11;3993;373;3620
2013-08-12;3994;373;3621
2013-08-13;3997;374;3623
2013-08-14;3999;375;3624
2013-08-16;4005;376;3629
2013-08-17;4011;376;3635
2013-08-18;4012;377;3635
2013-08-19;4013;377;3636
2013-08-20;4014;379;3635
2013-08-21;4019;380;3639
2013-08-23;4022;380;3642
2013-08-24;4024;380;3644
2013-08-25;4027;380;3647
2013-08-26;4028;379;3649
2013-08-27;4029;379;3650
2013-08-28;4030;379;3651
2013-08-29;4035;380;3655
2013-08-30;4038;381;3657
2013-09-01;4042;381;3661
2013-09-02;4040;381;3659
2013-09-03;4044;382;3662
2013-09-04;4046;383;3663
2013-09-05;4052;383;3669
2013-09-06;4062;384;3678
2013-09-08;4064;384;3680
2013-09-09;4065;384;3681
2013-09-10;4069;384;3685
