date;followers;following;fans
2014-02-22;1031;28;1003
2014-02-25;1032;28;1004
2014-02-27;1033;28;1005
2014-03-01;1034;28;1006
2014-03-03;1035;28;1007
2014-03-05;1034;28;1006
2014-03-07;1034;29;1005
2014-03-09;1033;29;1004
2014-03-11;1033;29;1004
2014-03-13;1034;29;1005
2014-03-15;1035;29;1006
2014-03-17;1040;33;1007
2014-03-19;1038;33;1005
2014-03-21;1038;32;1006
2014-03-23;1039;32;1007
2014-03-25;1038;32;1006
2014-03-27;1038;32;1006
2014-03-29;1040;32;1008
2014-03-31;1041;32;1009
2014-04-02;1042;32;1010
2014-04-04;1043;32;1011
2014-04-06;1043;32;1011
2014-04-08;1043;32;1011
2014-04-10;1043;32;1011
2014-04-12;1043;33;1010
2014-04-14;1043;33;1010
2014-04-16;1043;33;1010
2014-04-18;1042;33;1009
2014-04-20;1042;33;1009
2014-04-22;1041;33;1008
2014-04-24;1040;33;1007
2014-04-26;1042;33;1009
2014-04-28;1041;33;1008
2014-04-30;1042;33;1009
2014-05-02;1043;33;1010
2014-05-04;1043;32;1011
