date;followers;following;fans
2013-04-18;2184;672;1512
2013-04-20;2186;672;1514
2013-04-22;2183;672;1511
2013-04-24;2187;672;1515
2013-04-26;2190;672;1518
2013-04-28;2196;672;1524
2013-04-30;2201;672;1529
2013-05-02;2211;672;1539
2013-05-04;2218;672;1546
2013-05-06;2219;672;1547
2013-05-08;2227;672;1555
2013-05-10;2230;672;1558
2013-05-12;2216;665;1551
2013-05-14;2229;669;1560
2013-05-16;2244;672;1572
2013-05-18;2245;672;1573
2013-05-20;2248;672;1576
2013-05-22;2252;672;1580
2013-05-24;2257;672;1585
2013-05-26;2264;672;1592
2013-05-28;2269;672;1597
2013-05-30;2269;673;1596
2013-06-01;2272;673;1599
2013-06-03;2273;673;1600
2013-06-05;2278;673;1605
2013-06-07;2285;679;1606
2013-06-09;2286;679;1607
2013-06-11;2285;679;1606
2013-06-20;2298;679;1619
2013-06-22;2301;679;1622
2013-06-24;2305;679;1626
2013-06-26;2306;679;1627
2013-06-28;2309;679;1630
2013-06-30;2312;679;1633
2013-07-02;2315;679;1636
2013-07-04;2323;678;1645
2013-07-06;2327;678;1649
2013-07-08;2328;678;1650
2013-07-10;2335;678;1657
2013-07-12;2339;678;1661
2013-07-14;2345;678;1667
2013-07-16;2348;678;1670
2013-07-18;2349;678;1671
2013-07-20;2344;678;1666
2013-07-22;2350;678;1672
2013-07-24;2353;677;1676
2013-07-26;2363;677;1686
2013-07-28;2361;676;1685
2013-07-30;2366;678;1688
2013-08-01;2371;679;1692
2013-08-03;2375;679;1696
2013-08-05;2378;679;1699
2013-08-07;2383;679;1704
2013-08-09;2383;680;1703
2013-08-11;2382;680;1702
2013-08-13;2384;680;1704
2013-08-15;2390;680;1710
2013-08-17;2393;680;1713
2013-08-19;2393;680;1713
2013-08-21;2399;681;1718
2013-08-23;2399;681;1718
2013-08-25;2400;684;1716
2013-08-27;2401;684;1717
2013-08-29;2402;684;1718
2013-08-31;2416;684;1732
2013-09-02;2418;684;1734
2013-09-04;2421;684;1737
2013-09-06;2428;684;1744
2013-09-08;2433;684;1749
2013-09-10;2435;684;1751
2013-09-12;2439;685;1754
2013-09-14;2440;685;1755
2013-09-16;2443;685;1758
2013-09-18;2446;688;1758
2013-09-20;2452;688;1764
2013-09-22;2456;689;1767
2013-09-24;2454;689;1765
2013-09-26;2456;689;1767
2013-09-28;2455;689;1766
2013-09-30;2454;689;1765
2013-10-02;2452;694;1758
2013-10-04;2459;695;1764
2013-10-06;2463;695;1768
2013-10-08;2468;696;1772
2013-10-10;2475;696;1779
2013-10-12;2472;696;1776
2013-10-14;2476;696;1780
2013-10-16;2486;697;1789
2013-10-18;2484;697;1787
2013-10-20;2483;697;1786
2013-10-22;2486;698;1788
2013-10-24;2484;698;1786
2013-10-26;2486;698;1788
