date;followers;following;fans
2013-04-17;170492;22;170470
2013-04-18;170611;22;170589
2013-04-19;170732;22;170710
2013-04-20;170930;22;170908
2013-04-21;171077;22;171055
2013-04-22;171223;22;171201
2013-04-23;171378;22;171356
2013-04-24;171531;22;171509
2013-04-25;171647;22;171625
2013-04-26;171757;22;171735
2013-04-27;171863;22;171841
2013-04-28;171991;22;171969
2013-04-29;172122;22;172100
2013-04-30;172248;22;172226
2013-05-01;172332;22;172310
2013-05-02;172474;22;172452
2013-05-03;172573;22;172551
2013-05-04;172700;22;172678
2013-05-05;172790;22;172768
2013-05-06;172889;22;172867
2013-05-07;172982;22;172960
2013-05-08;173074;22;173052
2013-05-09;173156;22;173134
2013-05-10;173244;22;173222
2013-05-11;173169;22;173147
2013-05-12;173250;22;173228
2013-05-13;173383;22;173361
2013-05-14;173545;22;173523
2013-05-15;173740;22;173718
2013-05-16;173860;22;173838
2013-05-17;173979;22;173957
2013-05-18;174082;22;174060
2013-05-19;174175;22;174153
2013-05-20;174300;22;174278
2013-05-21;174390;22;174368
2013-05-22;174473;22;174451
2013-05-23;174598;22;174576
2013-05-24;174722;22;174700
2013-05-25;174847;22;174825
2013-05-26;175007;22;174985
2013-05-27;175169;22;175147
2013-05-28;175299;22;175277
2013-05-29;175406;22;175384
2013-05-30;175547;22;175525
2013-05-31;175668;22;175646
2013-06-01;175810;22;175788
2013-06-02;175944;22;175922
2013-06-03;176153;22;176131
2013-06-04;176290;22;176268
2013-06-05;176417;22;176395
2013-06-06;176553;22;176531
2013-06-07;176698;22;176676
2013-06-08;176804;22;176782
2013-06-09;176900;22;176878
2013-06-10;177005;22;176983
2013-06-11;177101;22;177079
2013-06-20;178094;22;178072
2013-06-21;178191;22;178169
2013-06-22;178303;22;178281
2013-06-23;178387;22;178365
2013-06-24;178501;22;178479
2013-06-25;178589;22;178567
2013-06-26;178664;22;178642
2013-06-27;178768;22;178746
2013-06-28;178877;22;178855
2013-06-29;178927;22;178905
2013-06-30;178997;22;178975
2013-07-01;179069;22;179047
2013-07-02;179164;22;179142
2013-07-03;179227;22;179205
2013-07-04;179327;22;179305
2013-07-05;179393;22;179371
2013-07-06;179456;22;179434
2013-07-07;179535;22;179513
2013-07-08;179614;22;179592
2013-07-09;179680;22;179658
2013-07-10;179756;22;179734
2013-07-11;179842;22;179820
2013-07-12;179906;22;179884
2013-07-13;179979;22;179957
2013-07-14;180052;22;180030
2013-07-15;180114;22;180092
2013-07-16;180186;22;180164
2013-07-17;180220;22;180198
2013-07-18;180291;22;180269
2013-07-19;180371;22;180349
2013-07-20;180427;22;180405
2013-07-21;180480;22;180458
2013-07-22;180525;22;180503
2013-07-23;180604;22;180582
2013-07-24;180679;22;180657
2013-07-25;180747;22;180725
2013-07-26;180806;22;180784
2013-07-27;180820;22;180798
2013-07-28;180829;22;180807
