date;followers;following;fans
2013-04-17;67759;39;67720
2013-04-18;67855;39;67816
2013-04-19;67945;39;67906
2013-04-20;68097;39;68058
2013-04-21;68179;39;68140
2013-04-22;68311;39;68272
2013-04-23;68426;39;68387
2013-04-24;68548;39;68509
2013-04-25;68666;39;68627
2013-04-26;68740;39;68701
2013-04-27;68826;39;68787
2013-04-28;68967;39;68928
2013-04-29;69073;39;69034
2013-04-30;69209;39;69170
2013-05-01;69320;39;69281
2013-05-02;69442;39;69403
2013-05-03;69575;39;69536
2013-05-04;69700;39;69661
2013-05-05;69827;39;69788
2013-05-06;69947;39;69908
2013-05-07;70060;39;70021
2013-05-08;70162;39;70123
2013-05-09;70275;39;70236
2013-05-10;70404;39;70365
2013-05-11;70392;39;70353
2013-05-12;70463;39;70424
2013-05-13;70573;39;70534
2013-05-14;70734;39;70695
2013-05-15;70892;39;70853
2013-05-16;71045;39;71006
2013-05-17;71151;39;71112
2013-05-18;71264;39;71225
2013-05-19;71363;39;71324
2013-05-20;71441;39;71402
2013-05-21;71554;39;71515
2013-05-22;71704;39;71665
2013-05-23;71845;39;71806
2013-05-24;71944;39;71905
2013-05-25;72051;39;72012
2013-05-26;72165;39;72126
2013-05-27;72238;39;72199
2013-05-28;72370;39;72331
2013-05-29;72484;39;72445
2013-05-30;72606;39;72567
2013-05-31;72728;39;72689
2013-06-01;72848;39;72809
2013-06-02;72964;39;72925
2013-06-03;73109;39;73070
2013-06-04;73246;39;73207
2013-06-05;73393;39;73354
2013-06-06;73518;39;73479
2013-06-07;73626;39;73587
2013-06-08;73713;39;73674
2013-06-09;73833;39;73794
2013-06-10;73941;39;73902
2013-06-11;74004;39;73965
2013-06-20;75088;39;75049
2013-06-21;75207;39;75168
2013-06-22;75345;39;75306
2013-06-23;75432;39;75393
2013-06-24;75542;39;75503
2013-06-25;75649;39;75610
2013-06-26;75769;39;75730
2013-06-27;75899;39;75860
2013-06-28;76030;39;75991
2013-06-29;76130;39;76091
2013-06-30;76207;39;76168
2013-07-01;76290;39;76251
2013-07-02;76412;39;76373
2013-07-03;76515;39;76476
2013-07-04;76621;39;76582
2013-07-05;76714;39;76675
2013-07-06;76782;39;76743
2013-07-07;76845;39;76806
2013-07-08;76918;39;76879
2013-07-09;76988;39;76949
2013-07-10;77069;39;77030
2013-07-11;77163;39;77124
2013-07-12;77255;39;77216
2013-07-13;77322;39;77283
2013-07-14;77390;39;77351
2013-07-15;77474;39;77435
2013-07-16;77557;39;77518
2013-07-17;77636;39;77597
2013-07-18;77728;39;77689
2013-07-19;77810;39;77771
2013-07-20;77875;39;77836
2013-07-21;77934;39;77895
2013-07-22;77987;39;77948
2013-07-23;78048;39;78009
2013-07-24;78143;39;78104
2013-07-25;78256;39;78217
2013-07-26;78321;39;78282
2013-07-27;78379;39;78340
2013-07-28;78434;39;78395
2013-07-29;78536;39;78497
2013-07-30;78624;39;78585
2013-07-31;78710;39;78671
2013-08-01;78795;39;78756
2013-08-02;78875;39;78836
2013-08-03;78935;39;78896
2013-08-04;78983;39;78944
2013-08-05;79053;39;79014
2013-08-06;79141;39;79102
2013-08-07;79212;39;79173
2013-08-08;79307;39;79268
2013-08-09;79364;39;79325
2013-08-10;79445;39;79406
2013-08-11;79513;39;79474
2013-08-12;79593;39;79554
2013-08-13;79660;39;79621
2013-08-14;79738;39;79699
2013-08-15;79818;39;79779
2013-08-16;79882;39;79843
2013-08-17;79966;39;79927
2013-08-18;80059;39;80020
2013-08-19;80150;39;80111
2013-08-20;80278;39;80239
2013-08-21;80363;39;80324
2013-08-22;80452;39;80413
2013-08-23;80533;39;80494
2013-08-24;80613;39;80574
2013-08-25;80699;39;80660
2013-08-26;80764;39;80725
2013-08-27;80845;39;80806
2013-08-28;80915;39;80876
2013-08-29;81055;39;81016
2013-08-30;81123;39;81084
2013-08-31;81225;39;81186
2013-09-01;81298;39;81259
2013-09-02;81530;39;81491
2013-09-03;81682;39;81643
2013-09-04;81806;39;81767
2013-09-05;81926;39;81887
2013-09-06;82014;39;81975
2013-09-07;82122;39;82083
2013-09-08;82197;39;82158
2013-09-09;82292;39;82253
2013-09-10;82391;39;82352
2013-09-11;82489;39;82450
2013-09-12;82593;39;82554
2013-09-13;82693;39;82654
2013-09-14;82811;39;82772
2013-09-15;82912;39;82873
2013-09-16;83018;39;82979
2013-09-17;83124;39;83085
2013-09-18;83223;39;83184
2013-09-19;83329;39;83290
2013-09-20;83434;39;83395
2013-09-21;83538;39;83499
2013-09-22;83626;39;83587
2013-09-23;83861;39;83822
2013-09-24;84014;39;83975
2013-09-25;84158;39;84119
2013-09-26;84268;39;84229
2013-09-27;84382;39;84343
