date;followers;following;fans
2013-04-18;1715;229;1486
2013-04-20;1713;229;1484
2013-04-22;1712;229;1483
2013-04-24;1713;229;1484
2013-04-26;1714;229;1485
2013-04-28;1713;229;1484
2013-04-30;1713;229;1484
2013-05-02;1715;229;1486
2013-05-04;1717;229;1488
2013-05-06;1718;229;1489
2013-05-08;1715;229;1486
2013-05-10;1715;229;1486
2013-05-12;1697;228;1469
2013-05-14;1699;228;1471
2013-05-16;1704;229;1475
2013-05-18;1716;229;1487
2013-05-20;1716;229;1487
2013-05-22;1715;229;1486
2013-05-24;1718;229;1489
2013-05-26;1717;229;1488
2013-05-28;1715;229;1486
2013-05-30;1714;229;1485
2013-06-01;1714;229;1485
2013-06-03;1714;229;1485
2013-06-05;1714;229;1485
2013-06-07;1714;229;1485
2013-06-09;1715;229;1486
2013-06-11;1714;229;1485
2013-06-20;1712;229;1483
2013-06-22;1712;229;1483
2013-06-24;1712;229;1483
2013-06-26;1712;229;1483
2013-06-28;1712;229;1483
2013-06-30;1711;229;1482
2013-07-02;1712;229;1483
2013-07-04;1712;229;1483
2013-07-06;1716;229;1487
2013-07-08;1715;229;1486
2013-07-10;1716;229;1487
2013-07-12;1717;229;1488
2013-07-14;1714;229;1485
2013-07-16;1714;229;1485
2013-07-18;1713;229;1484
2013-07-20;1713;248;1465
2013-07-22;1711;249;1462
2013-07-24;1711;249;1462
2013-07-26;1711;249;1462
2013-07-28;1707;248;1459
2013-07-30;1706;249;1457
2013-08-01;1705;249;1456
2013-08-03;1703;249;1454
2013-08-05;1703;249;1454
2013-08-07;1705;249;1456
2013-08-09;1705;248;1457
2013-08-11;1704;248;1456
2013-08-13;1705;248;1457
2013-08-15;1705;248;1457
2013-08-17;1703;248;1455
2013-08-19;1703;248;1455
2013-08-21;1704;248;1456
2013-08-23;1704;248;1456
2013-08-25;1704;248;1456
2013-08-27;1703;248;1455
2013-08-29;1704;248;1456
2013-08-31;1705;248;1457
2013-09-02;1705;248;1457
2013-09-04;1706;248;1458
2013-09-06;1707;248;1459
2013-09-08;1704;247;1457
2013-09-10;1704;247;1457
2013-09-12;1703;247;1456
2013-09-14;1703;247;1456
2013-09-16;1703;248;1455
2013-09-18;1703;248;1455
2013-09-20;1703;248;1455
2013-09-22;1702;248;1454
2013-09-24;1701;248;1453
2013-09-26;1702;248;1454
2013-09-28;1702;248;1454
2013-09-30;1701;248;1453
2013-10-02;1701;248;1453
2013-10-04;1702;248;1454
2013-10-06;1702;248;1454
2013-10-08;1702;248;1454
2013-10-10;1702;248;1454
2013-10-12;1702;248;1454
2013-10-14;1702;248;1454
2013-10-16;1703;248;1455
2013-10-18;1703;248;1455
2013-10-20;1702;248;1454
2013-10-22;1702;248;1454
2013-10-24;1702;248;1454
2013-10-26;1701;248;1453
2013-10-28;1699;248;1451
2013-10-30;1699;249;1450
2013-11-01;1700;249;1451
2013-11-03;1700;249;1451
2013-11-05;1701;249;1452
2013-11-07;1704;249;1455
2013-11-09;1702;249;1453
2013-11-11;1700;249;1451
2013-11-13;1700;249;1451
2013-11-15;1698;249;1449
2013-11-17;1697;249;1448
2013-11-19;1695;249;1446
2013-11-21;1696;249;1447
2013-11-23;1695;249;1446
2013-11-25;1695;249;1446
