date;followers;following;fans
2013-04-18;2189;445;1744
2013-04-20;2190;448;1742
2013-04-22;2192;448;1744
2013-04-24;2192;450;1742
2013-04-26;2193;450;1743
2013-04-28;2195;450;1745
2013-04-30;2197;450;1747
2013-05-02;2198;450;1748
2013-05-04;2198;450;1748
2013-05-06;2200;450;1750
2013-05-08;2201;453;1748
2013-05-10;2206;455;1751
2013-05-12;2202;453;1749
2013-05-14;2205;453;1752
2013-05-16;2210;456;1754
2013-05-18;2216;458;1758
2013-05-20;2218;460;1758
2013-05-22;2216;463;1753
2013-05-24;2221;465;1756
2013-05-26;2221;465;1756
2013-05-28;2221;466;1755
2013-05-30;2224;471;1753
2013-06-01;2226;475;1751
2013-06-03;2226;475;1751
2013-06-05;2225;476;1749
2013-06-07;2223;476;1747
2013-06-09;2227;478;1749
2013-06-11;2229;478;1751
2013-06-20;2235;484;1751
2013-06-22;2235;485;1750
2013-06-24;2236;487;1749
2013-06-26;2241;489;1752
2013-06-28;2243;490;1753
2013-06-30;2243;490;1753
2013-07-02;2244;490;1754
2013-07-04;2245;491;1754
2013-07-06;2249;494;1755
2013-07-08;2248;494;1754
2013-07-10;2249;494;1755
2013-07-12;2247;494;1753
2013-07-14;2251;497;1754
2013-07-16;2251;498;1753
2013-07-18;2250;501;1749
2013-07-20;2250;503;1747
2013-07-22;2249;503;1746
2013-07-24;2251;505;1746
2013-07-26;2250;505;1745
2013-07-28;2251;505;1746
2013-07-30;2250;505;1745
2013-08-01;2251;504;1747
2013-08-03;2250;505;1745
2013-08-05;2250;505;1745
2013-08-07;2251;505;1746
2013-08-09;2250;506;1744
2013-08-11;2251;506;1745
2013-08-13;2251;508;1743
2013-08-15;2252;508;1744
2013-08-17;2255;508;1747
2013-08-19;2253;509;1744
2013-08-21;2250;511;1739
2013-08-23;2255;512;1743
2013-08-25;2254;512;1742
2013-08-27;2255;512;1743
2013-08-29;2256;512;1744
2013-08-31;2259;511;1748
2013-09-02;2259;512;1747
2013-09-04;2257;511;1746
2013-09-06;2257;511;1746
2013-09-08;2259;513;1746
2013-09-10;2259;514;1745
2013-09-12;2260;518;1742
2013-09-14;2261;519;1742
2013-09-16;2261;519;1742
2013-09-18;2260;519;1741
2013-09-20;2257;521;1736
2013-09-22;2257;522;1735
2013-09-24;2257;522;1735
2013-09-26;2256;523;1733
2013-09-28;2257;524;1733
2013-09-30;2256;524;1732
2013-10-02;2255;525;1730
2013-10-04;2251;525;1726
2013-10-06;2253;525;1728
2013-10-08;2251;525;1726
2013-10-10;2252;526;1726
2013-10-12;2253;526;1727
2013-10-14;2250;526;1724
2013-10-16;2251;526;1725
2013-10-18;2253;527;1726
2013-10-20;2253;527;1726
2013-10-22;2254;528;1726
2013-10-24;2254;533;1721
2013-10-26;2254;533;1721
2013-10-28;2256;534;1722
2013-10-30;2255;534;1721
2013-11-01;2257;534;1723
2013-11-03;2256;535;1721
2013-11-05;2255;541;1714
2013-11-07;2255;449;1806
2013-11-09;2257;453;1804
2013-11-11;2260;455;1805
2013-11-13;2257;455;1802
2013-11-15;2259;456;1803
2013-11-17;2257;456;1801
2013-11-19;2257;457;1800
2013-11-21;2261;458;1803
2013-11-23;2255;458;1797
2013-11-25;2254;459;1795
2013-11-27;2253;459;1794
2013-11-29;2255;459;1796
2013-12-01;2256;460;1796
2013-12-03;2253;463;1790
2013-12-05;2254;467;1787
2013-12-07;2255;468;1787
2013-12-09;2254;469;1785
2013-12-11;2263;476;1787
2013-12-13;2270;478;1792
2013-12-15;2269;479;1790
2013-12-17;2279;481;1798
2013-12-19;2274;482;1792
2013-12-21;2276;482;1794
2013-12-23;2277;481;1796
2013-12-25;2282;481;1801
2013-12-27;2283;482;1801
2013-12-29;2281;482;1799
2013-12-31;2281;482;1799
2014-01-02;2279;482;1797
2014-01-04;2278;481;1797
2014-01-06;2277;483;1794
2014-01-08;2277;483;1794
2014-01-10;2278;488;1790
2014-01-12;2281;491;1790
2014-01-14;2283;492;1791
2014-01-16;2281;494;1787
2014-01-18;2281;495;1786
2014-01-20;2282;495;1787
2014-01-22;2281;497;1784
2014-01-24;2287;499;1788
2014-01-26;2288;500;1788
2014-01-28;2287;503;1784
2014-01-30;2287;503;1784
2014-02-01;2289;508;1781
