date;followers;following;fans
2013-04-18;1929;487;1442
2013-04-20;1931;487;1444
2013-04-22;1933;487;1446
2013-04-24;1935;487;1448
2013-04-26;1941;487;1454
2013-04-28;1948;488;1460
2013-04-30;1954;488;1466
2013-05-02;1955;487;1468
2013-05-04;1960;488;1472
2013-05-06;1964;488;1476
2013-05-08;1966;490;1476
2013-05-10;1968;490;1478
2013-05-12;1965;486;1479
2013-05-14;1967;486;1481
2013-05-16;1979;490;1489
2013-05-18;1988;493;1495
2013-05-20;1995;494;1501
2013-05-22;2003;495;1508
2013-05-24;2010;494;1516
2013-05-26;2017;494;1523
2013-05-28;2025;494;1531
2013-05-30;2035;499;1536
2013-06-01;2042;500;1542
2013-06-03;2047;501;1546
2013-06-05;2050;505;1545
2013-06-07;2056;505;1551
2013-06-09;2059;507;1552
2013-06-11;2064;511;1553
2013-06-20;2093;520;1573
2013-06-22;2101;519;1582
2013-06-24;2107;522;1585
2013-06-26;2111;522;1589
2013-06-28;2121;524;1597
2013-06-30;2123;525;1598
2013-07-02;2128;526;1602
2013-07-04;2136;526;1610
2013-07-06;2142;526;1616
2013-07-08;2141;525;1616
2013-07-10;2142;525;1617
2013-07-12;2147;525;1622
2013-07-14;2149;525;1624
2013-07-16;2150;525;1625
2013-07-18;2155;525;1630
2013-07-20;2160;525;1635
2013-07-22;2163;525;1638
2013-07-24;2164;525;1639
2013-07-26;2166;525;1641
2013-07-28;2163;523;1640
2013-07-30;2166;526;1640
2013-08-01;2173;526;1647
2013-08-03;2179;526;1653
2013-08-05;2178;526;1652
2013-08-07;2183;526;1657
2013-08-09;2191;526;1665
2013-08-11;2193;528;1665
2013-08-13;2197;528;1669
2013-08-15;2199;528;1671
2013-08-17;2204;528;1676
2013-08-19;2203;529;1674
2013-08-21;2210;531;1679
2013-08-23;2216;531;1685
2013-08-25;2218;531;1687
2013-08-27;2223;531;1692
2013-08-29;2226;531;1695
2013-08-31;2230;531;1699
2013-09-02;2233;531;1702
2013-09-04;2236;532;1704
2013-09-06;2242;534;1708
2013-09-08;2247;536;1711
2013-09-10;2252;538;1714
2013-09-12;2254;539;1715
2013-09-14;2259;539;1720
2013-09-16;2263;539;1724
2013-09-18;2271;540;1731
2013-09-20;2280;544;1736
2013-09-22;2284;545;1739
2013-09-24;2288;549;1739
2013-09-26;2290;549;1741
2013-09-28;2297;551;1746
2013-09-29;2306;551;1755
2013-10-02;2310;551;1759
2013-10-04;2311;551;1760
2013-10-06;2317;551;1766
2013-10-08;2326;551;1775
2013-10-10;2329;552;1777
2013-10-12;2334;552;1782
2013-10-14;2341;552;1789
2013-10-16;2346;553;1793
2013-10-18;2345;553;1792
2013-10-20;2349;553;1796
2013-10-22;2353;553;1800
2013-10-24;2353;553;1800
2013-10-26;2358;553;1805
2013-10-28;2360;553;1807
2013-10-30;2366;553;1813
2013-11-01;2369;553;1816
2013-11-03;2375;552;1823
2013-11-05;2377;552;1825
2013-11-07;2376;553;1823
2013-11-09;2382;553;1829
2013-11-11;2386;553;1833
2013-11-13;2391;553;1838
2013-11-15;2398;552;1846
2013-11-17;2407;553;1854
2013-11-19;2406;553;1853
2013-11-21;2412;553;1859
2013-11-23;2415;553;1862
2013-11-25;2417;553;1864
2013-11-27;2418;554;1864
2013-11-29;2418;554;1864
2013-12-01;2430;554;1876
2013-12-03;2431;554;1877
2013-12-05;2435;556;1879
2013-12-07;2440;556;1884
2013-12-09;2444;556;1888
2013-12-11;2447;557;1890
2013-12-13;2453;559;1894
2013-12-15;2457;560;1897
2013-12-17;2461;561;1900
2013-12-19;2465;561;1904
