date;followers;following;fans
2013-07-17;1360;355;1005
2013-07-19;1360;355;1005
2013-07-21;1359;355;1004
2013-07-23;1361;355;1006
2013-07-25;1361;355;1006
2013-07-27;1360;355;1005
2013-07-29;1360;356;1004
2013-07-31;1360;356;1004
2013-08-02;1359;356;1003
2013-08-04;1358;356;1002
2013-08-06;1357;356;1001
2013-08-08;1357;356;1001
2013-08-10;1357;351;1006
2013-08-12;1357;350;1007
2013-08-14;1357;350;1007
2013-08-16;1357;350;1007
2013-08-18;1356;350;1006
2013-08-20;1356;350;1006
2013-08-22;1355;351;1004
2013-08-24;1355;351;1004
2013-08-26;1353;351;1002
2013-08-28;1351;351;1000
2013-08-30;1351;351;1000
