date;followers;following;fans
2013-04-18;1774;536;1238
2013-04-20;1773;535;1238
2013-04-22;1772;535;1237
2013-04-24;1774;537;1237
2013-04-26;1775;539;1236
2013-04-28;1780;539;1241
2013-04-30;1778;538;1240
2013-05-02;1778;539;1239
2013-05-04;1779;540;1239
2013-05-06;1783;540;1243
2013-05-08;1780;539;1241
2013-05-10;1781;542;1239
2013-05-12;1777;543;1234
2013-05-14;1777;543;1234
2013-05-16;1785;544;1241
2013-05-18;1784;544;1240
2013-05-20;1786;546;1240
2013-05-22;1787;546;1241
2013-05-24;1794;550;1244
2013-05-26;1794;551;1243
2013-05-28;1796;551;1245
2013-05-30;1800;551;1249
2013-06-01;1799;550;1249
2013-06-03;1798;550;1248
2013-06-05;1798;556;1242
2013-06-07;1801;560;1241
2013-06-09;1800;560;1240
2013-06-11;1802;561;1241
2013-06-20;1816;568;1248
2013-06-22;1817;567;1250
2013-06-24;1812;566;1246
2013-06-26;1814;566;1248
2013-06-28;1813;565;1248
2013-06-30;1816;566;1250
2013-07-02;1817;566;1251
2013-07-04;1818;567;1251
2013-07-06;1821;567;1254
2013-07-08;1824;568;1256
2013-07-10;1823;568;1255
2013-07-12;1823;569;1254
2013-07-14;1823;569;1254
2013-07-16;1824;569;1255
2013-07-18;1822;571;1251
2013-07-20;1824;570;1254
2013-07-22;1824;570;1254
2013-07-24;1825;570;1255
2013-07-26;1826;569;1257
2013-07-28;1825;569;1256
2013-07-30;1826;570;1256
2013-08-01;1827;570;1257
2013-08-03;1827;570;1257
2013-08-05;1829;571;1258
2013-08-07;1829;571;1258
2013-08-09;1829;571;1258
2013-08-11;1827;571;1256
2013-08-13;1827;571;1256
2013-08-15;1829;574;1255
2013-08-17;1832;575;1257
2013-08-19;1832;574;1258
2013-08-21;1833;580;1253
2013-08-23;1835;583;1252
2013-08-25;1836;582;1254
2013-08-27;1836;582;1254
2013-08-29;1838;583;1255
2013-08-31;1837;583;1254
2013-09-02;1837;583;1254
2013-09-04;1836;585;1251
2013-09-06;1837;587;1250
2013-09-08;1841;589;1252
2013-09-10;1845;590;1255
2013-09-12;1844;591;1253
2013-09-14;1846;592;1254
2013-09-16;1850;594;1256
2013-09-18;1848;593;1255
2013-09-20;1846;591;1255
2013-09-22;1846;591;1255
2013-09-24;1845;592;1253
2013-09-26;1844;593;1251
2013-09-28;1845;595;1250
2013-09-29;1845;596;1249
2013-10-02;1847;598;1249
2013-10-04;1845;599;1246
2013-10-06;1846;600;1246
2013-10-08;1847;602;1245
2013-10-10;1847;602;1245
2013-10-12;1847;604;1243
2013-10-14;1848;603;1245
2013-10-16;1850;603;1247
2013-10-18;1855;603;1252
2013-10-20;1854;603;1251
2013-10-22;1855;603;1252
2013-10-24;1856;605;1251
2013-10-26;1856;606;1250
2013-10-28;1858;606;1252
2013-10-30;1857;604;1253
2013-11-01;1855;604;1251
2013-11-03;1853;604;1249
2013-11-05;1852;604;1248
2013-11-07;1852;605;1247
2013-11-09;1852;605;1247
2013-11-10;1852;608;1244
2013-11-12;1852;608;1244
2013-11-15;1855;608;1247
2013-11-17;1855;608;1247
2013-11-19;1854;607;1247
2013-11-21;1858;608;1250
2013-11-23;1856;607;1249
2013-11-25;1854;607;1247
2013-11-27;1853;608;1245
2013-11-29;1855;612;1243
2013-12-01;1857;613;1244
2013-12-03;1859;613;1246
2013-12-05;1857;613;1244
2013-12-07;1858;615;1243
2013-12-08;1857;616;1241
2013-12-11;1854;616;1238
2013-12-13;1856;618;1238
2013-12-15;1856;620;1236
2013-12-17;1853;620;1233
2013-12-19;1855;622;1233
2013-12-21;1857;625;1232
2013-12-23;1856;625;1231
2013-12-24;1860;626;1234
2013-12-27;1861;626;1235
2013-12-29;1863;628;1235
2013-12-31;1866;630;1236
2014-01-02;1870;630;1240
2014-01-04;1872;634;1238
2014-01-06;1874;634;1240
2014-01-08;1871;634;1237
2014-01-10;1878;635;1243
2014-01-12;1887;649;1238
2014-01-14;1887;651;1236
2014-01-16;1890;650;1240
2014-01-18;1891;652;1239
2014-01-20;1896;652;1244
2014-01-22;1900;651;1249
2014-01-24;1904;655;1249
2014-01-26;1905;657;1248
2014-01-28;1908;660;1248
2014-01-30;1908;660;1248
2014-02-01;1910;661;1249
2014-02-03;1911;661;1250
2014-02-05;1910;661;1249
2014-02-07;1917;664;1253
2014-02-09;1918;664;1254
2014-02-11;1916;614;1302
2014-02-13;1917;615;1302
2014-02-15;1921;616;1305
2014-02-17;1920;616;1304
2014-02-19;1924;621;1303
2014-02-21;1923;621;1302
2014-02-23;1926;621;1305
2014-02-25;1925;621;1304
2014-02-27;1921;621;1300
2014-03-01;1922;623;1299
2014-03-03;1923;625;1298
2014-03-05;1923;625;1298
2014-03-07;1929;627;1302
2014-03-09;1926;627;1299
2014-03-11;1926;628;1298
2014-03-13;1926;628;1298
2014-03-15;1926;631;1295
2014-03-17;1930;632;1298
2014-03-19;1929;634;1295
2014-03-21;1930;635;1295
2014-03-23;1933;638;1295
2014-03-25;1936;639;1297
2014-03-27;1947;640;1307
2014-03-29;1949;641;1308
2014-03-31;1947;640;1307
2014-04-02;1946;640;1306
2014-04-04;1951;643;1308
2014-04-06;1953;644;1309
2014-04-08;1953;645;1308
2014-04-10;1953;644;1309
2014-04-12;1958;647;1311
2014-04-14;1960;647;1313
2014-04-16;1962;648;1314
2014-04-18;1963;648;1315
2014-04-20;1967;648;1319
2014-04-22;1965;648;1317
2014-04-24;1967;649;1318
2014-04-26;1968;651;1317
2014-04-28;1966;651;1315
2014-04-30;1962;652;1310
2014-05-02;1959;652;1307
2014-05-04;1962;653;1309
