date;followers;following;fans
2013-04-17;19574;172;19402
2013-04-18;19600;172;19428
2013-04-19;19614;172;19442
2013-04-20;19635;172;19463
2013-04-21;19644;172;19472
2013-04-22;19664;172;19492
2013-04-23;19678;172;19506
2013-04-24;19742;172;19570
2013-04-25;19781;172;19609
2013-04-26;19802;172;19630
2013-04-27;19816;172;19644
2013-04-28;19847;172;19675
2013-04-29;19869;172;19697
2013-04-30;19884;173;19711
2013-05-01;19910;173;19737
2013-05-02;19961;174;19787
2013-05-03;19985;174;19811
2013-05-04;20006;174;19832
2013-05-05;20070;174;19896
2013-05-06;20063;174;19889
2013-05-07;20069;174;19895
2013-05-08;20080;174;19906
2013-05-09;20095;174;19921
2013-05-10;20107;174;19933
2013-05-11;20085;174;19911
2013-05-12;20092;174;19918
2013-05-13;20110;174;19936
2013-05-14;20127;174;19953
2013-05-15;20164;175;19989
2013-05-16;20190;175;20015
2013-05-17;20203;175;20028
2013-05-18;20215;175;20040
2013-05-19;20225;175;20050
2013-05-20;20251;176;20075
2013-05-21;20268;177;20091
2013-05-22;20288;177;20111
2013-05-23;20305;177;20128
2013-05-24;20354;177;20177
2013-05-25;20393;177;20216
2013-05-26;20473;177;20296
2013-05-27;20494;177;20317
2013-05-28;20518;177;20341
2013-05-29;20528;177;20351
2013-05-30;20554;177;20377
2013-05-31;20572;177;20395
2013-06-01;20591;177;20414
2013-06-02;20618;177;20441
2013-06-03;20628;177;20451
2013-06-04;20636;177;20459
2013-06-05;20655;177;20478
2013-06-06;20671;177;20494
2013-06-07;20675;176;20499
2013-06-08;20688;176;20512
2013-06-09;20695;176;20519
2013-06-10;20713;177;20536
2013-06-11;20721;177;20544
2013-06-20;20855;176;20679
2013-06-21;20863;176;20687
2013-06-22;20873;176;20697
2013-06-23;20898;176;20722
2013-06-24;20928;176;20752
2013-06-25;20938;176;20762
2013-06-26;20954;176;20778
2013-06-27;20967;177;20790
2013-06-28;20987;177;20810
2013-06-29;21004;177;20827
2013-06-30;21016;177;20839
2013-07-01;21027;177;20850
2013-07-02;21048;176;20872
2013-07-03;21062;176;20886
2013-07-04;21068;176;20892
2013-07-05;21071;176;20895
2013-07-06;21087;176;20911
2013-07-07;21100;176;20924
2013-07-08;21112;176;20936
2013-07-09;21124;176;20948
2013-07-10;21136;176;20960
2013-07-11;21162;176;20986
2013-07-12;21176;177;20999
2013-07-13;21197;177;21020
2013-07-14;21206;177;21029
2013-07-15;21223;176;21047
2013-07-16;21238;176;21062
2013-07-17;21246;176;21070
2013-07-18;21265;176;21089
2013-07-19;21268;177;21091
2013-07-20;21274;177;21097
2013-07-21;21279;177;21102
2013-07-22;21292;177;21115
2013-07-23;21295;177;21118
2013-07-24;21302;177;21125
2013-07-25;21316;177;21139
2013-07-26;21334;177;21157
2013-07-27;21342;178;21164
2013-07-28;21350;178;21172
2013-07-29;21363;178;21185
2013-07-30;21370;179;21191
2013-07-31;21383;179;21204
2013-08-01;21391;179;21212
2013-08-02;21401;180;21221
2013-08-03;21410;180;21230
2013-08-04;21414;180;21234
2013-08-05;21418;180;21238
2013-08-06;21432;180;21252
2013-08-07;21432;180;21252
2013-08-08;21445;180;21265
2013-08-09;21454;181;21273
2013-08-10;21479;182;21297
2013-08-11;21485;182;21303
2013-08-12;21495;182;21313
2013-08-13;21519;182;21337
2013-08-14;21532;183;21349
2013-08-15;21545;183;21362
2013-08-16;21559;183;21376
2013-08-17;21574;184;21390
2013-08-18;21589;184;21405
2013-08-19;21593;184;21409
2013-08-20;21599;184;21415
2013-08-21;21619;184;21435
2013-08-22;21625;184;21441
2013-08-23;21642;184;21458
2013-08-24;21643;184;21459
2013-08-25;21681;184;21497
2013-08-26;21706;184;21522
2013-08-27;21717;184;21533
2013-08-28;21733;184;21549
2013-08-29;21754;184;21570
2013-08-30;21773;185;21588
2013-08-31;21781;185;21596
2013-09-01;21793;185;21608
2013-09-02;21820;185;21635
2013-09-03;21834;187;21647
2013-09-04;21852;188;21664
2013-09-05;21867;190;21677
2013-09-06;21886;190;21696
2013-09-07;21900;191;21709
2013-09-08;21916;191;21725
2013-09-09;21927;191;21736
2013-09-10;21935;190;21745
2013-09-11;21948;189;21759
2013-09-12;21956;189;21767
2013-09-13;21958;190;21768
2013-09-14;21958;190;21768
2013-09-15;21965;192;21773
2013-09-16;21982;193;21789
