date;followers;following;fans
2013-07-20;21979;516;21463
2013-07-21;21975;516;21459
2013-07-22;21968;517;21451
2013-07-23;21924;517;21407
2013-07-24;21900;516;21384
2013-07-25;21865;516;21349
2013-07-26;21303;515;20788
2013-07-27;19697;513;19184
2013-07-28;18089;513;17576
2013-07-29;17850;513;17337
2013-07-30;17829;513;17316
2013-07-31;17680;513;17167
2013-08-01;18526;513;18013
2013-08-02;19445;513;18932
2013-08-03;20604;513;20091
2013-08-04;21148;513;20635
2013-08-05;22531;514;22017
2013-08-06;23719;515;23204
2013-08-07;24431;515;23916
2013-08-08;25414;516;24898
2013-08-09;26434;517;25917
2013-08-10;27757;517;27240
2013-08-11;28887;517;28370
2013-08-12;29905;517;29388
2013-08-13;30275;517;29758
2013-08-14;30268;517;29751
2013-08-15;30259;518;29741
2013-08-16;30254;519;29735
2013-08-17;30239;519;29720
2013-08-18;30230;519;29711
2013-08-19;30222;519;29703
2013-08-20;30221;518;29703
2013-08-21;30205;518;29687
2013-08-22;30193;520;29673
2013-08-23;30173;522;29651
2013-08-24;30083;522;29561
2013-08-25;30066;522;29544
2013-08-26;30054;524;29530
2013-08-27;30032;524;29508
2013-08-28;30005;524;29481
2013-08-29;29998;526;29472
2013-08-30;29976;526;29450
2013-08-31;29954;526;29428
2013-09-01;29941;526;29415
2013-09-02;29932;526;29406
2013-09-03;29932;528;29404
2013-09-04;29920;529;29391
2013-09-05;29911;533;29378
2013-09-06;29900;535;29365
2013-09-07;29885;537;29348
2013-09-08;29879;537;29342
2013-09-09;29873;537;29336
2013-09-10;29861;537;29324
2013-09-11;29859;537;29322
2013-09-12;29846;537;29309
2013-09-13;29844;537;29307
2013-09-14;30344;537;29807
2013-09-15;30887;537;30350
2013-09-16;31016;538;30478
2013-09-17;31015;538;30477
2013-09-18;31010;539;30471
2013-09-19;31011;539;30472
2013-09-20;30845;539;30306
2013-09-21;30813;539;30274
2013-09-22;30793;539;30254
2013-09-23;30782;539;30243
2013-09-24;30767;540;30227
2013-09-25;30761;541;30220
2013-09-26;30757;541;30216
2013-09-27;30748;541;30207
2013-09-28;30749;542;30207
2013-09-29;30735;542;30193
2013-09-30;30732;542;30190
2013-10-01;30714;541;30173
2013-10-02;30709;541;30168
2013-10-03;30701;541;30160
2013-10-04;30698;546;30152
2013-10-05;30695;546;30149
2013-10-06;30689;548;30141
2013-10-07;30685;548;30137
2013-10-08;30684;548;30136
2013-10-09;30670;549;30121
2013-10-10;30668;552;30116
2013-10-11;30666;553;30113
2013-10-12;30666;553;30113
2013-10-13;30664;553;30111
2013-10-14;30666;553;30113
2013-10-15;30667;553;30114
2013-10-16;30659;553;30106
2013-10-17;30642;553;30089
2013-10-18;30633;555;30078
2013-10-19;30619;562;30057
2013-10-20;30619;567;30052
2013-10-21;30618;568;30050
2013-10-22;30607;568;30039
2013-10-23;30604;569;30035
2013-10-24;30709;569;30140
2013-10-25;30700;569;30131
2013-10-26;30805;574;30231
2013-10-27;30912;576;30336
2013-10-28;31018;577;30441
2013-10-29;31117;577;30540
2013-10-30;31206;577;30629
2013-10-31;31309;579;30730
2013-11-01;31397;580;30817
2013-11-02;31496;580;30916
2013-11-03;31601;580;31021
2013-11-04;31596;580;31016
2013-11-05;31708;581;31127
2013-11-06;31702;581;31121
2013-11-07;31694;581;31113
2013-11-08;31689;581;31108
2013-11-09;31643;581;31062
2013-11-10;31638;582;31056
2013-11-11;31634;582;31052
2013-11-12;31620;582;31038
2013-11-13;31610;582;31028
2013-11-14;31593;582;31011
2013-11-15;31584;582;31002
2013-11-16;31578;583;30995
2013-11-17;31567;583;30984
2013-11-18;31566;583;30983
2013-11-19;31556;583;30973
2013-11-20;31549;584;30965
2013-11-21;31540;583;30957
2013-11-22;31539;584;30955
2013-11-23;31528;589;30939
2013-11-24;31522;589;30933
2013-11-25;31521;589;30932
2013-11-26;31517;590;30927
2013-11-27;31498;590;30908
2013-11-28;31437;590;30847
2013-11-29;31413;590;30823
2013-11-30;31413;590;30823
2013-12-01;31411;590;30821
2013-12-02;31407;590;30817
2013-12-03;30503;590;29913
2013-12-04;30410;591;29819
2013-12-05;30386;591;29795
2013-12-06;30356;591;29765
2013-12-07;30347;591;29756
2013-12-08;30348;591;29757
2013-12-09;30339;591;29748
2013-12-10;30314;591;29723
2013-12-11;30272;591;29681
2013-12-12;29953;591;29362
2013-12-13;29840;591;29249
2013-12-14;29768;591;29177
2013-12-15;29765;591;29174
2013-12-16;29760;591;29169
2013-12-17;29755;591;29164
2013-12-18;29744;591;29153
2013-12-19;29723;591;29132
2013-12-20;29674;591;29083
2013-12-21;29597;591;29006
2013-12-22;29594;591;29003
2013-12-23;29592;590;29002
2013-12-24;29588;590;28998
2013-12-25;29581;590;28991
2013-12-26;29580;590;28990
2013-12-27;29579;591;28988
2013-12-28;29577;591;28986
2013-12-29;29575;591;28984
2013-12-30;29573;591;28982
2013-12-31;29569;591;28978
2014-01-01;29562;591;28971
2014-01-02;29563;591;28972
2014-01-03;29556;592;28964
2014-01-04;29556;595;28961
2014-01-05;29556;595;28961
2014-01-06;29550;595;28955
2014-01-07;29550;595;28955
2014-01-08;29546;595;28951
2014-01-09;29543;595;28948
2014-01-10;29538;595;28943
2014-01-11;29536;595;28941
2014-01-12;29531;595;28936
2014-01-13;29527;595;28932
2014-01-14;29518;595;28923
2014-01-15;29516;598;28918
2014-01-16;29514;598;28916
2014-01-17;29505;598;28907
2014-01-18;29501;598;28903
2014-01-19;29495;598;28897
2014-01-20;29491;599;28892
2014-01-21;29490;599;28891
2014-01-22;29483;598;28885
2014-01-23;29482;603;28879
2014-01-24;29480;603;28877
2014-01-25;29480;608;28872
2014-01-26;29475;608;28867
2014-01-27;29472;611;28861
2014-01-28;29465;611;28854
2014-01-30;29458;612;28846
2014-01-31;29460;612;28848
2014-02-01;29454;612;28842
2014-02-02;29452;613;28839
2014-02-03;29444;613;28831
2014-02-04;29439;613;28826
2014-02-05;29441;614;28827
2014-02-06;29436;615;28821
2014-02-07;29435;615;28820
2014-02-08;29433;615;28818
2014-02-09;29426;615;28811
2014-02-10;29414;615;28799
2014-02-11;29399;615;28784
2014-02-12;29382;618;28764
2014-02-13;29376;618;28758
2014-02-14;29372;618;28754
2014-02-15;29370;617;28753
2014-02-16;29369;618;28751
2014-02-17;29366;618;28748
2014-02-18;29366;619;28747
2014-02-19;29362;619;28743
2014-02-20;29361;619;28742
2014-02-21;29359;619;28740
2014-02-22;29355;621;28734
2014-02-23;29353;621;28732
2014-02-24;29352;621;28731
2014-02-25;29349;628;28721
2014-02-26;29316;628;28688
2014-02-27;29298;628;28670
2014-02-28;29169;628;28541
2014-03-01;29162;628;28534
2014-03-02;29162;627;28535
2014-03-03;29160;627;28533
2014-03-04;29157;627;28530
2014-03-05;29159;630;28529
2014-03-06;29148;630;28518
2014-03-07;29141;631;28510
2014-03-08;29136;631;28505
2014-03-09;29133;631;28502
2014-03-10;29131;631;28500
2014-03-11;29131;631;28500
2014-03-12;29260;631;28629
2014-03-13;29542;631;28911
2014-03-14;29534;631;28903
2014-03-15;29529;631;28898
2014-03-16;29525;631;28894
2014-03-17;29524;631;28893
2014-03-18;29940;631;29309
2014-03-19;29958;631;29327
2014-03-20;29956;631;29325
2014-03-21;29954;632;29322
2014-03-22;29954;633;29321
2014-03-23;29950;634;29316
2014-03-24;29944;634;29310
2014-03-25;29941;634;29307
2014-03-26;29953;635;29318
2014-03-27;30007;635;29372
2014-03-28;30049;635;29414
2014-03-29;30065;634;29431
2014-03-30;30069;636;29433
2014-03-31;30077;635;29442
2014-04-01;30075;635;29440
2014-04-02;30107;637;29470
2014-04-03;30122;637;29485
2014-04-04;30137;637;29500
2014-04-05;30146;637;29509
2014-04-06;30156;637;29519
2014-04-07;30161;637;29524
2014-04-08;30157;636;29521
2014-04-09;30169;661;29508
2014-04-10;30172;667;29505
2014-04-11;30173;667;29506
2014-04-12;30173;668;29505
2014-04-13;30172;668;29504
2014-04-14;30169;668;29501
2014-04-15;30169;668;29501
2014-04-16;30167;667;29500
2014-04-17;30170;667;29503
2014-04-18;30171;668;29503
2014-04-19;30171;668;29503
