date;followers;following;fans
2013-04-18;5329;233;5096
2013-04-20;5338;232;5106
2013-04-21;5349;232;5117
2013-04-22;5361;232;5129
2013-04-23;5367;232;5135
2013-04-25;5377;232;5145
2013-04-26;5378;232;5146
2013-04-27;5381;232;5149
2013-04-28;5389;232;5157
2013-04-29;5405;232;5173
2013-05-01;5411;232;5179
2013-05-02;5426;232;5194
2013-05-03;5429;233;5196
2013-05-04;5439;234;5205
2013-05-05;5440;234;5206
2013-05-06;5439;234;5205
2013-05-07;5445;234;5211
2013-05-08;5446;233;5213
2013-05-09;5446;233;5213
2013-05-11;5447;234;5213
2013-05-12;5449;234;5215
2013-05-13;5453;235;5218
2013-05-14;5455;236;5219
2013-05-15;5459;236;5223
2013-05-16;5457;236;5221
2013-05-17;5461;236;5225
2013-05-18;5469;236;5233
2013-05-20;5465;236;5229
2013-05-21;5464;236;5228
2013-05-22;5466;236;5230
2013-05-23;5470;236;5234
2013-05-24;5478;236;5242
2013-05-26;5481;236;5245
2013-05-27;5477;237;5240
2013-05-28;5478;237;5241
2013-05-30;5489;238;5251
2013-05-31;5489;238;5251
2013-06-01;5487;238;5249
2013-06-02;5490;238;5252
2013-06-03;5492;238;5254
2013-06-04;5496;238;5258
2013-06-05;5495;238;5257
2013-06-06;5509;238;5271
2013-06-08;5508;238;5270
2013-06-09;5506;238;5268
2013-06-10;5512;238;5274
2013-06-11;5505;238;5267
2013-06-20;5560;238;5322
2013-06-21;5565;238;5327
2013-06-22;5567;239;5328
2013-06-24;5566;239;5327
2013-06-25;5572;239;5333
2013-06-26;5574;239;5335
2013-06-27;5583;240;5343
2013-06-28;5584;240;5344
2013-06-30;5586;240;5346
2013-07-02;5594;240;5354
2013-07-03;5605;240;5365
2013-07-04;5607;240;5367
2013-07-06;5614;240;5374
2013-07-07;5615;240;5375
2013-07-08;5603;240;5363
2013-07-09;5605;240;5365
2013-07-10;5613;240;5373
2013-07-12;5616;241;5375
2013-07-13;5623;241;5382
2013-07-14;5625;241;5384
2013-07-15;5630;241;5389
2013-07-16;5627;241;5386
2013-07-18;5632;241;5391
2013-07-19;5638;241;5397
2013-07-20;5642;241;5401
2013-07-21;5644;241;5403
2013-07-22;5647;241;5406
2013-07-23;5671;241;5430
2013-07-24;5685;241;5444
2013-07-25;5705;241;5464
2013-07-26;5712;241;5471
2013-07-27;5718;241;5477
2013-07-28;5728;241;5487
2013-07-29;5734;241;5493
2013-07-30;5748;241;5507
2013-07-31;5748;241;5507
2013-08-01;5747;241;5506
2013-08-03;5769;241;5528
2013-08-05;5787;241;5546
2013-08-06;5792;241;5551
2013-08-07;5797;243;5554
2013-08-08;5811;245;5566
2013-08-09;5815;259;5556
2013-08-10;5828;259;5569
2013-08-11;5835;259;5576
2013-08-12;5843;259;5584
2013-08-13;5839;259;5580
2013-08-14;5833;259;5574
2013-08-15;5832;259;5573
2013-08-16;5838;259;5579
2013-08-17;5839;259;5580
2013-08-18;5842;259;5583
2013-08-19;5842;259;5583
2013-08-20;5841;261;5580
2013-08-21;5866;261;5605
2013-08-22;5873;261;5612
2013-08-23;5878;261;5617
2013-08-24;5881;262;5619
2013-08-25;5886;262;5624
2013-08-26;5893;262;5631
2013-08-27;5891;262;5629
2013-08-28;5893;262;5631
2013-08-29;5898;262;5636
2013-08-30;5897;262;5635
2013-08-31;5901;262;5639
2013-09-01;5901;262;5639
2013-09-02;5917;262;5655
2013-09-03;5935;262;5673
2013-09-04;5958;262;5696
2013-09-05;5973;262;5711
2013-09-06;5983;262;5721
2013-09-07;5985;262;5723
2013-09-08;5992;262;5730
2013-09-09;6004;262;5742
2013-09-10;6008;263;5745
2013-09-11;6014;263;5751
2013-09-12;6018;263;5755
2013-09-13;6022;263;5759
2013-09-14;6028;263;5765
2013-09-15;6038;263;5775
2013-09-16;6044;264;5780
2013-09-17;6046;264;5782
2013-09-18;6053;264;5789
2013-09-19;6072;265;5807
2013-09-20;6078;266;5812
2013-09-21;6089;266;5823
2013-09-22;6087;266;5821
2013-09-23;6114;266;5848
2013-09-24;6160;266;5894
2013-09-25;6185;266;5919
2013-09-26;6188;266;5922
2013-09-27;6205;267;5938
2013-09-28;6218;268;5950
2013-09-29;6223;268;5955
2013-10-01;6237;270;5967
2013-10-02;6247;270;5977
2013-10-03;6256;270;5986
2013-10-04;6260;270;5990
2013-10-05;6268;270;5998
2013-10-06;6270;271;5999
2013-10-07;6276;271;6005
2013-10-08;6280;271;6009
2013-10-09;6282;271;6011
2013-10-10;6286;272;6014
2013-10-11;6292;272;6020
2013-10-12;6300;273;6027
2013-10-13;6300;273;6027
