date;followers;following;fans
2013-04-18;6308;4302;2006
2013-04-20;6316;4301;2015
2013-04-22;6325;4301;2024
2013-04-24;6340;4299;2041
2013-04-26;6345;4300;2045
2013-04-28;6360;4300;2060
2013-04-30;6368;4300;2068
2013-05-02;6380;4300;2080
2013-05-04;6388;4300;2088
2013-05-06;6401;4299;2102
2013-05-08;6417;4300;2117
2013-05-10;6428;4298;2130
2013-05-12;6413;4268;2145
2013-05-14;6441;4271;2170
2013-05-16;6464;4289;2175
2013-05-18;6479;4296;2183
2013-05-20;6486;4295;2191
2013-05-22;6498;4296;2202
2013-05-24;6529;4296;2233
2013-05-26;6533;4295;2238
2013-05-28;6548;4295;2253
2013-05-30;6553;4293;2260
2013-06-01;6554;4295;2259
2013-06-03;6564;4294;2270
2013-06-05;6572;4295;2277
2013-06-07;6589;4295;2294
2013-06-09;6597;4296;2301
2013-06-11;6614;4295;2319
2013-06-20;6651;4296;2355
2013-06-22;6664;4296;2368
2013-06-24;6671;4295;2376
2013-06-26;6687;4295;2392
2013-06-28;6697;4295;2402
2013-06-30;6713;4294;2419
2013-07-02;6728;4294;2434
2013-07-04;6734;4294;2440
2013-07-06;6736;4293;2443
2013-07-08;6740;4293;2447
2013-07-10;6747;4292;2455
2013-07-12;6755;4292;2463
2013-07-14;6762;4291;2471
2013-07-16;6768;4290;2478
2013-07-18;6776;4288;2488
2013-07-20;6781;4286;2495
2013-07-22;6787;4287;2500
2013-07-23;6790;4287;2503
2013-07-24;6795;4287;2508
2013-07-25;6800;4287;2513
2013-07-26;6811;4288;2523
2013-07-27;6809;4285;2524
2013-07-28;6807;4281;2526
2013-07-29;6813;4280;2533
2013-07-31;6820;4280;2540
2013-08-01;6827;4280;2547
2013-08-02;6835;4281;2554
2013-08-03;6835;4282;2553
2013-08-04;6842;4282;2560
2013-08-05;6843;4281;2562
2013-08-06;6847;4281;2566
2013-08-08;6854;4281;2573
2013-08-09;6853;4281;2572
2013-08-10;6857;4280;2577
2013-08-11;6860;4280;2580
2013-08-12;6863;4281;2582
2013-08-13;6878;4281;2597
2013-08-14;6884;4281;2603
2013-08-16;6892;4282;2610
2013-08-17;6892;4282;2610
2013-08-18;6895;4282;2613
2013-08-19;6901;4281;2620
2013-08-20;6902;4279;2623
2013-08-21;6912;4279;2633
2013-08-22;6922;4279;2643
2013-08-24;6927;4278;2649
2013-08-25;6933;4278;2655
2013-08-26;6940;4278;2662
2013-08-27;6947;4278;2669
2013-08-28;6947;4279;2668
2013-08-29;6960;4279;2681
2013-08-30;6971;4279;2692
2013-09-01;6975;4278;2697
2013-09-02;6984;4278;2706
2013-09-03;6992;4278;2714
2013-09-04;7003;4278;2725
2013-09-05;7012;4276;2736
2013-09-06;7022;4276;2746
2013-09-08;7035;4275;2760
2013-09-09;7042;4276;2766
2013-09-10;7047;4276;2771
2013-09-11;7051;4276;2775
2013-09-12;7054;4277;2777
2013-09-13;7061;4277;2784
2013-09-15;7064;4277;2787
2013-09-16;7071;4277;2794
2013-09-17;7079;4278;2801
2013-09-18;7082;4277;2805
2013-09-19;7094;4277;2817
2013-09-20;7095;4277;2818
2013-09-22;7104;4276;2828
2013-09-23;7109;4276;2833
2013-09-24;7112;4276;2836
2013-09-25;7123;4276;2847
2013-09-26;7133;4276;2857
2013-09-27;7137;4276;2861
2013-09-29;7143;4276;2867
2013-09-30;7148;4277;2871
2013-10-01;7157;4277;2880
2013-10-02;7163;4277;2886
2013-10-03;7172;4276;2896
2013-10-05;7176;4276;2900
2013-10-06;7183;4276;2907
2013-10-07;7188;4275;2913
2013-10-08;7188;4274;2914
2013-10-09;7191;4273;2918
2013-10-11;7196;4273;2923
2013-10-12;7201;4272;2929
2013-10-13;7209;4270;2939
2013-10-14;7212;4270;2942
2013-10-15;7222;4268;2954
2013-10-17;7227;4266;2961
2013-10-18;7238;4270;2968
2013-10-19;7245;4270;2975
2013-10-20;7254;4270;2984
2013-10-21;7266;4268;2998
2013-10-23;7275;4268;3007
2013-10-24;7288;4270;3018
2013-10-25;7297;4271;3026
2013-10-26;7307;4271;3036
2013-10-27;7305;4271;3034
2013-10-28;7320;4271;3049
2013-10-30;7326;4271;3055
2013-10-31;7329;4273;3056
2013-11-01;7336;4273;3063
2013-11-02;7338;4273;3065
