date;followers;following;fans
2013-04-18;10216;3217;6999
2013-04-19;10213;3217;6996
2013-04-20;10212;3217;6995
2013-04-21;10210;3217;6993
2013-04-22;10211;3218;6993
2013-04-23;10209;3218;6991
2013-04-24;10211;3218;6993
2013-04-25;10210;3218;6992
2013-04-26;10208;3218;6990
2013-04-27;10206;3219;6987
2013-04-28;10204;3219;6985
2013-04-29;10204;3219;6985
2013-04-30;10208;3219;6989
2013-05-01;10209;3220;6989
2013-05-02;10208;3220;6988
2013-05-03;10211;3220;6991
2013-05-04;10210;3220;6990
2013-05-05;10206;3220;6986
2013-05-06;10204;3219;6985
2013-05-07;10204;3219;6985
2013-05-08;10202;3219;6983
2013-05-09;10200;3219;6981
2013-05-11;10145;3193;6952
2013-05-12;10142;3188;6954
2013-05-13;10138;3188;6950
2013-05-14;10156;3199;6957
2013-05-15;10173;3207;6966
2013-05-16;10173;3206;6967
2013-05-17;10185;3213;6972
2013-05-18;10187;3217;6970
2013-05-19;10188;3218;6970
2013-05-20;10187;3218;6969
2013-05-21;10185;3218;6967
2013-05-22;10187;3218;6969
2013-05-23;10185;3218;6967
2013-05-24;10182;3218;6964
2013-05-25;10179;3217;6962
2013-05-26;10177;3216;6961
2013-05-27;10176;3216;6960
2013-05-28;10173;3216;6957
2013-05-29;10174;3216;6958
2013-05-30;10169;3216;6953
2013-05-31;10168;3217;6951
2013-06-01;10169;3218;6951
2013-06-02;10167;3218;6949
2013-06-03;10164;3218;6946
2013-06-04;10164;3218;6946
2013-06-05;10160;3217;6943
2013-06-06;10157;3217;6940
2013-06-07;10155;3216;6939
2013-06-08;10154;3216;6938
2013-06-09;10152;3215;6937
2013-06-10;10149;3215;6934
2013-06-11;10150;3215;6935
2013-06-20;10136;3211;6925
2013-06-21;10138;3211;6927
2013-06-22;10136;3211;6925
2013-06-23;10135;3211;6924
2013-06-24;10134;3211;6923
2013-06-25;10134;3211;6923
2013-06-26;10133;3211;6922
2013-06-27;10134;3211;6923
