date;followers;following;fans
2013-04-18;2526;881;1645
2013-04-20;2523;881;1642
2013-04-22;2523;881;1642
2013-04-24;2521;881;1640
2013-04-26;2522;881;1641
2013-04-28;2523;881;1642
2013-04-30;2529;881;1648
2013-05-02;2530;881;1649
2013-05-04;2536;881;1655
2013-05-06;2539;881;1658
2013-05-08;2540;881;1659
2013-05-10;2543;881;1662
2013-05-12;2534;878;1656
2013-05-14;2536;878;1658
2013-05-16;2543;877;1666
2013-05-18;2550;880;1670
2013-05-20;2552;880;1672
2013-05-22;2555;880;1675
2013-05-24;2558;880;1678
2013-05-26;2559;880;1679
2013-05-28;2565;880;1685
2013-05-30;2563;882;1681
2013-06-01;2567;882;1685
2013-06-03;2567;882;1685
2013-06-05;2571;881;1690
2013-06-07;2578;882;1696
2013-06-09;2584;882;1702
2013-06-11;2584;882;1702
2013-06-20;2597;882;1715
2013-06-22;2595;882;1713
2013-06-24;2595;882;1713
2013-06-26;2601;882;1719
2013-06-28;2604;882;1722
2013-06-30;2603;882;1721
2013-07-02;2605;882;1723
2013-07-04;2610;882;1728
2013-07-06;2612;882;1730
2013-07-08;2609;882;1727
2013-07-10;2611;882;1729
2013-07-12;2613;882;1731
2013-07-14;2611;882;1729
2013-07-16;2614;882;1732
2013-07-18;2616;882;1734
2013-07-20;2616;882;1734
2013-07-22;2619;882;1737
2013-07-24;2623;882;1741
2013-07-26;2626;884;1742
2013-07-28;2623;880;1743
2013-07-30;2620;880;1740
2013-08-01;2618;880;1738
2013-08-03;2621;881;1740
2013-08-05;2626;881;1745
2013-08-07;2629;881;1748
2013-08-09;2629;882;1747
2013-08-11;2632;882;1750
2013-08-13;2633;882;1751
2013-08-15;2634;882;1752
2013-08-17;2635;886;1749
2013-08-19;2638;886;1752
2013-08-21;2641;886;1755
2013-08-23;2648;886;1762
2013-08-25;2649;886;1763
2013-08-27;2652;886;1766
2013-08-29;2650;886;1764
2013-08-31;2651;886;1765
2013-09-02;2650;886;1764
2013-09-04;2651;888;1763
2013-09-06;2652;888;1764
2013-09-08;2654;888;1766
2013-09-10;2654;888;1766
2013-09-12;2658;888;1770
2013-09-14;2657;887;1770
2013-09-16;2656;887;1769
2013-09-18;2657;888;1769
2013-09-20;2656;888;1768
2013-09-22;2653;888;1765
2013-09-24;2653;889;1764
2013-09-26;2653;889;1764
2013-09-28;2655;889;1766
2013-09-30;2659;889;1770
2013-10-02;2661;889;1772
2013-10-04;2660;889;1771
2013-10-06;2661;889;1772
2013-10-08;2664;889;1775
2013-10-10;2669;889;1780
2013-10-12;2686;891;1795
2013-10-14;2690;892;1798
2013-10-16;2692;896;1796
2013-10-18;2696;896;1800
2013-10-20;2699;896;1803
2013-10-22;2702;896;1806
2013-10-24;2702;896;1806
2013-10-26;2704;896;1808
2013-10-28;2704;896;1808
2013-10-30;2706;896;1810
2013-11-01;2705;896;1809
2013-11-03;2705;896;1809
2013-11-05;2707;896;1811
2013-11-07;2710;896;1814
2013-11-09;2712;896;1816
2013-11-11;2712;895;1817
2013-11-13;2712;895;1817
2013-11-15;2714;895;1819
2013-11-17;2716;895;1821
2013-11-19;2717;895;1822
2013-11-21;2721;896;1825
2013-11-23;2730;897;1833
2013-11-25;2732;897;1835
2013-11-27;2733;897;1836
2013-11-29;2734;897;1837
2013-12-01;2735;897;1838
2013-12-03;2738;897;1841
2013-12-05;2738;897;1841
2013-12-07;2741;897;1844
2013-12-09;2742;897;1845
2013-12-11;2745;897;1848
2013-12-13;2746;897;1849
2013-12-15;2747;897;1850
2013-12-17;2749;897;1852
2013-12-19;2754;897;1857
2013-12-21;2754;897;1857
2013-12-23;2755;897;1858
2013-12-25;2757;897;1860
2013-12-27;2756;896;1860
2013-12-29;2753;896;1857
2013-12-31;2753;896;1857
2014-01-02;2754;896;1858
2014-01-04;2756;896;1860
2014-01-06;2760;896;1864
2014-01-08;2763;896;1867
2014-01-10;2767;896;1871
2014-01-12;2771;896;1875
2014-01-14;2771;896;1875
2014-01-16;2770;896;1874
2014-01-18;2774;896;1878
2014-01-20;2778;896;1882
2014-01-22;2776;896;1880
2014-01-24;2777;896;1881
2014-01-26;2779;895;1884
2014-01-28;2779;895;1884
2014-01-30;2782;895;1887
2014-02-01;2784;895;1889
2014-02-03;2784;895;1889
2014-02-05;2784;895;1889
2014-02-07;2786;895;1891
2014-02-09;2789;895;1894
2014-02-11;2790;895;1895
2014-02-13;2791;895;1896
2014-02-15;2795;895;1900
2014-02-17;2798;895;1903
2014-02-19;2799;900;1899
2014-02-21;2800;900;1900
2014-02-23;2801;900;1901
2014-02-25;2803;900;1903
2014-02-27;2804;900;1904
2014-03-01;2802;900;1902
2014-03-03;2800;900;1900
2014-03-05;2804;900;1904
2014-03-07;2806;900;1906
2014-03-09;2809;900;1909
2014-03-11;2810;900;1910
2014-03-13;2810;900;1910
2014-03-15;2821;900;1921
2014-03-17;2822;900;1922
2014-03-19;2824;900;1924
2014-03-21;2820;900;1920
2014-03-23;2821;900;1921
2014-03-25;2821;900;1921
2014-03-27;2829;900;1929
2014-03-29;2830;900;1930
2014-03-31;2830;900;1930
2014-04-02;2834;900;1934
2014-04-04;2840;900;1940
2014-04-06;2841;900;1941
2014-04-08;2844;900;1944
2014-04-10;2847;900;1947
2014-04-12;2854;900;1954
2014-04-14;2853;900;1953
2014-04-16;2854;900;1954
2014-04-18;2860;900;1960
2014-04-20;2865;900;1965
2014-04-22;2866;900;1966
2014-04-24;2867;900;1967
2014-04-26;2874;900;1974
2014-04-28;2870;900;1970
2014-04-30;2869;900;1969
2014-05-02;2869;900;1969
2014-05-04;2868;900;1968
