date;followers;following;fans
2013-04-17;4271;1;4270
2013-04-18;4279;1;4278
2013-04-19;4281;1;4280
2013-04-20;4291;1;4290
2013-04-21;4292;1;4291
2013-04-22;4307;1;4306
2013-04-23;4310;1;4309
2013-04-24;4317;1;4316
2013-04-25;4319;1;4318
2013-04-27;4329;1;4328
2013-04-28;4335;1;4334
2013-04-29;4348;1;4347
2013-04-30;4347;1;4346
2013-05-01;4354;1;4353
2013-05-02;4362;1;4361
2013-05-03;4368;1;4367
2013-05-04;4370;1;4369
2013-05-05;4373;1;4372
2013-05-07;4380;1;4379
2013-05-08;4385;1;4384
2013-05-09;4390;1;4389
2013-05-10;4389;1;4388
2013-05-11;4387;1;4386
2013-05-12;4395;1;4394
2013-05-13;4405;1;4404
2013-05-14;4410;1;4409
2013-05-15;4424;1;4423
2013-05-17;4428;1;4427
2013-05-18;4432;1;4431
2013-05-19;4437;1;4436
2013-05-20;4440;1;4439
2013-05-21;4448;1;4447
2013-05-22;4452;1;4451
2013-05-23;4456;1;4455
2013-05-24;4461;1;4460
2013-05-25;4471;1;4470
2013-05-27;4477;1;4476
2013-05-28;4475;1;4474
2013-05-29;4479;1;4478
2013-05-30;4482;1;4481
2013-05-31;4490;1;4489
2013-06-01;4495;1;4494
2013-06-02;4507;1;4506
2013-06-03;4515;1;4514
2013-06-04;4531;1;4530
2013-06-06;4540;1;4539
2013-06-07;4549;1;4548
2013-06-08;4562;1;4561
2013-06-09;4566;1;4565
2013-06-10;4569;1;4568
2013-06-11;4579;1;4578
2013-06-20;4625;1;4624
2013-06-21;4629;1;4628
2013-06-22;4630;1;4629
2013-06-23;4635;1;4634
2013-06-24;4641;1;4640
2013-06-26;4648;1;4647
2013-06-27;4653;1;4652
2013-06-28;4658;1;4657
2013-06-29;4663;1;4662
2013-06-30;4669;1;4668
2013-07-01;4678;1;4677
2013-07-02;4688;1;4687
2013-07-04;4693;1;4692
2013-07-05;4698;1;4697
2013-07-06;4700;1;4699
2013-07-07;4701;1;4700
2013-07-08;4708;1;4707
2013-07-09;4717;1;4716
2013-07-10;4729;1;4728
2013-07-11;4739;1;4738
2013-07-13;4746;1;4745
2013-07-14;4751;1;4750
2013-07-15;4756;1;4755
2013-07-16;4758;1;4757
2013-07-17;4760;1;4759
2013-07-18;4771;1;4770
2013-07-19;4776;1;4775
2013-07-20;4780;1;4779
2013-07-21;4787;1;4786
2013-07-23;4791;1;4790
2013-07-24;4796;1;4795
2013-07-25;4804;1;4803
2013-07-26;4805;1;4804
2013-07-27;4809;1;4808
2013-07-28;4814;1;4813
2013-07-29;4820;1;4819
2013-07-31;4829;1;4828
2013-08-01;4838;1;4837
2013-08-02;4840;1;4839
2013-08-03;4844;1;4843
2013-08-04;4850;1;4849
2013-08-05;4853;1;4852
2013-08-06;4856;1;4855
2013-08-08;4867;1;4866
2013-08-09;4876;1;4875
2013-08-10;4880;1;4879
2013-08-11;4885;1;4884
2013-08-12;4890;1;4889
2013-08-13;4898;1;4897
2013-08-14;4903;1;4902
2013-08-16;4910;1;4909
2013-08-17;4913;1;4912
2013-08-18;4914;1;4913
2013-08-19;4918;1;4917
2013-08-20;4922;1;4921
2013-08-21;4924;1;4923
2013-08-22;4929;1;4928
2013-08-24;4933;1;4932
2013-08-25;4937;1;4936
2013-08-26;4942;1;4941
2013-08-27;4947;1;4946
2013-08-28;4955;1;4954
2013-08-29;4962;1;4961
2013-08-30;4971;1;4970
2013-09-01;4973;1;4972
2013-09-02;4979;1;4978
2013-09-03;4983;1;4982
2013-09-04;4986;1;4985
2013-09-05;4989;1;4988
2013-09-06;4997;1;4996
2013-09-08;5002;1;5001
2013-09-09;5011;1;5010
2013-09-10;5015;1;5014
2013-09-11;5023;1;5022
2013-09-12;5027;1;5026
2013-09-13;5031;1;5030
2013-09-14;5033;1;5032
2013-09-15;5040;1;5039
2013-09-16;5046;1;5045
2013-09-17;5049;1;5048
2013-09-18;5051;1;5050
2013-09-19;5057;1;5056
2013-09-20;5056;1;5055
2013-09-21;5068;1;5067
2013-09-22;5078;1;5077
2013-09-23;5084;1;5083
2013-09-24;5093;1;5092
2013-09-25;5095;1;5094
2013-09-26;5100;1;5099
2013-09-27;5106;1;5105
2013-09-28;5111;1;5110
2013-09-29;5114;1;5113
2013-09-30;5115;1;5114
2013-10-01;5123;1;5122
2013-10-02;5132;1;5131
2013-10-03;5134;1;5133
2013-10-04;5138;1;5137
2013-10-05;5143;1;5142
2013-10-06;5153;1;5152
2013-10-07;5166;1;5165
2013-10-08;5171;1;5170
2013-10-09;5172;1;5171
2013-10-10;5178;1;5177
2013-10-11;5183;1;5182
2013-10-12;5187;1;5186
2013-10-13;5195;1;5194
2013-10-14;5198;1;5197
2013-10-15;5200;1;5199
2013-10-16;5213;1;5212
2013-10-17;5219;1;5218
2013-10-18;5229;1;5228
2013-10-19;5234;1;5233
2013-10-20;5236;1;5235
2013-10-21;5244;1;5243
2013-10-22;5253;1;5252
2013-10-23;5256;1;5255
2013-10-24;5261;1;5260
2013-10-25;5267;1;5266
2013-10-26;5272;1;5271
2013-10-27;5275;1;5274
2013-10-28;5282;1;5281
2013-10-29;5287;1;5286
2013-10-30;5290;1;5289
2013-10-31;5294;1;5293
2013-11-01;5299;1;5298
2013-11-02;5304;1;5303
2013-11-03;5309;1;5308
2013-11-04;5314;1;5313
2013-11-05;5320;1;5319
2013-11-06;5327;1;5326
2013-11-07;5333;1;5332
2013-11-08;5344;1;5343
2013-11-09;5354;1;5353
2013-11-10;5358;1;5357
2013-11-11;5368;1;5367
2013-11-12;5373;1;5372
2013-11-13;5380;1;5379
2013-11-14;5382;1;5381
