date;followers;following;fans
2013-05-31;1492;456;1036
2013-06-02;1493;458;1035
2013-06-04;1493;458;1035
2013-06-06;1491;459;1032
2013-06-08;1489;460;1029
2013-06-10;1494;460;1034
2013-06-20;1510;468;1042
2013-06-22;1512;468;1044
2013-06-24;1517;469;1048
2013-06-26;1522;469;1053
2013-06-28;1525;470;1055
2013-06-30;1528;470;1058
2013-07-02;1533;471;1062
2013-07-04;1534;473;1061
2013-07-06;1535;475;1060
2013-07-08;1535;477;1058
2013-07-10;1536;476;1060
2013-07-12;1538;476;1062
2013-07-14;1536;477;1059
2013-07-16;1539;478;1061
2013-07-18;1543;479;1064
2013-07-20;1546;480;1066
2013-07-22;1561;485;1076
2013-07-24;1561;487;1074
2013-07-26;1560;486;1074
2013-07-28;1555;486;1069
2013-07-30;1552;486;1066
2013-08-01;1552;487;1065
2013-08-03;1557;488;1069
2013-08-05;1563;491;1072
2013-08-07;1578;495;1083
2013-08-09;1581;497;1084
2013-08-11;1583;500;1083
2013-08-13;1581;501;1080
2013-08-15;1586;502;1084
2013-08-17;1592;501;1091
2013-08-19;1599;503;1096
2013-08-21;1604;505;1099
2013-08-23;1609;507;1102
2013-08-25;1610;509;1101
2013-08-27;1613;510;1103
2013-08-29;1612;515;1097
2013-08-31;1613;405;1208
2013-09-02;1619;407;1212
2013-09-04;1620;407;1213
2013-09-06;1622;407;1215
2013-09-08;1619;407;1212
2013-09-10;1624;409;1215
2013-09-12;1622;411;1211
2013-09-14;1627;413;1214
2013-09-16;1630;412;1218
2013-09-18;1635;412;1223
2013-09-20;1641;414;1227
2013-09-22;1644;416;1228
2013-09-24;1646;416;1230
2013-09-26;1642;417;1225
2013-09-28;1644;418;1226
2013-09-29;1646;418;1228
2013-10-02;1646;419;1227
2013-10-04;1640;421;1219
2013-10-06;1645;423;1222
2013-10-08;1650;423;1227
2013-10-10;1650;424;1226
2013-10-12;1649;425;1224
2013-10-14;1652;424;1228
2013-10-16;1652;425;1227
2013-10-18;1655;426;1229
2013-10-20;1658;424;1234
2013-10-22;1663;428;1235
2013-10-24;1665;428;1237
2013-10-26;1670;430;1240
2013-10-28;1678;431;1247
2013-10-30;1679;430;1249
2013-11-01;1679;431;1248
2013-11-03;1675;431;1244
2013-11-05;1674;435;1239
2013-11-07;1675;437;1238
2013-11-09;1677;438;1239
2013-11-11;1677;438;1239
2013-11-13;1677;437;1240
2013-11-15;1683;439;1244
2013-11-17;1687;442;1245
2013-11-19;1687;443;1244
2013-11-21;1684;444;1240
2013-11-23;1690;445;1245
2013-11-25;1694;445;1249
2013-11-27;1695;445;1250
2013-11-29;1690;448;1242
2013-12-01;1694;450;1244
2013-12-03;1695;450;1245
2013-12-05;1694;451;1243
2013-12-07;1691;457;1234
2013-12-09;1697;458;1239
2013-12-11;1696;460;1236
2013-12-13;1700;460;1240
2013-12-15;1700;460;1240
2013-12-17;1703;462;1241
2013-12-19;1707;465;1242
2013-12-21;1711;466;1245
2013-12-23;1714;470;1244
2013-12-25;1710;472;1238
2013-12-27;1714;471;1243
2013-12-29;1711;474;1237
2013-12-31;1722;476;1246
2014-01-02;1719;476;1243
2014-01-04;1728;479;1249
2014-01-06;1733;483;1250
2014-01-08;1739;484;1255
2014-01-10;1744;484;1260
2014-01-12;1744;484;1260
2014-01-14;1751;487;1264
2014-01-16;1752;488;1264
2014-01-18;1747;487;1260
2014-01-20;1756;488;1268
2014-01-22;1760;488;1272
2014-01-24;1766;488;1278
2014-01-26;1768;489;1279
2014-01-28;1770;489;1281
2014-01-30;1771;490;1281
2014-02-01;1776;491;1285
2014-02-03;1778;477;1301
2014-02-05;1780;477;1303
2014-02-07;1781;477;1304
2014-02-09;1783;478;1305
2014-02-11;1786;478;1308
2014-02-13;1790;478;1312
2014-02-15;1790;478;1312
2014-02-17;1793;479;1314
2014-02-19;1798;479;1319
2014-02-21;1806;481;1325
2014-02-23;1804;480;1324
2014-02-25;1804;480;1324
2014-02-27;1813;480;1333
2014-03-01;1810;479;1331
2014-03-03;1815;480;1335
2014-03-05;1819;482;1337
2014-03-07;1820;484;1336
2014-03-09;1827;484;1343
2014-03-11;1826;487;1339
2014-03-13;1828;488;1340
2014-03-15;1831;489;1342
2014-03-17;1836;490;1346
2014-03-19;1841;492;1349
2014-03-21;1838;492;1346
2014-03-23;1837;494;1343
2014-03-25;1841;496;1345
2014-03-27;1838;495;1343
2014-03-29;1842;496;1346
2014-03-31;1850;497;1353
2014-04-02;1855;497;1358
2014-04-04;1859;498;1361
2014-04-06;1864;501;1363
2014-04-08;1868;500;1368
2014-04-10;1870;499;1371
2014-04-12;1872;499;1373
2014-04-14;1877;499;1378
2014-04-16;1880;499;1381
2014-04-18;1884;502;1382
2014-04-20;1885;504;1381
2014-04-22;1887;505;1382
2014-04-24;1887;506;1381
2014-04-26;1888;505;1383
2014-04-28;1884;508;1376
2014-04-30;1884;508;1376
2014-05-02;1885;508;1377
2014-05-04;1883;507;1376
