date;followers;following;fans
2013-04-18;1489;158;1331
2013-04-20;1490;158;1332
2013-04-22;1492;158;1334
2013-04-24;1493;158;1335
2013-04-26;1496;158;1338
2013-04-28;1497;158;1339
2013-04-30;1497;158;1339
2013-05-02;1497;158;1339
2013-05-04;1498;158;1340
2013-05-06;1501;158;1343
2013-05-08;1501;158;1343
2013-05-10;1502;158;1344
2013-05-12;1494;156;1338
2013-05-14;1498;157;1341
2013-05-16;1500;157;1343
2013-05-18;1501;158;1343
2013-05-20;1500;158;1342
2013-05-22;1501;158;1343
2013-05-24;1499;158;1341
2013-05-26;1503;158;1345
2013-05-28;1504;158;1346
2013-05-30;1505;158;1347
2013-06-01;1505;158;1347
2013-06-03;1507;158;1349
2013-06-05;1506;158;1348
2013-06-07;1507;158;1349
2013-06-09;1508;158;1350
2013-06-11;1508;158;1350
2013-06-20;1512;158;1354
2013-06-22;1513;158;1355
2013-06-24;1512;158;1354
2013-06-26;1512;158;1354
2013-06-28;1514;158;1356
2013-06-30;1514;158;1356
2013-07-02;1515;159;1356
2013-07-04;1515;159;1356
2013-07-06;1519;159;1360
2013-07-08;1517;159;1358
2013-07-10;1518;159;1359
2013-07-12;1518;159;1359
2013-07-14;1519;159;1360
2013-07-16;1519;159;1360
2013-07-18;1520;159;1361
2013-07-20;1523;159;1364
2013-07-22;1522;159;1363
2013-07-24;1521;159;1362
2013-07-26;1522;159;1363
2013-07-28;1521;159;1362
2013-07-30;1522;159;1363
2013-08-01;1523;159;1364
2013-08-03;1523;159;1364
2013-08-05;1526;159;1367
2013-08-07;1526;159;1367
2013-08-09;1527;159;1368
2013-08-11;1527;159;1368
2013-08-13;1526;159;1367
2013-08-15;1525;159;1366
2013-08-17;1523;159;1364
2013-08-19;1525;159;1366
2013-08-21;1526;159;1367
2013-08-23;1528;159;1369
2013-08-25;1530;159;1371
2013-08-27;1529;159;1370
2013-08-29;1530;160;1370
2013-08-31;1530;160;1370
2013-09-02;1530;160;1370
2013-09-04;1534;160;1374
2013-09-06;1535;161;1374
2013-09-08;1534;161;1373
2013-09-10;1534;161;1373
2013-09-12;1534;161;1373
2013-09-14;1536;161;1375
2013-09-16;1535;161;1374
2013-09-18;1535;161;1374
2013-09-20;1535;161;1374
2013-09-22;1538;161;1377
2013-09-24;1540;161;1379
2013-09-26;1541;161;1380
2013-09-28;1543;161;1382
2013-09-30;1544;161;1383
2013-10-02;1544;161;1383
2013-10-04;1543;161;1382
2013-10-06;1543;161;1382
2013-10-08;1544;161;1383
2013-10-10;1547;162;1385
2013-10-12;1547;162;1385
2013-10-14;1545;162;1383
2013-10-16;1548;162;1386
2013-10-18;1549;163;1386
2013-10-20;1549;163;1386
2013-10-22;1549;163;1386
2013-10-24;1549;163;1386
2013-10-26;1550;163;1387
2013-10-28;1550;163;1387
2013-10-30;1554;163;1391
2013-11-01;1556;164;1392
2013-11-03;1556;164;1392
2013-11-05;1556;164;1392
2013-11-07;1554;164;1390
2013-11-09;1556;164;1392
