date;followers;following;fans
2013-04-18;8798;431;8367
2013-04-19;8808;430;8378
2013-04-20;8821;430;8391
2013-04-21;8841;430;8411
2013-04-22;8859;430;8429
2013-04-23;8875;430;8445
2013-04-24;8890;430;8460
2013-04-25;8909;430;8479
2013-04-26;8919;430;8489
2013-04-27;8930;431;8499
2013-04-28;8956;431;8525
2013-04-29;8970;431;8539
2013-04-30;8992;431;8561
2013-05-01;9001;431;8570
2013-05-02;9017;431;8586
2013-05-03;9037;432;8605
2013-05-04;9053;432;8621
2013-05-05;9061;432;8629
2013-05-06;9073;432;8641
2013-05-07;9093;431;8662
2013-05-08;9109;431;8678
2013-05-09;9120;431;8689
2013-05-11;9127;430;8697
2013-05-12;9143;430;8713
2013-05-13;9158;430;8728
2013-05-14;9183;430;8753
2013-05-15;9183;431;8752
2013-05-16;9198;431;8767
2013-05-17;9207;431;8776
2013-05-18;9231;433;8798
2013-05-19;9249;432;8817
2013-05-20;9263;432;8831
2013-05-21;9292;432;8860
2013-05-22;9314;432;8882
2013-05-23;9335;433;8902
2013-05-24;9355;433;8922
2013-05-25;9368;433;8935
2013-05-26;9391;434;8957
2013-05-27;9400;434;8966
2013-05-28;9430;434;8996
2013-05-29;9445;434;9011
2013-05-30;9463;434;9029
2013-05-31;9478;434;9044
2013-06-01;9496;434;9062
2013-06-02;9508;434;9074
2013-06-03;9518;433;9085
2013-06-04;9535;433;9102
2013-06-05;9550;433;9117
2013-06-06;9577;433;9144
2013-06-07;9580;433;9147
2013-06-08;9591;433;9158
2013-06-09;9597;433;9164
2013-06-10;9623;433;9190
2013-06-11;9640;433;9207
2013-06-20;9742;434;9308
2013-06-21;9756;434;9322
2013-06-22;9765;434;9331
2013-06-23;9774;434;9340
2013-06-24;9792;434;9358
2013-06-25;9805;434;9371
2013-06-26;9816;434;9382
2013-06-27;9822;435;9387
2013-06-28;9832;434;9398
2013-06-29;9839;434;9405
2013-06-30;9846;434;9412
2013-07-02;9871;434;9437
2013-07-03;9881;433;9448
2013-07-04;9880;433;9447
2013-07-05;9887;433;9454
2013-07-06;9904;433;9471
2013-07-07;9910;433;9477
2013-07-08;9921;433;9488
2013-07-09;9939;434;9505
2013-07-11;9955;434;9521
2013-07-12;9961;434;9527
2013-07-13;9975;434;9541
2013-07-14;9991;434;9557
2013-07-15;10001;434;9567
2013-07-16;10006;434;9572
2013-07-17;10019;434;9585
2013-07-18;10032;434;9598
2013-07-19;10044;434;9610
2013-07-20;10060;434;9626
2013-07-21;10078;434;9644
2013-07-22;10093;434;9659
2013-07-23;10107;434;9673
2013-07-24;10119;434;9685
2013-07-25;10130;434;9696
2013-07-26;10148;434;9714
2013-07-27;10151;434;9717
2013-07-28;10157;434;9723
2013-07-29;10168;434;9734
2013-07-30;10195;434;9761
2013-07-31;10206;435;9771
2013-08-01;10211;435;9776
2013-08-03;10240;435;9805
2013-08-05;10263;435;9828
2013-08-06;10268;435;9833
2013-08-07;10282;435;9847
2013-08-08;10297;435;9862
2013-08-09;10312;435;9877
2013-08-10;10319;435;9884
2013-08-11;10330;435;9895
2013-08-12;10332;435;9897
2013-08-13;10341;435;9906
2013-08-14;10348;435;9913
2013-08-15;10365;435;9930
2013-08-16;10378;435;9943
2013-08-17;10390;435;9955
2013-08-18;10395;435;9960
2013-08-19;10406;435;9971
2013-08-20;10422;435;9987
2013-08-21;10431;435;9996
2013-08-22;10445;435;10010
2013-08-23;10460;435;10025
2013-08-24;10465;434;10031
2013-08-25;10479;434;10045
2013-08-26;10491;434;10057
2013-08-27;10499;434;10065
2013-08-28;10510;434;10076
2013-08-29;10520;434;10086
2013-08-30;10527;434;10093
2013-08-31;10539;434;10105
2013-09-01;10559;434;10125
2013-09-02;10575;434;10141
2013-09-03;10603;434;10169
2013-09-04;10617;434;10183
2013-09-05;10637;434;10203
2013-09-06;10649;434;10215
2013-09-07;10662;437;10225
2013-09-08;10680;437;10243
2013-09-09;10686;437;10249
2013-09-10;10701;437;10264
2013-09-11;10702;437;10265
2013-09-12;10712;437;10275
2013-09-13;10716;437;10279
2013-09-14;10736;437;10299
2013-09-15;10748;437;10311
2013-09-16;10767;437;10330
2013-09-17;10776;437;10339
2013-09-18;10780;437;10343
2013-09-19;10796;437;10359
2013-09-20;10809;437;10372
2013-09-21;10818;438;10380
2013-09-22;10821;438;10383
2013-09-23;10840;438;10402
2013-09-24;10850;438;10412
2013-09-25;10863;438;10425
2013-09-26;10878;438;10440
2013-09-27;10892;438;10454
2013-09-28;10909;438;10471
2013-09-29;10920;438;10482
2013-09-30;10940;438;10502
2013-10-01;10958;438;10520
2013-10-02;10971;438;10533
2013-10-03;10988;438;10550
2013-10-04;10998;438;10560
2013-10-05;11008;438;10570
2013-10-06;11018;438;10580
2013-10-07;11033;438;10595
2013-10-08;11049;438;10611
2013-10-09;11071;438;10633
2013-10-10;11085;438;10647
2013-10-11;11091;438;10653
2013-10-12;11111;438;10673
2013-10-13;11120;438;10682
2013-10-14;11138;438;10700
2013-10-15;11158;438;10720
2013-10-16;11181;438;10743
2013-10-17;11195;438;10757
2013-10-18;11203;438;10765
2013-10-19;11215;437;10778
2013-10-20;11226;437;10789
2013-10-21;11241;437;10804
2013-10-22;11261;437;10824
2013-10-23;11272;437;10835
2013-10-24;11281;437;10844
2013-10-25;11288;437;10851
2013-10-26;11300;437;10863
2013-10-27;11311;437;10874
2013-10-28;11331;437;10894
2013-10-29;11338;436;10902
2013-10-30;11347;436;10911
2013-10-31;11347;438;10909
2013-11-01;11360;438;10922
2013-11-02;11384;438;10946
2013-11-03;11393;438;10955
2013-11-04;11400;438;10962
2013-11-05;11404;438;10966
2013-11-06;11442;438;11004
2013-11-07;11468;439;11029
2013-11-08;11491;439;11052
2013-11-09;11508;439;11069
2013-11-10;11528;439;11089
2013-11-11;11554;439;11115
2013-11-12;11578;439;11139
2013-11-13;11593;439;11154
2013-11-14;11609;439;11170
