date;followers;following;fans
2013-04-18;2334;4;2330
2013-04-20;2341;4;2337
2013-04-22;2341;4;2337
2013-04-24;2345;4;2341
2013-04-26;2352;4;2348
2013-04-28;2356;4;2352
2013-04-30;2359;4;2355
2013-05-02;2374;4;2370
2013-05-04;2375;4;2371
2013-05-06;2375;4;2371
2013-05-08;2373;4;2369
2013-05-10;2381;4;2377
2013-05-12;2376;4;2372
2013-05-14;2382;4;2378
2013-05-16;2398;4;2394
2013-05-18;2399;4;2395
2013-05-20;2403;4;2399
2013-05-22;2413;4;2409
2013-05-24;2419;4;2415
2013-05-26;2432;4;2428
2013-05-28;2436;4;2432
2013-05-30;2449;4;2445
2013-06-01;2458;4;2454
2013-06-03;2463;4;2459
2013-06-05;2469;4;2465
2013-06-07;2471;4;2467
2013-06-09;2478;4;2474
2013-06-11;2484;4;2480
2013-06-20;2516;4;2512
2013-06-21;2525;4;2521
2013-06-22;2531;4;2527
2013-06-23;2543;4;2539
2013-06-25;2545;4;2541
2013-06-26;2551;4;2547
2013-06-27;2561;4;2557
2013-06-28;2566;4;2562
2013-06-29;2572;4;2568
2013-06-30;2576;4;2572
2013-07-01;2576;4;2572
2013-07-03;2582;4;2578
2013-07-04;2585;4;2581
2013-07-05;2584;4;2580
2013-07-06;2588;4;2584
2013-07-07;2591;4;2587
2013-07-08;2596;4;2592
2013-07-09;2599;4;2595
2013-07-10;2606;4;2602
2013-07-12;2613;3;2610
2013-07-13;2617;3;2614
2013-07-14;2615;3;2612
2013-07-15;2620;3;2617
2013-07-16;2622;3;2619
2013-07-17;2624;3;2621
2013-07-18;2628;3;2625
2013-07-19;2638;3;2635
2013-07-21;2636;3;2633
2013-07-22;2638;3;2635
2013-07-23;2644;3;2641
2013-07-24;2645;3;2642
2013-07-25;2649;3;2646
2013-07-26;2650;3;2647
2013-07-27;2653;3;2650
2013-07-29;2656;3;2653
2013-07-30;2658;3;2655
2013-07-31;2665;3;2662
2013-08-01;2670;3;2667
2013-08-02;2667;3;2664
2013-08-03;2667;3;2664
2013-08-04;2674;3;2671
2013-08-05;2679;3;2676
2013-08-07;2682;3;2679
2013-08-08;2682;3;2679
2013-08-09;2685;3;2682
2013-08-10;2685;3;2682
2013-08-11;2688;3;2685
2013-08-12;2688;3;2685
2013-08-13;2694;3;2691
2013-08-15;2698;3;2695
2013-08-16;2697;3;2694
2013-08-17;2700;3;2697
2013-08-18;2704;3;2701
2013-08-19;2703;3;2700
2013-08-20;2709;3;2706
2013-08-22;2710;3;2707
2013-08-23;2715;3;2712
2013-08-24;2716;3;2713
2013-08-25;2722;3;2719
2013-08-26;2722;3;2719
2013-08-27;2729;3;2726
2013-08-28;2736;3;2733
2013-08-30;2735;3;2732
2013-08-31;2743;3;2740
2013-09-01;2742;3;2739
2013-09-02;2744;3;2741
2013-09-03;2745;3;2742
2013-09-04;2761;3;2758
2013-09-06;2762;3;2759
2013-09-07;2762;3;2759
2013-09-08;2764;3;2761
2013-09-09;2763;3;2760
2013-09-10;2766;3;2763
2013-09-11;2768;3;2765
2013-09-13;2768;3;2765
2013-09-14;2768;3;2765
2013-09-15;2770;3;2767
2013-09-16;2775;3;2772
2013-09-17;2781;3;2778
2013-09-18;2783;3;2780
2013-09-19;2786;3;2783
2013-09-21;2787;3;2784
2013-09-22;2790;3;2787
2013-09-23;2793;3;2790
2013-09-24;2798;3;2795
2013-09-25;2800;3;2797
2013-09-27;2800;3;2797
2013-09-28;2806;3;2803
2013-09-29;2808;3;2805
2013-09-30;2809;3;2806
2013-10-01;2812;3;2809
2013-10-02;2817;3;2814
2013-10-04;2818;3;2815
2013-10-05;2822;3;2819
2013-10-06;2825;3;2822
2013-10-07;2831;3;2828
2013-10-09;2832;3;2829
2013-10-10;2840;3;2837
2013-10-11;2842;3;2839
2013-10-12;2843;3;2840
2013-10-13;2846;3;2843
2013-10-15;2848;3;2845
2013-10-16;2848;3;2845
2013-10-17;2849;3;2846
2013-10-18;2853;3;2850
2013-10-19;2852;3;2849
2013-10-21;2857;3;2854
2013-10-22;2859;3;2856
2013-10-23;2861;3;2858
2013-10-24;2865;3;2862
2013-10-25;2867;3;2864
2013-10-27;2877;3;2874
2013-10-28;2878;3;2875
2013-10-29;2884;3;2881
2013-10-30;2888;3;2885
2013-10-31;2889;3;2886
2013-11-01;2896;3;2893
2013-11-03;2901;3;2898
2013-11-04;2902;3;2899
2013-11-05;2904;3;2901
2013-11-06;2905;3;2902
2013-11-07;2910;3;2907
2013-11-09;2913;3;2910
2013-11-10;2920;3;2917
2013-11-11;2923;3;2920
2013-11-12;2922;3;2919
2013-11-14;2926;3;2923
2013-11-15;2927;3;2924
2013-11-16;2928;3;2925
2013-11-17;2928;3;2925
2013-11-19;2931;3;2928
2013-11-20;2938;3;2935
2013-11-21;2938;3;2935
2013-11-22;2933;3;2930
2013-11-24;2937;3;2934
2013-11-25;2935;3;2932
2013-11-26;2938;3;2935
2013-11-27;2946;3;2943
2013-11-29;2947;3;2944
2013-11-30;2951;3;2948
2013-12-01;2953;3;2950
2013-12-02;2957;3;2954
2013-12-03;2960;3;2957
2013-12-05;2968;3;2965
2013-12-06;2979;3;2976
2013-12-07;2981;3;2978
2013-12-08;2987;3;2984
2013-12-10;2989;3;2986
2013-12-11;2990;3;2987
2013-12-12;2992;3;2989
2013-12-13;2995;3;2992
2013-12-15;3002;3;2999
2013-12-16;3002;3;2999
2013-12-17;3005;3;3002
2013-12-18;3009;3;3006
2013-12-20;3011;3;3008
2013-12-21;3016;3;3013
2013-12-22;3014;3;3011
2013-12-23;3021;3;3018
2013-12-25;3024;3;3021
2013-12-26;3027;3;3024
2013-12-27;3033;3;3030
2013-12-29;3036;3;3033
2013-12-30;3042;3;3039
2013-12-31;3042;3;3039
2014-01-01;3044;3;3041
2014-01-03;3053;3;3050
2014-01-04;3059;3;3056
2014-01-05;3060;3;3057
2014-01-06;3069;3;3066
2014-01-08;3070;3;3067
2014-01-09;3080;3;3077
2014-01-10;3084;3;3081
2014-01-12;3093;3;3090
2014-01-13;3102;3;3099
2014-01-14;3107;3;3104
2014-01-15;3108;3;3105
2014-01-17;3112;3;3109
2014-01-18;3115;3;3112
2014-01-19;3118;3;3115
2014-01-21;3120;3;3117
2014-01-22;3124;3;3121
2014-01-23;3122;3;3119
2014-01-24;3134;3;3131
2014-01-26;3141;3;3138
2014-01-27;3147;3;3144
2014-01-28;3150;3;3147
2014-01-30;3156;3;3153
2014-01-31;3157;3;3154
2014-02-01;3161;3;3158
2014-02-03;3167;3;3164
2014-02-04;3169;3;3166
2014-02-05;3178;3;3175
2014-02-07;3181;3;3178
2014-02-08;3184;3;3181
2014-02-09;3186;3;3183
2014-02-11;3190;3;3187
2014-02-12;3197;3;3194
2014-02-13;3201;3;3198
2014-02-14;3201;3;3198
2014-02-16;3201;3;3198
2014-02-17;3205;3;3202
2014-02-18;3211;3;3208
2014-02-20;3210;3;3207
2014-02-21;3214;3;3211
2014-02-23;3223;3;3220
2014-02-24;3229;3;3226
2014-02-25;3232;3;3229
2014-02-26;3249;3;3246
2014-02-28;3250;3;3247
2014-03-01;3257;3;3254
2014-03-03;3256;3;3253
2014-03-04;3259;3;3256
2014-03-05;3269;3;3266
2014-03-06;3270;3;3267
2014-03-08;3269;3;3266
2014-03-09;3271;3;3268
2014-03-11;3277;3;3274
2014-03-12;3280;3;3277
2014-03-13;3284;3;3281
2014-03-15;3288;3;3285
2014-03-16;3291;3;3288
2014-03-17;3297;3;3294
2014-03-19;3303;3;3300
2014-03-20;3308;3;3305
2014-03-21;3311;3;3308
2014-03-22;3318;3;3315
2014-03-24;3327;3;3324
2014-03-25;3335;3;3332
2014-03-27;3345;3;3342
2014-03-28;3348;3;3345
2014-03-29;3356;3;3353
2014-03-31;3365;3;3362
2014-04-01;3370;3;3367
