date;followers;following;fans
2013-07-09;1232;141;1091
2013-07-11;1233;141;1092
2013-07-13;1235;141;1094
2013-07-15;1235;142;1093
2013-07-17;1235;143;1092
2013-07-19;1236;143;1093
2013-07-21;1243;143;1100
2013-07-23;1242;142;1100
2013-07-25;1239;142;1097
2013-07-27;1250;143;1107
2013-07-29;1251;143;1108
2013-07-31;1263;143;1120
2013-08-02;1261;143;1118
2013-08-04;1260;143;1117
2013-08-06;1263;143;1120
2013-08-08;1262;143;1119
2013-08-10;1262;143;1119
2013-08-12;1264;143;1121
2013-08-14;1264;143;1121
2013-08-16;1266;143;1123
2013-08-18;1267;143;1124
2013-08-20;1272;144;1128
2013-08-22;1284;144;1140
2013-08-24;1285;144;1141
2013-08-26;1287;144;1143
2013-08-28;1288;144;1144
2013-08-30;1288;143;1145
2013-09-01;1287;143;1144
2013-09-03;1288;143;1145
2013-09-05;1289;143;1146
2013-09-07;1289;143;1146
2013-09-09;1289;143;1146
2013-09-11;1287;143;1144
2013-09-13;1284;143;1141
2013-09-15;1289;143;1146
2013-09-17;1292;143;1149
2013-09-19;1293;143;1150
2013-09-21;1291;143;1148
2013-09-23;1292;143;1149
2013-09-25;1309;144;1165
2013-09-27;1308;144;1164
2013-09-29;1308;144;1164
2013-10-01;1305;144;1161
2013-10-03;1306;144;1162
2013-10-05;1307;144;1163
2013-10-07;1309;144;1165
2013-10-09;1307;144;1163
2013-10-11;1306;144;1162
2013-10-13;1303;144;1159
2013-10-15;1302;144;1158
2013-10-17;1303;144;1159
2013-10-19;1303;144;1159
2013-10-21;1303;143;1160
2013-10-23;1301;143;1158
2013-10-25;1301;143;1158
2013-10-27;1301;143;1158
2013-10-28;1298;143;1155
2013-10-31;1299;144;1155
2013-11-01;1299;144;1155
2013-11-04;1300;145;1155
2013-11-06;1300;145;1155
2013-11-08;1299;145;1154
2013-11-10;1301;145;1156
2013-11-12;1305;149;1156
2013-11-14;1304;151;1153
2013-11-16;1304;152;1152
2013-11-18;1304;153;1151
2013-11-20;1304;153;1151
2013-11-22;1304;153;1151
2013-11-23;1305;155;1150
2013-11-26;1304;157;1147
2013-11-28;1305;159;1146
2013-11-30;1306;160;1146
2013-12-02;1307;164;1143
2013-12-04;1307;165;1142
2013-12-06;1306;165;1141
2013-12-08;1306;166;1140
2013-12-10;1306;170;1136
2013-12-12;1305;170;1135
2013-12-14;1305;170;1135
2013-12-16;1304;172;1132
2013-12-18;1306;173;1133
2013-12-20;1307;173;1134
2013-12-22;1307;173;1134
2013-12-24;1306;173;1133
2013-12-26;1305;173;1132
2013-12-28;1301;172;1129
2013-12-30;1304;173;1131
2014-01-01;1306;175;1131
2014-01-03;1304;174;1130
2014-01-05;1300;174;1126
2014-01-07;1301;174;1127
2014-01-09;1302;174;1128
2014-01-11;1301;174;1127
2014-01-13;1304;175;1129
2014-01-15;1306;175;1131
2014-01-17;1305;175;1130
2014-01-19;1305;175;1130
2014-01-21;1306;175;1131
2014-01-23;1303;175;1128
2014-01-25;1302;175;1127
2014-01-26;1305;175;1130
2014-01-29;1306;175;1131
2014-02-01;1305;175;1130
2014-02-03;1305;175;1130
2014-02-04;1306;175;1131
2014-02-07;1305;175;1130
2014-02-09;1303;175;1128
2014-02-11;1303;175;1128
2014-02-13;1306;175;1131
2014-02-15;1306;175;1131
2014-02-17;1307;175;1132
2014-02-19;1307;175;1132
2014-02-21;1307;175;1132
2014-02-23;1306;175;1131
2014-02-25;1306;175;1131
2014-02-27;1307;175;1132
2014-03-01;1306;175;1131
2014-03-03;1304;175;1129
2014-03-05;1304;175;1129
2014-03-07;1303;174;1129
2014-03-09;1303;174;1129
2014-03-11;1304;174;1130
2014-03-13;1304;174;1130
2014-03-15;1305;174;1131
2014-03-17;1303;169;1134
2014-03-19;1303;169;1134
2014-03-21;1303;169;1134
2014-03-23;1301;169;1132
2014-03-25;1302;169;1133
2014-03-27;1302;169;1133
2014-03-29;1303;169;1134
2014-03-31;1303;169;1134
2014-04-02;1302;168;1134
2014-04-04;1304;170;1134
2014-04-06;1305;172;1133
2014-04-08;1304;172;1132
2014-04-10;1303;172;1131
2014-04-12;1306;172;1134
2014-04-14;1308;172;1136
2014-04-16;1309;172;1137
2014-04-18;1307;172;1135
2014-04-20;1307;171;1136
2014-04-22;1306;170;1136
2014-04-24;1306;170;1136
2014-04-26;1307;170;1137
2014-04-28;1307;170;1137
2014-04-30;1309;174;1135
2014-05-02;1307;174;1133
2014-05-04;1306;174;1132
