date;followers;following;fans
2013-04-17;11430;15;11415
2013-04-18;11448;15;11433
2013-04-19;11469;15;11454
2013-04-20;11501;15;11486
2013-04-21;11520;15;11505
2013-04-22;11541;15;11526
2013-04-23;11563;15;11548
2013-04-24;11609;15;11594
2013-04-25;11647;15;11632
2013-04-26;11682;15;11667
2013-04-27;11716;15;11701
2013-04-28;11759;15;11744
2013-04-29;11790;15;11775
2013-04-30;11808;15;11793
2013-05-01;11835;15;11820
2013-05-02;11862;15;11847
2013-05-03;11885;15;11870
2013-05-04;11906;15;11891
2013-05-05;11923;15;11908
2013-05-06;11931;15;11916
2013-05-07;11939;15;11924
2013-05-08;11960;15;11945
2013-05-09;11970;15;11955
2013-05-10;11978;15;11963
2013-05-11;11982;15;11967
2013-05-12;11986;15;11971
2013-05-13;12006;15;11991
2013-05-14;12041;15;12026
2013-05-15;12075;15;12060
2013-05-16;12094;15;12079
2013-05-17;12112;15;12097
2013-05-18;12132;15;12117
2013-05-19;12150;15;12135
2013-05-20;12163;15;12148
2013-05-21;12182;15;12167
2013-05-22;12202;15;12187
2013-05-23;12222;15;12207
2013-05-24;12257;15;12242
2013-05-25;12294;15;12279
2013-05-26;12312;15;12297
2013-05-27;12339;15;12324
2013-05-28;12362;15;12347
2013-05-29;12390;15;12375
2013-05-30;12442;15;12427
2013-05-31;12473;15;12458
2013-06-01;12496;15;12481
2013-06-02;12510;15;12495
2013-06-03;12523;15;12508
2013-06-04;12542;15;12527
2013-06-05;12572;15;12557
2013-06-06;12594;15;12579
2013-06-07;12600;15;12585
2013-06-08;12621;15;12606
2013-06-09;12632;15;12617
2013-06-10;12656;15;12641
2013-06-11;12667;15;12652
2013-06-20;12811;15;12796
2013-06-21;12824;15;12809
2013-06-22;12856;15;12841
2013-06-23;12884;15;12869
2013-06-24;12906;15;12891
2013-06-25;12918;15;12903
2013-06-26;12936;15;12921
2013-06-27;12947;15;12932
2013-06-28;12966;15;12951
2013-06-29;12978;15;12963
2013-06-30;12995;15;12980
2013-07-01;13030;15;13015
2013-07-02;13053;15;13038
2013-07-03;13072;15;13057
2013-07-04;13084;15;13069
2013-07-05;13101;15;13086
2013-07-06;13120;15;13105
2013-07-07;13142;15;13127
2013-07-08;13161;15;13146
2013-07-09;13177;15;13162
2013-07-10;13198;15;13183
2013-07-11;13219;15;13204
2013-07-12;13242;15;13227
2013-07-13;13260;15;13245
2013-07-14;13284;15;13269
2013-07-15;13306;15;13291
2013-07-16;13335;15;13320
2013-07-17;13352;15;13337
2013-07-18;13362;15;13347
2013-07-19;13379;15;13364
2013-07-20;13390;15;13375
2013-07-21;13401;15;13386
2013-07-22;13414;15;13399
2013-07-23;13429;15;13414
2013-07-24;13448;15;13433
2013-07-25;13465;15;13450
2013-07-26;13481;15;13466
2013-07-27;13491;15;13476
2013-07-28;13503;15;13488
2013-07-29;13531;15;13516
2013-07-30;13559;15;13544
2013-07-31;13586;15;13571
2013-08-01;13612;15;13597
2013-08-02;13623;15;13608
2013-08-03;13629;15;13614
2013-08-04;13646;15;13631
2013-08-05;13647;15;13632
2013-08-06;13665;15;13650
2013-08-07;13670;15;13655
2013-08-08;13685;15;13670
2013-08-09;13711;15;13696
2013-08-10;13715;15;13700
2013-08-11;13732;15;13717
2013-08-12;13744;15;13729
2013-08-13;13772;15;13757
2013-08-14;13788;15;13773
2013-08-15;13801;15;13786
2013-08-16;13819;15;13804
2013-08-17;13831;15;13816
2013-08-18;13846;15;13831
2013-08-19;13863;15;13848
2013-08-20;13885;15;13870
2013-08-21;13905;15;13890
2013-08-22;13919;15;13904
2013-08-23;13932;15;13917
2013-08-24;13952;15;13937
2013-08-25;13969;15;13954
2013-08-26;13992;15;13977
2013-08-27;14015;15;14000
2013-08-28;14025;15;14010
2013-08-29;14050;15;14035
2013-08-30;14070;15;14055
2013-08-31;14078;15;14063
2013-09-01;14091;15;14076
2013-09-02;14105;15;14090
2013-09-03;14129;15;14114
2013-09-04;14143;15;14128
2013-09-05;14161;15;14146
2013-09-06;14176;15;14161
2013-09-07;14192;15;14177
2013-09-08;14208;15;14193
2013-09-09;14226;15;14211
2013-09-10;14242;15;14227
2013-09-11;14257;15;14242
2013-09-12;14259;15;14244
2013-09-13;14267;15;14252
2013-09-14;14276;15;14261
2013-09-15;14281;15;14266
2013-09-16;14299;15;14284
2013-09-17;14307;15;14292
2013-09-18;14324;15;14309
2013-09-19;14329;15;14314
2013-09-20;14340;15;14325
2013-09-21;14347;15;14332
2013-09-22;14357;15;14342
2013-09-23;14372;15;14357
2013-09-24;14381;15;14366
2013-09-25;14385;15;14370
2013-09-26;14388;15;14373
2013-09-27;14393;15;14378
2013-09-28;14402;15;14387
2013-09-29;14417;15;14402
2013-09-30;14432;15;14417
2013-10-01;14440;15;14425
2013-10-02;14457;15;14442
2013-10-03;14472;15;14457
2013-10-04;14485;15;14470
2013-10-05;14485;15;14470
2013-10-06;14493;15;14478
2013-10-07;14504;15;14489
2013-10-08;14513;15;14498
2013-10-09;14508;15;14493
2013-10-10;14514;15;14499
2013-10-11;14516;15;14501
2013-10-12;14526;15;14511
2013-10-13;14538;15;14523
2013-10-14;14542;15;14527
2013-10-15;14556;15;14541
2013-10-16;14567;15;14552
2013-10-17;14579;15;14564
2013-10-18;14595;15;14580
2013-10-19;14603;15;14588
2013-10-20;14616;15;14601
2013-10-21;14635;15;14620
2013-10-22;14638;15;14623
2013-10-23;14653;15;14638
2013-10-24;14668;15;14653
2013-10-25;14679;15;14664
2013-10-26;14686;15;14671
2013-10-27;14698;15;14683
2013-10-28;14708;15;14693
2013-10-29;14724;15;14709
2013-10-30;14729;15;14714
2013-10-31;14734;15;14719
2013-11-01;14739;15;14724
2013-11-02;14748;15;14733
2013-11-03;14749;15;14734
2013-11-04;14757;15;14742
2013-11-05;14768;15;14753
2013-11-06;14781;15;14766
2013-11-07;14782;15;14767
2013-11-08;14799;15;14784
2013-11-09;14808;15;14793
2013-11-10;14815;15;14800
2013-11-11;14831;15;14816
2013-11-12;14844;15;14829
2013-11-13;14843;15;14828
2013-11-14;14847;15;14832
2013-11-15;14864;15;14849
2013-11-16;14874;15;14859
2013-11-17;14886;15;14871
2013-11-18;14898;15;14883
2013-11-19;14905;15;14890
2013-11-20;14918;15;14903
2013-11-21;14925;15;14910
2013-11-22;14934;15;14919
2013-11-23;14950;15;14935
2013-11-24;14958;15;14943
2013-11-25;14967;15;14952
2013-11-26;14982;15;14967
2013-11-27;14994;15;14979
2013-11-28;15001;15;14986
2013-11-29;15011;15;14996
2013-11-30;15020;15;15005
2013-12-01;15038;15;15023
2013-12-02;15035;15;15020
2013-12-03;15044;15;15029
2013-12-04;15048;15;15033
2013-12-05;15055;15;15040
2013-12-06;15055;15;15040
2013-12-07;15069;15;15054
2013-12-08;15076;15;15061
2013-12-09;15079;15;15064
2013-12-10;15085;15;15070
2013-12-11;15094;15;15079
2013-12-12;15097;15;15082
2013-12-13;15102;15;15087
2013-12-14;15105;15;15090
2013-12-15;15109;15;15094
2013-12-16;15123;15;15108
2013-12-17;15134;15;15119
2013-12-18;15141;15;15126
2013-12-19;15151;15;15136
2013-12-20;15155;15;15140
2013-12-21;15165;15;15150
2013-12-22;15173;15;15158
2013-12-23;15178;15;15163
2013-12-24;15184;15;15169
2013-12-25;15195;15;15180
2013-12-26;15198;15;15183
2013-12-27;15205;15;15190
2013-12-28;15215;15;15200
2013-12-29;15224;15;15209
2013-12-30;15238;15;15223
2013-12-31;15252;15;15237
2014-01-01;15264;15;15249
2014-01-02;15272;15;15257
2014-01-03;15284;15;15269
2014-01-04;15281;15;15266
2014-01-05;15296;15;15281
2014-01-06;15297;15;15282
2014-01-07;15307;15;15292
2014-01-08;15323;15;15308
2014-01-09;15328;15;15313
2014-01-10;15328;15;15313
2014-01-11;15342;15;15327
2014-01-12;15355;15;15340
2014-01-13;15362;15;15347
2014-01-14;15370;15;15355
2014-01-15;15381;15;15366
2014-01-16;15398;15;15383
2014-01-17;15406;15;15391
2014-01-18;15418;15;15403
2014-01-19;15431;15;15416
2014-01-20;15460;15;15445
2014-01-21;15474;15;15459
2014-01-22;15492;15;15477
2014-01-23;15506;15;15491
2014-01-24;15520;15;15505
2014-01-25;15562;15;15547
2014-01-26;15574;15;15559
2014-01-27;15581;15;15566
2014-01-28;15582;15;15567
2014-01-30;15601;15;15586
2014-01-31;15617;15;15602
2014-02-01;15631;15;15616
2014-02-02;15637;15;15622
2014-02-03;15649;15;15634
2014-02-04;15668;15;15653
2014-02-05;15691;15;15676
2014-02-06;15704;15;15689
2014-02-07;15714;15;15699
2014-02-08;15736;15;15721
2014-02-09;15745;15;15730
2014-02-10;15768;15;15753
2014-02-11;15777;15;15762
2014-02-12;15791;15;15776
2014-02-13;15816;15;15801
2014-02-14;15829;15;15814
2014-02-15;15836;15;15821
2014-02-16;15852;15;15837
2014-02-17;15869;15;15854
2014-02-18;15880;15;15865
2014-02-19;15895;15;15880
2014-02-20;15906;15;15891
2014-02-21;15914;15;15899
2014-02-22;15931;15;15916
2014-02-23;15942;15;15927
2014-02-24;15961;15;15946
2014-02-25;15978;15;15963
2014-02-26;15999;15;15984
2014-02-27;16017;15;16002
2014-02-28;16032;15;16017
2014-03-01;16045;15;16030
2014-03-02;16060;15;16045
2014-03-03;16071;15;16056
2014-03-04;16087;15;16072
2014-03-05;16108;15;16093
2014-03-06;16124;15;16109
2014-03-07;16140;15;16125
2014-03-08;16146;15;16131
2014-03-09;16155;15;16140
2014-03-10;16167;15;16152
2014-03-11;16182;15;16167
2014-03-12;16205;15;16190
2014-03-13;16231;15;16216
2014-03-14;16250;15;16235
2014-03-15;16265;15;16250
2014-03-16;16282;15;16267
2014-03-17;16297;15;16282
2014-03-18;16313;15;16298
2014-03-19;16328;15;16313
2014-03-20;16343;15;16328
2014-03-21;16357;15;16342
2014-03-22;16374;15;16359
2014-03-23;16385;15;16370
2014-03-24;16407;15;16392
2014-03-25;16427;15;16412
2014-03-26;16448;15;16433
2014-03-27;16466;15;16451
2014-03-28;16482;15;16467
2014-03-29;16495;15;16480
2014-03-30;16510;15;16495
2014-03-31;16526;15;16511
2014-04-01;16541;15;16526
2014-04-02;16547;15;16532
2014-04-03;16564;15;16549
2014-04-04;16582;15;16567
2014-04-05;16592;15;16577
2014-04-06;16604;15;16589
2014-04-07;16612;15;16597
2014-04-08;16622;15;16607
2014-04-09;16634;15;16619
2014-04-10;16649;15;16634
2014-04-11;16660;15;16645
2014-04-12;16675;15;16660
2014-04-13;16684;15;16669
2014-04-14;16704;15;16689
2014-04-15;16713;15;16698
2014-04-16;16731;15;16716
2014-04-17;16755;15;16740
2014-04-18;16763;15;16748
2014-04-19;16775;15;16760
2014-04-20;16778;15;16763
2014-04-21;16794;15;16779
2014-04-22;16812;15;16797
2014-04-23;16830;15;16815
2014-04-24;16847;15;16832
2014-04-25;16861;15;16846
2014-04-26;16875;15;16860
2014-04-27;16892;15;16877
2014-04-28;16907;15;16892
2014-04-29;16918;15;16903
2014-04-30;16927;15;16912
2014-05-01;16941;15;16926
2014-05-02;16953;15;16938
2014-05-03;16960;15;16945
2014-05-04;16972;15;16957
2014-05-05;16988;15;16973
2014-05-06;17000;15;16985
