date;followers;following;fans
2013-04-18;7936;1493;6443
2013-04-19;7946;1493;6453
2013-04-20;7954;1492;6462
2013-04-22;7972;1492;6480
2013-04-23;7999;1492;6507
2013-04-25;8016;1490;6526
2013-04-26;8027;1491;6536
2013-04-27;8036;1491;6545
2013-04-28;8048;1491;6557
2013-04-29;8055;1490;6565
2013-05-01;8059;1490;6569
2013-05-02;8068;1490;6578
2013-05-03;8073;1491;6582
2013-05-04;8085;1491;6594
2013-05-06;8077;1491;6586
2013-05-07;8085;1491;6594
2013-05-08;8097;1491;6606
2013-05-09;8106;1491;6615
2013-05-11;8096;1488;6608
2013-05-12;8099;1487;6612
2013-05-13;8102;1487;6615
2013-05-14;8113;1490;6623
2013-05-15;8124;1490;6634
2013-05-16;8129;1490;6639
2013-05-17;8141;1492;6649
2013-05-18;8151;1492;6659
2013-05-19;8153;1491;6662
2013-05-20;8158;1490;6668
2013-05-21;8165;1490;6675
2013-05-22;8171;1491;6680
2013-05-23;8176;1491;6685
2013-05-24;8191;1490;6701
2013-05-25;8195;1490;6705
2013-05-26;8203;1489;6714
2013-05-27;8221;1490;6731
2013-05-28;8230;1490;6740
2013-05-30;8249;1489;6760
2013-05-31;8259;1490;6769
2013-06-01;8268;1490;6778
2013-06-02;8289;1490;6799
2013-06-03;8358;1493;6865
2013-06-04;8558;1495;7063
2013-06-05;8719;1495;7224
2013-06-06;8762;1495;7267
2013-06-08;8807;1495;7312
2013-06-09;8827;1495;7332
2013-06-10;8846;1495;7351
2013-06-11;8867;1494;7373
2013-06-20;8934;1494;7440
2013-06-21;8946;1494;7452
2013-06-22;8961;1494;7467
2013-06-23;8972;1494;7478
2013-06-24;8985;1494;7491
2013-06-25;8996;1494;7502
2013-06-26;9006;1494;7512
2013-06-27;9015;1494;7521
2013-06-28;9027;1494;7533
2013-06-30;9041;1493;7548
2013-07-02;9058;1493;7565
2013-07-03;9070;1492;7578
2013-07-04;9076;1492;7584
2013-07-05;9090;1492;7598
2013-07-06;9098;1492;7606
2013-07-07;9109;1492;7617
2013-07-08;9124;1492;7632
2013-07-09;9130;1492;7638
2013-07-11;9132;1492;7640
2013-07-12;9142;1492;7650
2013-07-13;9146;1492;7654
2013-07-14;9157;1492;7665
2013-07-15;9163;1492;7671
2013-07-16;9167;1504;7663
2013-07-17;9168;1504;7664
2013-07-18;9169;1504;7665
2013-07-19;9177;1518;7659
2013-07-20;9180;1533;7647
2013-07-21;9183;1533;7650
2013-07-22;9195;1533;7662
2013-07-23;9201;1534;7667
2013-07-24;9211;1533;7678
2013-07-25;9219;1533;7686
2013-07-26;9223;1533;7690
2013-07-27;9231;1533;7698
2013-07-28;9234;1533;7701
2013-07-29;9236;1533;7703
2013-07-30;9246;1534;7712
2013-07-31;9254;1538;7716
2013-08-01;9260;1539;7721
2013-08-03;9275;1540;7735
2013-08-05;9295;1540;7755
2013-08-06;9301;1540;7761
2013-08-07;9305;1540;7765
2013-08-08;9313;1540;7773
2013-08-09;9317;1540;7777
2013-08-10;9329;1540;7789
2013-08-11;9329;1539;7790
2013-08-12;9332;1539;7793
2013-08-13;9337;1539;7798
2013-08-14;9346;1539;7807
2013-08-15;9353;1539;7814
2013-08-16;9365;1539;7826
2013-08-17;9370;1539;7831
2013-08-18;9376;1539;7837
2013-08-19;9378;1539;7839
2013-08-20;9379;1539;7840
2013-08-21;9387;1542;7845
2013-08-22;9398;1542;7856
2013-08-23;9402;1548;7854
2013-08-24;9408;1549;7859
2013-08-25;9420;1549;7871
2013-08-26;9423;1549;7874
2013-08-27;9431;1550;7881
2013-08-28;9436;1549;7887
2013-08-29;9440;1557;7883
2013-08-30;9448;1557;7891
2013-08-31;9459;1557;7902
2013-09-01;9470;1557;7913
2013-09-02;9482;1556;7926
2013-09-03;9495;1557;7938
2013-09-04;9501;1557;7944
2013-09-05;9510;1558;7952
2013-09-06;9517;1558;7959
2013-09-07;9522;1560;7962
2013-09-08;9528;1561;7967
2013-09-09;9536;1561;7975
2013-09-10;9557;1561;7996
2013-09-11;9566;1561;8005
2013-09-12;9576;1562;8014
2013-09-13;9582;1562;8020
2013-09-14;9604;1562;8042
2013-09-15;9615;1562;8053
2013-09-16;9625;1562;8063
2013-09-17;9633;1562;8071
2013-09-18;9648;1564;8084
2013-09-19;9659;1564;8095
2013-09-20;9670;1564;8106
2013-09-21;9679;1564;8115
2013-09-22;9687;1564;8123
2013-09-23;9716;1565;8151
2013-09-24;9730;1565;8165
2013-09-25;9745;1565;8180
2013-09-26;9750;1565;8185
2013-09-27;9766;1565;8201
2013-09-28;9781;1565;8216
2013-09-29;9791;1565;8226
2013-10-01;9811;1566;8245
2013-10-02;9821;1566;8255
2013-10-03;9830;1566;8264
2013-10-04;9843;1566;8277
2013-10-05;9852;1566;8286
2013-10-06;9857;1566;8291
2013-10-07;9871;1566;8305
2013-10-08;9879;1566;8313
2013-10-09;9886;1567;8319
2013-10-10;9896;1567;8329
2013-10-11;9906;1567;8339
2013-10-12;9914;1566;8348
2013-10-13;9921;1566;8355
2013-10-14;9927;1566;8361
2013-10-15;9940;1567;8373
2013-10-16;9954;1567;8387
2013-10-17;9961;1567;8394
2013-10-18;9974;1567;8407
2013-10-19;9981;1567;8414
2013-10-20;9990;1568;8422
2013-10-21;9996;1568;8428
2013-10-22;10003;1568;8435
2013-10-23;10003;1568;8435
2013-10-24;10018;1568;8450
2013-10-25;10034;1568;8466
2013-10-26;10041;1568;8473
2013-10-27;10053;1568;8485
2013-10-29;10068;1568;8500
2013-10-30;10079;1568;8511
2013-10-31;10086;1568;8518
2013-11-01;10098;1568;8530
2013-11-02;10102;1568;8534
2013-11-03;10111;1568;8543
2013-11-05;10111;1568;8543
2013-11-06;10123;1568;8555
2013-11-07;10127;1567;8560
2013-11-08;10131;1568;8563
2013-11-09;10141;1569;8572
2013-11-10;10160;1569;8591
2013-11-11;10168;1569;8599
2013-11-12;10173;1569;8604
2013-11-13;10184;1569;8615
2013-11-15;10193;1571;8622
2013-11-16;10198;1573;8625
2013-11-17;10206;1573;8633
2013-11-18;10211;1573;8638
2013-11-19;10216;1574;8642
2013-11-21;10231;1575;8656
2013-11-22;10243;1575;8668
2013-11-23;10263;1575;8688
2013-11-25;10263;1575;8688
2013-11-26;10275;1575;8700
2013-11-27;10278;1575;8703
2013-11-28;10280;1575;8705
2013-11-29;10283;1574;8709
2013-11-30;10289;1574;8715
2013-12-01;10292;1573;8719
2013-12-02;10300;1573;8727
2013-12-03;10309;1573;8736
2013-12-04;10319;1573;8746
2013-12-05;10327;1573;8754
2013-12-06;10341;1573;8768
2013-12-08;10348;1577;8771
2013-12-09;10359;1577;8782
2013-12-11;10371;1576;8795
2013-12-12;10388;1576;8812
2013-12-13;10391;1576;8815
2013-12-14;10397;1576;8821
2013-12-15;10409;1577;8832
2013-12-16;10419;1577;8842
2013-12-17;10428;1577;8851
2013-12-18;10435;1577;8858
2013-12-19;10445;1577;8868
2013-12-20;10449;1578;8871
2013-12-21;10448;1578;8870
2013-12-22;10452;1578;8874
2013-12-23;10457;1578;8879
2013-12-24;10465;1578;8887
2013-12-26;10472;1578;8894
2013-12-27;10476;1579;8897
2013-12-28;10479;1579;8900
2013-12-29;10483;1579;8904
2013-12-30;10489;1579;8910
2013-12-31;10508;1581;8927
2014-01-01;10517;1581;8936
2014-01-02;10522;1581;8941
2014-01-03;10533;1581;8952
2014-01-04;10544;1581;8963
2014-01-05;10550;1581;8969
2014-01-06;10560;1581;8979
2014-01-07;10570;1581;8989
2014-01-08;10578;1583;8995
2014-01-09;10582;1584;8998
2014-01-10;10596;1584;9012
2014-01-11;10605;1584;9021
2014-01-12;10619;1585;9034
2014-01-13;10626;1585;9041
2014-01-14;10634;1585;9049
2014-01-15;10641;1586;9055
2014-01-16;10643;1585;9058
2014-01-17;10648;1584;9064
2014-01-18;10658;1585;9073
2014-01-19;10662;1585;9077
2014-01-20;10666;1585;9081
2014-01-21;10687;1585;9102
2014-01-22;10696;1586;9110
2014-01-23;10718;1586;9132
2014-01-24;10728;1594;9134
2014-01-25;10735;1599;9136
2014-01-26;10741;1599;9142
2014-01-28;10751;1599;9152
2014-01-29;10752;1600;9152
2014-01-31;10758;1600;9158
2014-02-01;10765;1600;9165
2014-02-02;10764;1600;9164
2014-02-03;10770;1600;9170
2014-02-04;10772;1600;9172
2014-02-05;10778;1601;9177
2014-02-06;10782;1603;9179
2014-02-07;10790;1602;9188
2014-02-08;10790;1604;9186
2014-02-09;10798;1604;9194
2014-02-10;10804;1604;9200
2014-02-11;10803;1604;9199
2014-02-12;10812;1604;9208
2014-02-13;10822;1604;9218
2014-02-14;10824;1604;9220
2014-02-15;10829;1604;9225
2014-02-16;10831;1604;9227
2014-02-17;10841;1604;9237
2014-02-18;10846;1605;9241
2014-02-19;10847;1605;9242
2014-02-20;10850;1605;9245
2014-02-21;10851;1605;9246
2014-02-22;10853;1605;9248
2014-02-23;10855;1605;9250
2014-02-24;10859;1605;9254
2014-02-25;10858;1605;9253
2014-02-26;10860;1605;9255
2014-02-27;10874;1605;9269
2014-02-28;10878;1605;9273
2014-03-01;10883;1605;9278
2014-03-02;10885;1605;9280
2014-03-03;10894;1605;9289
2014-03-04;10898;1607;9291
2014-03-05;10910;1607;9303
2014-03-06;10920;1607;9313
2014-03-07;10929;1607;9322
2014-03-08;10934;1607;9327
2014-03-09;10936;1607;9329
2014-03-10;10937;1607;9330
2014-03-11;10946;1607;9339
2014-03-12;10950;1607;9343
2014-03-13;10957;1608;9349
2014-03-14;10961;1608;9353
2014-03-15;10961;1608;9353
2014-03-16;10967;1608;9359
2014-03-17;10973;1607;9366
2014-03-18;10981;1607;9374
2014-03-19;10990;1607;9383
2014-03-20;10996;1607;9389
2014-03-21;11005;1607;9398
2014-03-22;11011;1609;9402
2014-03-23;11025;1609;9416
2014-03-24;11036;1609;9427
2014-03-25;11042;1609;9433
2014-03-26;11047;1608;9439
2014-03-27;11047;1608;9439
2014-03-28;11052;1608;9444
2014-03-29;11063;1610;9453
2014-03-30;11069;1611;9458
2014-03-31;11077;1611;9466
2014-04-01;11083;1612;9471
2014-04-02;11083;1612;9471
2014-04-03;11090;1612;9478
2014-04-04;11095;1612;9483
2014-04-05;11100;1615;9485
2014-04-06;11107;1615;9492
2014-04-07;11113;1615;9498
2014-04-08;11119;1619;9500
2014-04-09;11124;1619;9505
2014-04-10;11133;1620;9513
2014-04-11;11137;1622;9515
2014-04-12;11141;1622;9519
2014-04-13;11142;1622;9520
2014-04-14;11143;1622;9521
2014-04-15;11144;1622;9522
2014-04-16;11150;1622;9528
2014-04-17;11157;1622;9535
2014-04-18;11163;1621;9542
2014-04-19;11165;1621;9544
2014-04-20;11163;1621;9542
2014-04-21;11164;1621;9543
2014-04-22;11168;1621;9547
2014-04-23;11172;1621;9551
2014-04-24;11177;1621;9556
2014-04-25;11183;1622;9561
2014-04-26;11193;1622;9571
2014-04-27;11197;1624;9573
2014-04-28;11201;1624;9577
2014-04-29;11210;1624;9586
2014-04-30;11218;1624;9594
2014-05-01;11232;1625;9607
2014-05-02;11242;1625;9617
2014-05-03;11250;1625;9625
2014-05-04;11256;1625;9631
2014-05-05;11266;1626;9640
