date;followers;following;fans
2014-03-10;2133;815;1318
2014-03-13;2136;817;1319
2014-03-15;2135;818;1317
2014-03-17;2136;817;1319
2014-03-19;2141;819;1322
2014-03-21;2139;819;1320
2014-03-23;2143;820;1323
2014-03-25;2142;820;1322
2014-03-27;2142;820;1322
2014-03-29;2143;820;1323
2014-03-31;2143;820;1323
2014-04-02;2142;822;1320
2014-04-04;2142;822;1320
2014-04-06;2142;823;1319
2014-04-08;2141;822;1319
2014-04-10;2140;822;1318
2014-04-12;2141;822;1319
2014-04-14;2141;822;1319
2014-04-16;2141;822;1319
2014-04-18;2144;822;1322
2014-04-20;2143;822;1321
2014-04-22;2143;822;1321
2014-04-24;2144;824;1320
2014-04-26;2141;824;1317
2014-04-28;2141;824;1317
2014-04-30;2141;826;1315
2014-05-02;2145;827;1318
2014-05-04;2144;827;1317
