date;followers;following;fans
2013-12-05;1450;435;1015
2013-12-07;1449;435;1014
2013-12-09;1449;435;1014
2013-12-11;1448;434;1014
2013-12-13;1448;434;1014
2013-12-15;1448;434;1014
2013-12-17;1447;434;1013
2013-12-19;1449;435;1014
2013-12-21;1451;435;1016
2013-12-23;1450;435;1015
2013-12-25;1449;435;1014
2013-12-27;1450;435;1015
2013-12-29;1449;443;1006
2013-12-31;1449;443;1006
2014-01-18;1453;389;1064
2014-01-20;1451;394;1057
2014-01-22;1452;400;1052
2014-01-24;1451;400;1051
2014-01-26;1452;400;1052
2014-01-28;1453;400;1053
2014-01-30;1456;405;1051
2014-02-01;1459;407;1052
2014-02-03;1461;412;1049
2014-02-05;1460;413;1047
2014-02-07;1462;415;1047
2014-02-09;1463;415;1048
2014-02-11;1463;422;1041
2014-02-13;1465;425;1040
2014-02-15;1465;425;1040
2014-02-17;1467;426;1041
2014-02-19;1465;427;1038
2014-02-21;1468;433;1035
2014-02-23;1470;435;1035
2014-02-25;1472;438;1034
2014-02-27;1474;438;1036
2014-03-01;1473;438;1035
2014-03-03;1472;438;1034
2014-03-05;1474;442;1032
2014-03-07;1474;442;1032
2014-03-09;1476;444;1032
2014-03-11;1489;447;1042
2014-03-13;1492;447;1045
2014-03-15;1496;448;1048
2014-03-17;1507;434;1073
2014-03-19;1514;435;1079
2014-03-21;1517;435;1082
2014-03-23;1518;437;1081
2014-03-25;1522;437;1085
2014-03-27;1525;436;1089
2014-03-29;1525;436;1089
2014-03-31;1530;436;1094
2014-04-02;1532;435;1097
2014-04-04;1534;437;1097
2014-04-06;1533;437;1096
2014-04-08;1534;437;1097
2014-04-10;1533;437;1096
2014-04-12;1533;437;1096
2014-04-14;1533;437;1096
2014-04-16;1536;437;1099
2014-04-18;1537;437;1100
2014-04-20;1538;437;1101
2014-04-22;1536;437;1099
2014-04-24;1538;437;1101
2014-04-26;1539;437;1102
2014-04-28;1539;437;1102
2014-04-30;1540;438;1102
2014-05-02;1541;438;1103
2014-05-04;1541;438;1103
