date;followers;following;fans
2013-04-18;7303;838;6465
2013-04-19;7305;838;6467
2013-04-20;7315;838;6477
2013-04-21;7325;838;6487
2013-04-22;7327;838;6489
2013-04-23;7331;838;6493
2013-04-24;7340;839;6501
2013-04-25;7346;839;6507
2013-04-26;7354;839;6515
2013-04-27;7358;839;6519
2013-04-28;7364;839;6525
2013-04-29;7368;839;6529
2013-04-30;7374;839;6535
2013-05-01;7377;839;6538
2013-05-02;7383;839;6544
2013-05-03;7396;839;6557
2013-05-04;7403;839;6564
2013-05-05;7407;839;6568
2013-05-06;7412;839;6573
2013-05-07;7418;839;6579
2013-05-08;7427;839;6588
2013-05-09;7433;839;6594
2013-05-11;7400;838;6562
2013-05-12;7402;838;6564
2013-05-13;7404;838;6566
2013-05-14;7423;838;6585
2013-05-15;7442;838;6604
2013-05-16;7452;838;6614
2013-05-17;7464;839;6625
2013-05-18;7469;839;6630
2013-05-19;7476;839;6637
2013-05-20;7478;839;6639
2013-05-21;7488;839;6649
2013-05-22;7499;839;6660
2013-05-23;7508;839;6669
2013-05-24;7523;839;6684
2013-05-25;7530;839;6691
2013-05-26;7530;839;6691
2013-05-27;7531;839;6692
2013-05-28;7536;839;6697
2013-05-30;7551;839;6712
2013-05-31;7560;839;6721
2013-06-01;7567;839;6728
2013-06-02;7575;839;6736
2013-06-03;7575;839;6736
2013-06-04;7584;839;6745
2013-06-05;7595;839;6756
2013-06-06;7603;839;6764
2013-06-08;7616;839;6777
2013-06-09;7619;839;6780
2013-06-10;7620;839;6781
2013-06-11;7618;839;6779
2013-06-20;7668;839;6829
2013-06-21;7671;839;6832
2013-06-22;7680;839;6841
2013-06-23;7684;839;6845
2013-06-24;7684;839;6845
2013-06-25;7691;839;6852
2013-06-26;7698;839;6859
2013-06-27;7698;839;6859
2013-06-28;7706;839;6867
2013-06-30;7706;839;6867
2013-07-02;7714;839;6875
2013-07-03;7717;839;6878
2013-07-04;7725;839;6886
2013-07-05;7727;839;6888
2013-07-06;7740;839;6901
2013-07-07;7741;839;6902
2013-07-08;7743;839;6904
2013-07-09;7748;839;6909
2013-07-11;7757;839;6918
2013-07-12;7761;839;6922
2013-07-13;7773;839;6934
2013-07-14;7775;839;6936
2013-07-15;7777;839;6938
2013-07-16;7782;839;6943
2013-07-17;7788;839;6949
2013-07-18;7789;839;6950
2013-07-19;7797;838;6959
2013-07-20;7802;839;6963
2013-07-21;7808;839;6969
2013-07-22;7812;839;6973
2013-07-23;7814;839;6975
2013-07-24;7816;839;6977
2013-07-25;7825;839;6986
