date;followers;following;fans
2013-04-17;3720;76;3644
2013-04-18;3722;75;3647
2013-04-19;3722;75;3647
2013-04-20;3722;75;3647
2013-04-21;3720;75;3645
2013-04-22;3717;75;3642
2013-04-23;3718;75;3643
2013-04-24;3713;75;3638
2013-04-26;3712;75;3637
2013-04-27;3712;75;3637
2013-04-28;3713;75;3638
2013-04-29;3741;73;3668
2013-04-30;3742;73;3669
2013-05-01;3748;74;3674
2013-05-02;3753;75;3678
2013-05-03;3753;74;3679
2013-05-04;3758;73;3685
2013-05-06;3766;74;3692
2013-05-07;3763;73;3690
2013-05-08;3762;72;3690
2013-05-09;3760;72;3688
2013-05-10;3760;72;3688
2013-05-11;3756;72;3684
2013-05-12;3757;72;3685
2013-05-13;3761;71;3690
2013-05-14;3763;71;3692
2013-05-15;3764;71;3693
2013-05-17;3760;71;3689
2013-05-18;3761;71;3690
2013-05-19;3763;72;3691
2013-05-20;3766;74;3692
2013-05-21;3769;74;3695
2013-05-22;3764;74;3690
2013-05-23;3764;74;3690
2013-05-24;3760;74;3686
2013-05-25;3759;75;3684
2013-05-27;3758;75;3683
2013-05-28;3757;75;3682
2013-05-29;3758;75;3683
2013-05-30;3757;75;3682
2013-05-31;3760;75;3685
2013-06-01;3759;75;3684
2013-06-02;3758;75;3683
2013-06-03;3756;75;3681
2013-06-05;3759;75;3684
2013-06-06;3761;75;3686
2013-06-07;3761;74;3687
2013-06-08;3757;74;3683
2013-06-09;3755;74;3681
2013-06-10;3755;74;3681
2013-06-11;3755;74;3681
2013-06-20;3766;74;3692
2013-06-21;3770;74;3696
2013-06-22;3773;74;3699
2013-06-23;3772;74;3698
2013-06-25;3770;74;3696
2013-06-26;3767;74;3693
2013-06-27;3765;74;3691
2013-06-28;3763;74;3689
2013-06-29;3764;74;3690
2013-06-30;3762;74;3688
2013-07-01;3764;74;3690
2013-07-02;3764;74;3690
2013-07-04;3767;74;3693
2013-07-05;3769;74;3695
2013-07-06;3768;74;3694
2013-07-07;3770;74;3696
2013-07-08;3771;74;3697
2013-07-09;3770;74;3696
2013-07-10;3772;74;3698
2013-07-11;3773;74;3699
2013-07-13;3772;74;3698
2013-07-14;3769;74;3695
2013-07-15;3770;74;3696
2013-07-16;3770;74;3696
2013-07-17;3772;74;3698
2013-07-18;3771;74;3697
2013-07-19;3773;74;3699
2013-07-20;3779;74;3705
2013-07-22;3778;74;3704
2013-07-23;3778;74;3704
2013-07-24;3776;74;3702
2013-07-25;3775;74;3701
2013-07-26;3777;74;3703
2013-07-27;3775;74;3701
2013-07-28;3773;74;3699
2013-07-30;3772;73;3699
2013-07-31;3767;72;3695
2013-08-01;3770;72;3698
2013-08-02;3768;72;3696
2013-08-03;3770;72;3698
