date;followers;following;fans
2013-04-17;27311;32;27279
2013-04-18;27338;32;27306
2013-04-19;27374;32;27342
2013-04-20;27420;32;27388
2013-04-21;27449;32;27417
2013-04-22;27487;32;27455
2013-04-23;27526;32;27494
2013-04-24;27567;32;27535
2013-04-25;27595;32;27563
2013-04-26;27627;32;27595
2013-04-27;27663;32;27631
2013-04-28;27694;32;27662
2013-04-29;27714;32;27682
2013-04-30;27753;32;27721
2013-05-01;27787;32;27755
2013-05-02;27827;32;27795
2013-05-03;27876;32;27844
2013-05-04;27925;32;27893
2013-05-05;27954;32;27922
2013-05-06;27969;32;27937
2013-05-07;28005;32;27973
2013-05-08;28082;32;28050
2013-05-09;28109;32;28077
2013-05-10;28141;32;28109
2013-05-11;28132;32;28100
2013-05-12;28155;32;28123
2013-05-13;28182;32;28150
2013-05-14;28232;32;28200
2013-05-15;28295;32;28263
2013-05-16;28343;32;28311
2013-05-17;28376;32;28344
2013-05-18;28418;32;28386
2013-05-19;28449;32;28417
2013-05-20;28478;32;28446
2013-05-21;28497;32;28465
2013-05-22;28534;32;28502
2013-05-23;28570;32;28538
2013-05-24;28608;32;28576
2013-05-25;28638;32;28606
2013-05-26;28656;32;28624
2013-05-27;28683;32;28651
2013-05-28;28722;32;28690
2013-05-29;28744;32;28712
2013-05-30;28791;32;28759
2013-05-31;28843;32;28811
2013-06-01;28874;32;28842
2013-06-02;28913;32;28881
2013-06-03;28956;32;28924
2013-06-04;28988;32;28956
2013-06-05;29027;32;28995
2013-06-06;29071;32;29039
2013-06-07;29118;32;29086
2013-06-08;29147;32;29115
2013-06-09;29171;32;29139
2013-06-10;29200;32;29168
2013-06-11;29234;32;29202
2013-06-20;29505;32;29473
2013-06-21;29537;32;29505
2013-06-22;29570;32;29538
2013-06-23;29590;32;29558
2013-06-24;29631;32;29599
2013-06-25;29666;32;29634
2013-06-26;29714;32;29682
2013-06-27;29756;32;29724
2013-06-28;29803;32;29771
2013-06-29;29828;32;29796
2013-06-30;29873;32;29841
2013-07-01;29903;32;29871
2013-07-02;29936;32;29904
2013-07-03;29955;32;29923
2013-07-04;29978;32;29946
2013-07-05;30001;32;29969
2013-07-06;30034;32;30002
2013-07-07;30052;32;30020
2013-07-08;30072;32;30040
2013-07-09;30100;32;30068
2013-07-10;30124;32;30092
2013-07-11;30158;32;30126
2013-07-12;30198;32;30166
2013-07-13;30227;32;30195
2013-07-14;30241;32;30209
2013-07-15;30257;32;30225
2013-07-16;30266;32;30234
2013-07-17;30301;32;30269
2013-07-18;30326;32;30294
2013-07-19;30349;32;30317
2013-07-20;30377;32;30345
2013-07-21;30384;32;30352
2013-07-22;30402;32;30370
2013-07-23;30425;32;30393
2013-07-24;30448;32;30416
2013-07-25;30474;32;30442
2013-07-26;30514;32;30482
2013-07-27;30544;32;30512
2013-07-28;30556;32;30524
2013-07-29;30575;32;30543
2013-07-30;30598;32;30566
2013-07-31;30613;32;30581
2013-08-01;30643;32;30611
2013-08-02;30665;32;30633
2013-08-03;30692;32;30660
2013-08-04;30700;32;30668
2013-08-05;30718;32;30686
2013-08-06;30735;32;30703
2013-08-07;30759;32;30727
2013-08-08;30790;32;30758
2013-08-09;30817;32;30785
2013-08-10;30836;32;30804
2013-08-11;30853;32;30821
2013-08-12;30876;32;30844
2013-08-13;30904;32;30872
2013-08-14;30925;32;30893
2013-08-15;30958;32;30926
2013-08-16;30989;32;30957
2013-08-17;31017;32;30985
2013-08-18;31036;32;31004
2013-08-19;31053;32;31021
2013-08-20;31073;32;31041
2013-08-21;31091;32;31059
2013-08-22;31123;32;31091
2013-08-23;31145;32;31113
2013-08-24;31171;32;31139
2013-08-25;31190;32;31158
2013-08-26;31217;32;31185
2013-08-27;31233;32;31201
2013-08-28;31251;32;31219
2013-08-29;31264;32;31232
2013-08-30;31295;32;31263
2013-08-31;31318;32;31286
2013-09-01;31336;32;31304
2013-09-02;31372;32;31340
2013-09-03;31409;32;31377
