date;followers;following;fans
2013-04-18;6546;523;6023
2013-04-19;6557;523;6034
2013-04-20;6568;523;6045
2013-04-21;6576;523;6053
2013-04-22;6581;523;6058
2013-04-23;6588;523;6065
2013-04-24;6600;523;6077
2013-04-25;6599;523;6076
2013-04-26;6614;523;6091
2013-04-27;6623;523;6100
2013-04-28;6622;523;6099
2013-04-29;6627;523;6104
2013-04-30;6630;523;6107
2013-05-01;6638;523;6115
2013-05-02;6641;523;6118
2013-05-03;6650;523;6127
2013-05-04;6664;523;6141
2013-05-05;6664;523;6141
2013-05-06;6666;523;6143
2013-05-07;6673;523;6150
2013-05-08;6679;523;6156
2013-05-09;6683;523;6160
2013-05-11;6655;516;6139
2013-05-12;6656;515;6141
2013-05-13;6657;515;6142
2013-05-14;6670;516;6154
2013-05-15;6688;521;6167
2013-05-16;6697;521;6176
2013-05-17;6704;522;6182
2013-05-18;6716;523;6193
2013-05-19;6719;523;6196
2013-05-20;6722;523;6199
2013-05-21;6725;523;6202
2013-05-22;6734;523;6211
2013-05-23;6739;523;6216
2013-05-24;6748;523;6225
2013-05-25;6753;523;6230
2013-05-26;6753;523;6230
2013-05-27;6760;523;6237
2013-05-28;6763;523;6240
2013-05-29;6773;523;6250
2013-05-30;6782;523;6259
2013-05-31;6790;523;6267
2013-06-01;6791;523;6268
2013-06-02;6795;523;6272
2013-06-03;6799;523;6276
2013-06-04;6803;523;6280
2013-06-05;6810;523;6287
2013-06-06;6814;523;6291
2013-06-07;6814;523;6291
2013-06-08;6820;523;6297
2013-06-09;6820;523;6297
2013-06-10;6819;523;6296
2013-06-11;6828;523;6305
2013-06-20;6876;523;6353
2013-06-21;6880;523;6357
2013-06-22;6883;523;6360
2013-06-23;6888;523;6365
2013-06-24;6892;523;6369
2013-06-25;6901;523;6378
2013-06-26;6907;523;6384
2013-06-27;6917;523;6394
2013-06-28;6921;523;6398
2013-06-30;6935;523;6412
2013-07-02;6949;523;6426
2013-07-03;6950;523;6427
2013-07-04;6960;523;6437
2013-07-05;6967;523;6444
2013-07-06;6972;523;6449
2013-07-07;6979;523;6456
2013-07-08;6983;523;6460
2013-07-09;6995;523;6472
2013-07-11;6998;523;6475
2013-07-12;7010;523;6487
2013-07-13;7014;523;6491
2013-07-14;7016;523;6493
2013-07-15;7021;523;6498
2013-07-16;7030;523;6507
2013-07-17;7035;523;6512
2013-07-18;7039;523;6516
2013-07-19;7047;523;6524
2013-07-20;7051;523;6528
2013-07-21;7049;523;6526
2013-07-22;7050;523;6527
2013-07-23;7052;523;6529
2013-07-24;7057;523;6534
2013-07-25;7061;523;6538
2013-07-26;7070;523;6547
2013-07-27;7068;522;6546
2013-07-28;7070;522;6548
2013-07-29;7072;523;6549
2013-07-30;7083;523;6560
2013-07-31;7093;523;6570
2013-08-01;7099;523;6576
2013-08-03;7107;523;6584
2013-08-05;7110;523;6587
2013-08-06;7114;523;6591
2013-08-07;7118;523;6595
2013-08-08;7121;523;6598
2013-08-09;7127;523;6604
2013-08-10;7128;523;6605
2013-08-11;7131;523;6608
2013-08-12;7139;523;6616
2013-08-13;7150;523;6627
2013-08-14;7156;523;6633
2013-08-15;7170;523;6647
2013-08-16;7172;523;6649
2013-08-17;7177;523;6654
2013-08-18;7175;523;6652
2013-08-19;7176;523;6653
2013-08-20;7184;523;6661
2013-08-21;7192;523;6669
2013-08-22;7194;523;6671
2013-08-23;7200;523;6677
2013-08-24;7203;523;6680
2013-08-25;7207;523;6684
2013-08-26;7213;523;6690
2013-08-27;7221;523;6698
2013-08-28;7233;523;6710
2013-08-29;7248;523;6725
2013-08-30;7256;523;6733
2013-08-31;7262;523;6739
2013-09-01;7266;523;6743
2013-09-02;7273;523;6750
2013-09-03;7285;523;6762
2013-09-04;7293;523;6770
2013-09-05;7305;523;6782
2013-09-06;7315;523;6792
2013-09-07;7320;523;6797
2013-09-08;7321;523;6798
2013-09-09;7325;523;6802
2013-09-10;7337;523;6814
2013-09-11;7343;523;6820
2013-09-12;7345;523;6822
2013-09-13;7349;523;6826
2013-09-14;7356;523;6833
2013-09-15;7356;523;6833
2013-09-16;7359;523;6836
2013-09-17;7365;523;6842
2013-09-18;7374;523;6851
2013-09-19;7384;523;6861
2013-09-20;7396;523;6873
2013-09-21;7407;523;6884
2013-09-22;7408;523;6885
2013-09-23;7417;523;6894
2013-09-24;7427;523;6904
2013-09-25;7428;523;6905
2013-09-26;7437;523;6914
2013-09-27;7448;523;6925
2013-09-28;7454;523;6931
2013-09-29;7454;523;6931
2013-10-01;7463;523;6940
2013-10-02;7464;523;6941
2013-10-03;7469;523;6946
2013-10-04;7466;523;6943
2013-10-05;7472;523;6949
2013-10-06;7474;523;6951
2013-10-07;7476;523;6953
2013-10-08;7479;523;6956
2013-10-09;7478;523;6955
2013-10-10;7484;523;6961
2013-10-11;7488;523;6965
2013-10-12;7488;523;6965
2013-10-13;7491;523;6968
2013-10-14;7496;523;6973
2013-10-15;7501;523;6978
2013-10-16;7513;523;6990
2013-10-17;7516;523;6993
2013-10-18;7517;523;6994
2013-10-19;7523;523;7000
2013-10-20;7528;523;7005
2013-10-21;7530;523;7007
2013-10-22;7534;523;7011
2013-10-23;7536;523;7013
2013-10-24;7536;523;7013
2013-10-25;7545;523;7022
2013-10-26;7548;523;7025
2013-10-27;7548;523;7025
2013-10-29;7553;523;7030
2013-10-30;7558;523;7035
2013-10-31;7556;523;7033
2013-11-01;7557;523;7034
2013-11-02;7559;523;7036
2013-11-03;7562;523;7039
2013-11-05;7568;523;7045
2013-11-06;7576;523;7053
2013-11-07;7576;523;7053
2013-11-08;7577;523;7054
2013-11-09;7580;523;7057
2013-11-10;7584;523;7061
2013-11-11;7588;523;7065
2013-11-12;7595;523;7072
2013-11-13;7601;523;7078
2013-11-15;7616;523;7093
2013-11-16;7623;523;7100
2013-11-17;7624;523;7101
2013-11-18;7623;523;7100
2013-11-19;7629;523;7106
2013-11-21;7640;523;7117
2013-11-22;7648;523;7125
2013-11-23;7650;523;7127
2013-11-25;7652;523;7129
2013-11-26;7659;523;7136
2013-11-27;7661;523;7138
2013-11-28;7667;523;7144
2013-11-29;7676;523;7153
2013-11-30;7681;523;7158
2013-12-01;7682;523;7159
2013-12-02;7683;523;7160
2013-12-03;7684;523;7161
2013-12-04;7692;523;7169
2013-12-05;7698;523;7175
2013-12-06;7700;523;7177
2013-12-08;7701;523;7178
2013-12-09;7706;523;7183
2013-12-11;7708;523;7185
2013-12-12;7715;523;7192
2013-12-13;7720;523;7197
2013-12-14;7722;523;7199
2013-12-15;7726;523;7203
2013-12-16;7728;523;7205
2013-12-17;7727;523;7204
2013-12-18;7731;523;7208
2013-12-19;7734;523;7211
2013-12-20;7736;523;7213
2013-12-21;7738;523;7215
2013-12-22;7742;523;7219
2013-12-23;7749;523;7226
2013-12-24;7749;523;7226
2013-12-25;7751;523;7228
2013-12-26;7751;523;7228
2013-12-27;7750;523;7227
2013-12-28;7751;523;7228
2013-12-29;7749;523;7226
2013-12-30;7752;523;7229
2013-12-31;7750;523;7227
2014-01-01;7749;523;7226
2014-01-02;7749;523;7226
2014-01-03;7751;523;7228
2014-01-04;7759;523;7236
2014-01-05;7765;523;7242
2014-01-06;7766;523;7243
2014-01-07;7773;523;7250
2014-01-08;7776;523;7253
2014-01-09;7779;523;7256
2014-01-10;7782;523;7259
2014-01-11;7784;523;7261
2014-01-12;7789;523;7266
2014-01-13;7790;523;7267
2014-01-14;7790;523;7267
2014-01-15;7797;523;7274
2014-01-16;7806;523;7283
2014-01-17;7811;523;7288
2014-01-18;7813;523;7290
2014-01-19;7818;523;7295
2014-01-20;7820;523;7297
2014-01-21;7827;523;7304
2014-01-22;7834;523;7311
2014-01-23;7844;523;7321
2014-01-24;7849;523;7326
2014-01-25;7854;523;7331
2014-01-26;7859;523;7336
2014-01-27;7865;523;7342
2014-01-28;7873;523;7350
2014-01-29;7872;523;7349
2014-01-31;7871;523;7348
2014-02-01;7878;523;7355
2014-02-02;7879;523;7356
2014-02-03;7883;523;7360
2014-02-04;7888;523;7365
2014-02-05;7895;523;7372
2014-02-06;7905;523;7382
2014-02-07;7906;522;7384
