date;followers;following;fans
2013-06-10;2849;1758;1091
2013-06-20;2903;1776;1127
2013-06-22;2917;1777;1140
2013-06-24;2923;1788;1135
2013-06-26;2938;1787;1151
2013-06-28;2955;1788;1167
2013-06-30;2961;1791;1170
2013-07-02;2965;1790;1175
2013-07-04;2965;1792;1173
2013-07-06;2968;1791;1177
2013-07-08;2975;1791;1184
2013-07-10;2982;1791;1191
2013-07-12;2986;1791;1195
2013-07-14;2984;1793;1191
2013-07-16;2990;1796;1194
2013-07-18;3004;1799;1205
2013-07-20;3009;1801;1208
2013-07-22;3013;1803;1210
2013-07-24;3018;1803;1215
2013-07-26;3022;1808;1214
2013-07-28;3030;1811;1219
2013-07-30;3036;1810;1226
2013-08-01;3036;1814;1222
2013-08-03;3042;1816;1226
2013-08-05;3045;1815;1230
2013-08-07;3043;1814;1229
2013-08-09;3048;1812;1236
2013-08-11;3052;1812;1240
2013-08-13;3056;1812;1244
2013-08-15;3060;1812;1248
2013-08-17;3063;1813;1250
2013-08-19;3068;1813;1255
2013-08-21;3069;1813;1256
2013-08-23;3067;1813;1254
2013-08-25;3078;1812;1266
2013-08-27;3079;1813;1266
2013-08-29;3089;1813;1276
2013-08-31;3103;1817;1286
2013-09-02;3113;1826;1287
2013-09-04;3125;1827;1298
2013-09-06;3130;1826;1304
2013-09-08;3136;1826;1310
2013-09-10;3145;1826;1319
2013-09-12;3155;1826;1329
2013-09-14;3158;1824;1334
2013-09-16;3169;1825;1344
2013-09-18;3187;1826;1361
2013-09-20;3207;1829;1378
2013-09-22;3214;1828;1386
2013-09-24;3228;1828;1400
2013-09-26;3238;1829;1409
2013-09-28;3255;1831;1424
2013-09-30;3261;1831;1430
2013-10-02;3262;1830;1432
2013-10-04;3264;1831;1433
2013-10-06;3262;1830;1432
2013-10-08;3268;1831;1437
2013-10-10;3270;1836;1434
2013-10-12;3275;1836;1439
2013-10-14;3283;1836;1447
2013-10-16;3281;1836;1445
2013-10-18;3283;1836;1447
2013-10-20;3283;1836;1447
2013-10-22;3284;1836;1448
2013-10-24;3281;1835;1446
2013-10-26;3282;1838;1444
2013-10-28;3282;1835;1447
2013-10-30;3286;1835;1451
2013-11-01;3292;1836;1456
2013-11-03;3297;1836;1461
2013-11-05;3296;1835;1461
2013-11-07;3298;1833;1465
2013-11-09;3301;1836;1465
2013-11-11;3300;1837;1463
2013-11-13;3301;1837;1464
2013-11-15;3308;1840;1468
2013-11-17;3315;1842;1473
2013-11-19;3327;1842;1485
2013-11-21;3326;1843;1483
2013-11-23;3334;1860;1474
2013-11-25;3330;1863;1467
2013-11-27;3335;1864;1471
2013-11-29;3339;1865;1474
2013-12-01;3340;1866;1474
2013-12-03;3339;1866;1473
2013-12-05;3341;1866;1475
2013-12-07;3343;1870;1473
2013-12-09;3352;1885;1467
2013-12-11;3349;1886;1463
2013-12-13;3354;1881;1473
2013-12-15;3357;1879;1478
2013-12-17;3361;1879;1482
2013-12-19;3370;1880;1490
2013-12-21;3370;1881;1489
2013-12-23;3375;1882;1493
2013-12-25;3377;1881;1496
2013-12-27;3377;1881;1496
2013-12-29;3378;1881;1497
2013-12-31;3376;1881;1495
2014-01-02;3386;1882;1504
2014-01-04;3388;1884;1504
2014-01-06;3389;1884;1505
2014-01-08;3393;1884;1509
2014-01-10;3394;1885;1509
2014-01-12;3399;1885;1514
2014-01-14;3400;1886;1514
2014-01-16;3403;1894;1509
2014-01-18;3404;1898;1506
2014-01-20;3409;1902;1507
2014-01-22;3410;1901;1509
2014-01-24;3413;1905;1508
2014-01-26;3414;1905;1509
2014-01-28;3417;1897;1520
2014-01-30;3427;1896;1531
2014-02-01;3428;1896;1532
2014-02-03;3429;1907;1522
2014-02-05;3432;1907;1525
2014-02-07;3436;1913;1523
2014-02-09;3442;1913;1529
2014-02-11;3450;1913;1537
2014-02-13;3452;1913;1539
2014-02-15;3456;1913;1543
2014-02-17;3460;1913;1547
2014-02-19;3460;1914;1546
2014-02-21;3462;1915;1547
2014-02-23;3461;1917;1544
2014-02-25;3463;1917;1546
2014-02-27;3463;1919;1544
2014-03-01;3461;1919;1542
2014-03-03;3464;1918;1546
2014-03-05;3467;1922;1545
2014-03-07;3473;1924;1549
2014-03-09;3475;1924;1551
2014-03-11;3484;1925;1559
2014-03-13;3488;1926;1562
2014-03-15;3493;1926;1567
2014-03-17;3495;1930;1565
2014-03-19;3496;1931;1565
2014-03-21;3497;1931;1566
2014-03-23;3506;1931;1575
2014-03-25;3509;1935;1574
2014-03-27;3514;1937;1577
2014-03-29;3520;1937;1583
2014-03-31;3528;1938;1590
2014-04-02;3531;1939;1592
2014-04-04;3531;1940;1591
2014-04-06;3534;1940;1594
2014-04-08;3537;1940;1597
2014-04-10;3537;1940;1597
2014-04-12;3537;1940;1597
2014-04-14;3536;1940;1596
2014-04-16;3542;1940;1602
2014-04-18;3547;1940;1607
2014-04-20;3545;1940;1605
2014-04-22;3543;1939;1604
2014-04-24;3546;1939;1607
2014-04-26;3550;1940;1610
2014-04-28;3553;1945;1608
2014-04-30;3553;1945;1608
2014-05-02;3557;1945;1612
2014-05-04;3558;1945;1613
