date;followers;following;fans
2013-04-17;24763;66;24697
2013-04-18;24776;65;24711
2013-04-19;24794;65;24729
2013-04-20;24820;65;24755
2013-04-21;24828;65;24763
2013-04-22;24853;65;24788
2013-04-23;24885;65;24820
2013-04-24;24906;65;24841
2013-04-25;24920;65;24855
2013-04-26;24942;65;24877
2013-04-27;24972;65;24907
2013-04-28;24991;65;24926
2013-04-29;25002;65;24937
2013-04-30;25024;65;24959
2013-05-01;25035;65;24970
2013-05-02;25063;65;24998
2013-05-03;25086;65;25021
2013-05-04;25095;65;25030
2013-05-05;25120;65;25055
2013-05-06;25131;65;25066
2013-05-07;25143;65;25078
2013-05-08;25162;65;25097
2013-05-09;25168;65;25103
2013-05-10;25169;65;25104
2013-05-11;25187;65;25122
2013-05-12;25209;64;25145
2013-05-13;25223;64;25159
2013-05-14;25235;64;25171
2013-05-15;25248;64;25184
2013-05-16;25271;64;25207
2013-05-17;25288;64;25224
2013-05-18;25298;64;25234
2013-05-19;25316;64;25252
2013-05-20;25338;64;25274
2013-05-21;25365;64;25301
2013-05-22;25388;64;25324
2013-05-23;25398;64;25334
2013-05-24;25415;64;25351
2013-05-25;25441;66;25375
2013-05-26;25459;61;25398
2013-05-27;25474;61;25413
2013-05-28;25483;61;25422
2013-05-29;25489;61;25428
2013-05-30;25503;61;25442
2013-05-31;25515;61;25454
2013-06-01;25507;61;25446
2013-06-02;25525;61;25464
2013-06-03;25535;61;25474
2013-06-04;25558;61;25497
2013-06-05;25568;61;25507
2013-06-06;25571;61;25510
2013-06-07;25578;61;25517
2013-06-08;25581;61;25520
2013-06-09;25595;61;25534
2013-06-10;25600;61;25539
2013-06-11;25610;61;25549
2013-06-20;25677;60;25617
2013-06-21;25692;60;25632
2013-06-22;25693;60;25633
2013-06-23;25695;60;25635
2013-06-24;25702;60;25642
2013-06-25;25706;60;25646
2013-06-26;25711;60;25651
2013-06-27;25709;60;25649
2013-06-28;25714;60;25654
2013-06-29;25728;60;25668
2013-06-30;25736;61;25675
2013-07-01;25733;61;25672
2013-07-02;25718;61;25657
2013-07-03;25715;61;25654
2013-07-04;25712;62;25650
2013-07-05;25709;62;25647
2013-07-06;25714;62;25652
2013-07-07;25717;63;25654
2013-07-08;25721;64;25657
2013-07-09;25723;64;25659
2013-07-10;25712;64;25648
2013-07-11;25720;64;25656
2013-07-12;25727;64;25663
2013-07-13;25738;65;25673
2013-07-14;25745;65;25680
2013-07-15;25746;65;25681
2013-07-16;25751;65;25686
2013-07-17;25767;65;25702
2013-07-18;25765;65;25700
2013-07-19;25772;65;25707
2013-07-20;25770;65;25705
2013-07-21;25768;65;25703
2013-07-22;25773;65;25708
2013-07-23;25766;65;25701
2013-07-24;25769;65;25704
2013-07-25;25775;65;25710
2013-07-26;25768;65;25703
2013-07-27;25724;65;25659
2013-07-28;25703;65;25638
2013-07-29;25699;64;25635
2013-07-30;25719;64;25655
2013-07-31;25717;64;25653
2013-08-01;25712;64;25648
2013-08-02;25721;64;25657
2013-08-03;25724;64;25660
2013-08-04;25740;64;25676
2013-08-05;25751;64;25687
2013-08-06;25759;64;25695
2013-08-07;25767;64;25703
2013-08-08;25762;64;25698
2013-08-09;25759;64;25695
2013-08-10;25762;64;25698
2013-08-11;25768;64;25704
2013-08-12;25767;64;25703
2013-08-13;25767;64;25703
2013-08-14;25769;64;25705
2013-08-15;25769;64;25705
2013-08-16;25779;64;25715
2013-08-17;25793;64;25729
2013-08-18;25796;64;25732
2013-08-19;25803;64;25739
2013-08-20;25802;64;25738
2013-08-21;25811;64;25747
2013-08-22;25813;64;25749
2013-08-23;25817;64;25753
2013-08-24;25824;64;25760
2013-08-25;25830;67;25763
2013-08-26;25833;67;25766
2013-08-27;25831;67;25764
2013-08-28;25837;67;25770
2013-08-29;25851;67;25784
2013-08-30;25854;67;25787
2013-08-31;25865;67;25798
2013-09-01;25879;67;25812
2013-09-02;25881;67;25814
2013-09-03;25896;67;25829
2013-09-04;25903;67;25836
2013-09-05;25915;67;25848
2013-09-06;25920;67;25853
2013-09-07;25928;67;25861
2013-09-08;25929;67;25862
2013-09-09;25936;67;25869
2013-09-10;25943;70;25873
2013-09-11;25944;70;25874
2013-09-12;25944;70;25874
2013-09-13;25951;71;25880
2013-09-14;25966;73;25893
2013-09-15;25976;73;25903
2013-09-16;25991;73;25918
2013-09-17;25999;73;25926
2013-09-18;26002;73;25929
2013-09-19;26003;73;25930
2013-09-20;26017;73;25944
2013-09-21;26032;73;25959
2013-09-22;26048;73;25975
2013-09-23;26056;73;25983
2013-09-24;26056;70;25986
2013-09-25;26067;70;25997
2013-09-26;26067;70;25997
2013-09-27;26116;70;26046
2013-09-28;26142;70;26072
2013-09-29;26166;74;26092
2013-09-30;26170;74;26096
2013-10-01;26175;74;26101
2013-10-02;26183;75;26108
2013-10-03;26183;75;26108
2013-10-04;26192;75;26117
2013-10-05;26197;75;26122
2013-10-06;26208;75;26133
2013-10-07;26210;75;26135
2013-10-08;26217;75;26142
2013-10-09;26227;77;26150
2013-10-10;26226;77;26149
2013-10-11;26238;77;26161
2013-10-12;26242;77;26165
2013-10-13;26246;77;26169
2013-10-14;26252;77;26175
2013-10-15;26262;77;26185
2013-10-16;26269;77;26192
2013-10-17;26274;77;26197
2013-10-18;26274;77;26197
2013-10-19;26271;77;26194
2013-10-20;26280;77;26203
2013-10-21;26301;77;26224
2013-10-22;26303;77;26226
2013-10-23;26314;77;26237
2013-10-24;26319;77;26242
2013-10-25;26314;77;26237
