date;followers;following;fans
2013-04-17;1286;49;1237
2013-04-19;1295;49;1246
2013-04-21;1298;49;1249
2013-04-23;1302;49;1253
2013-04-26;1301;49;1252
2013-04-28;1304;49;1255
2013-04-29;1310;49;1261
2013-05-02;1317;49;1268
2013-05-03;1322;49;1273
2013-05-05;1328;49;1279
2013-05-07;1337;49;1288
2013-05-09;1339;49;1290
2013-05-11;1338;49;1289
2013-05-14;1345;49;1296
2013-05-16;1351;49;1302
2013-05-18;1358;49;1309
2013-05-20;1365;49;1316
2013-05-22;1366;49;1317
2013-05-23;1369;49;1320
2013-05-26;1374;49;1325
2013-05-28;1378;49;1329
2013-05-30;1388;49;1339
2013-06-01;1393;49;1344
2013-06-03;1395;49;1346
2013-06-05;1402;49;1353
2013-06-07;1409;49;1360
2013-06-09;1407;49;1358
2013-06-11;1414;49;1365
2013-06-20;1440;49;1391
2013-06-22;1450;49;1401
2013-06-24;1458;49;1409
2013-06-26;1468;49;1419
2013-06-28;1477;49;1428
2013-06-30;1482;49;1433
2013-07-02;1487;49;1438
2013-07-04;1496;49;1447
2013-07-06;1501;49;1452
2013-07-08;1508;49;1459
2013-07-10;1511;49;1462
2013-07-12;1515;49;1466
2013-07-14;1518;49;1469
2013-07-16;1524;49;1475
2013-07-18;1530;49;1481
2013-07-20;1535;49;1486
2013-07-22;1538;49;1489
2013-07-24;1541;49;1492
2013-07-26;1548;49;1499
2013-07-28;1550;49;1501
2013-07-30;1552;49;1503
2013-08-01;1557;49;1508
2013-08-03;1560;49;1511
2013-08-05;1565;49;1516
2013-08-07;1566;49;1517
2013-08-09;1569;49;1520
2013-08-11;1571;49;1522
2013-08-13;1577;49;1528
2013-08-15;1586;49;1537
2013-08-17;1592;49;1543
2013-08-19;1592;49;1543
2013-08-21;1596;49;1547
2013-08-23;1603;49;1554
2013-08-25;1606;49;1557
2013-08-27;1607;49;1558
2013-08-29;1615;49;1566
2013-08-31;1620;49;1571
2013-09-02;1623;49;1574
2013-09-04;1633;49;1584
2013-09-06;1642;49;1593
2013-09-08;1652;49;1603
2013-09-10;1675;49;1626
2013-09-12;1685;49;1636
2013-09-14;1694;49;1645
2013-09-16;1704;49;1655
2013-09-18;1710;49;1661
2013-09-20;1717;49;1668
2013-09-22;1719;49;1670
2013-09-24;1721;49;1672
2013-09-26;1731;49;1682
2013-09-28;1741;49;1692
2013-09-29;1743;49;1694
2013-10-02;1745;49;1696
2013-10-04;1754;49;1705
2013-10-06;1760;49;1711
2013-10-08;1760;49;1711
2013-10-10;1764;49;1715
2013-10-12;1768;49;1719
2013-10-14;1770;48;1722
2013-10-16;1773;48;1725
2013-10-18;1777;48;1729
2013-10-20;1783;48;1735
2013-10-22;1787;48;1739
2013-10-24;1793;48;1745
2013-10-26;1797;48;1749
2013-10-28;1799;48;1751
2013-10-30;1806;48;1758
2013-11-01;1813;48;1765
2013-11-03;1813;48;1765
2013-11-05;1813;48;1765
2013-11-07;1814;48;1766
2013-11-09;1822;48;1774
2013-11-11;1825;48;1777
2013-11-13;1833;48;1785
2013-11-15;1842;48;1794
2013-11-17;1849;48;1801
2013-11-19;1856;48;1808
2013-11-21;1864;48;1816
2013-11-23;1868;48;1820
2013-11-25;1872;48;1824
2013-11-27;1880;48;1832
2013-11-29;1888;48;1840
2013-12-01;1887;48;1839
2013-12-03;1893;48;1845
2013-12-05;1897;48;1849
2013-12-07;1903;48;1855
2013-12-09;1907;48;1859
2013-12-11;1910;48;1862
2013-12-13;1911;48;1863
2013-12-15;1920;48;1872
2013-12-17;1922;48;1874
2013-12-19;1927;48;1879
2013-12-21;1930;48;1882
2013-12-23;1932;48;1884
2013-12-25;1931;48;1883
2013-12-27;1935;48;1887
2013-12-29;1939;48;1891
2013-12-31;1940;48;1892
2014-01-02;1944;48;1896
2014-01-04;1950;48;1902
2014-01-06;1954;48;1906
2014-01-08;1960;48;1912
2014-01-10;1966;48;1918
2014-01-12;1971;48;1923
2014-01-14;1976;49;1927
2014-01-16;1982;49;1933
2014-01-18;1985;49;1936
2014-01-20;1988;49;1939
2014-01-22;1990;49;1941
2014-01-24;1995;49;1946
2014-01-26;1997;49;1948
2014-01-28;2001;49;1952
2014-01-30;2011;49;1962
2014-02-01;2020;50;1970
2014-02-03;2018;50;1968
2014-02-05;2026;50;1976
2014-02-07;2029;50;1979
2014-02-09;2038;50;1988
2014-02-11;2037;50;1987
2014-02-13;2051;50;2001
2014-02-15;2053;50;2003
2014-02-17;2056;50;2006
2014-02-19;2059;50;2009
2014-02-21;2069;50;2019
2014-02-23;2079;50;2029
2014-02-25;2084;50;2034
2014-02-27;2085;50;2035
2014-03-01;2091;50;2041
2014-03-03;2097;50;2047
2014-03-05;2105;50;2055
2014-03-07;2115;50;2065
2014-03-09;2120;50;2070
2014-03-11;2127;50;2077
2014-03-13;2128;50;2078
2014-03-15;2132;50;2082
2014-03-17;2138;50;2088
2014-03-19;2139;50;2089
2014-03-21;2146;50;2096
2014-03-23;2155;49;2106
2014-03-25;2157;49;2108
2014-03-27;2165;49;2116
2014-03-29;2176;49;2127
2014-03-31;2181;49;2132
2014-04-02;2189;49;2140
2014-04-04;2193;48;2145
2014-04-06;2195;48;2147
2014-04-08;2200;48;2152
2014-04-10;2203;48;2155
2014-04-12;2206;48;2158
2014-04-14;2205;48;2157
2014-04-16;2207;48;2159
2014-04-18;2220;48;2172
2014-04-20;2220;48;2172
2014-04-22;2222;48;2174
2014-04-24;2222;48;2174
2014-04-26;2228;48;2180
2014-04-28;2231;48;2183
2014-04-30;2228;48;2180
2014-05-02;2230;48;2182
2014-05-04;2234;48;2186
