date;followers;following;fans
2013-04-17;5379;1938;3441
2013-04-18;5386;1938;3448
2013-04-19;5393;1938;3455
2013-04-20;5405;1940;3465
2013-04-21;5407;1940;3467
2013-04-22;5411;1940;3471
2013-04-23;5426;1945;3481
2013-04-24;5441;1944;3497
2013-04-25;5466;1945;3521
2013-04-27;5474;1945;3529
2013-04-28;5485;1946;3539
2013-04-29;5496;1945;3551
2013-04-30;5500;1945;3555
2013-05-01;5502;1965;3537
2013-05-02;5512;1965;3547
2013-05-03;5523;1966;3557
2013-05-04;5535;1969;3566
2013-05-05;5546;1971;3575
2013-05-07;5561;1971;3590
2013-05-08;5576;1971;3605
2013-05-09;5585;1971;3614
2013-05-10;5604;1972;3632
2013-05-11;5604;1968;3636
2013-05-12;5603;1968;3635
2013-05-13;5615;1968;3647
2013-05-14;5629;1976;3653
2013-05-15;5664;1977;3687
2013-05-17;5676;1977;3699
2013-05-18;5682;1978;3704
2013-05-19;5694;1978;3716
2013-05-20;5700;1978;3722
2013-05-21;5712;1978;3734
2013-05-22;5723;1978;3745
2013-05-23;5733;1978;3755
2013-05-24;5741;1978;3763
2013-05-25;5760;1978;3782
2013-05-27;5771;1978;3793
2013-05-28;5794;1979;3815
2013-05-29;5803;1979;3824
2013-05-30;5820;1980;3840
2013-05-31;5825;1980;3845
2013-06-01;5833;1980;3853
2013-06-02;5838;1980;3858
2013-06-03;5846;1980;3866
2013-06-04;5859;1979;3880
2013-06-06;5867;1980;3887
2013-06-07;5877;1980;3897
2013-06-08;5882;1984;3898
2013-06-09;5891;1984;3907
2013-06-10;5895;1984;3911
2013-06-11;5914;1984;3930
2013-06-20;5971;1999;3972
2013-06-21;5982;2000;3982
2013-06-22;5991;2002;3989
2013-06-23;5995;2002;3993
2013-06-24;6010;2002;4008
2013-06-26;6019;2003;4016
2013-06-27;6035;2010;4025
2013-06-28;6046;2012;4034
2013-06-29;6058;2015;4043
2013-06-30;6070;2015;4055
2013-07-01;6081;2015;4066
2013-07-02;6093;2014;4079
2013-07-04;6104;2014;4090
2013-07-05;6111;2015;4096
2013-07-06;6118;2015;4103
2013-07-07;6119;2015;4104
2013-07-08;6121;2015;4106
2013-07-09;6127;2016;4111
2013-07-10;6135;2016;4119
2013-07-11;6148;2017;4131
2013-07-13;6171;2017;4154
2013-07-14;6174;2017;4157
2013-07-15;6182;2016;4166
2013-07-16;6186;2016;4170
2013-07-17;6194;2017;4177
2013-07-18;6203;2017;4186
2013-07-19;6211;2017;4194
2013-07-20;6223;2024;4199
2013-07-21;6240;2024;4216
2013-07-23;6246;2024;4222
2013-07-24;6255;2024;4231
2013-07-25;6263;2026;4237
2013-07-26;6276;2027;4249
2013-07-27;6284;2027;4257
2013-07-28;6287;2027;4260
2013-07-29;6305;2034;4271
2013-07-31;6317;2035;4282
2013-08-01;6319;2034;4285
