date;followers;following;fans
2013-04-17;42674;38;42636
2013-04-18;42694;38;42656
2013-04-19;42711;38;42673
2013-04-20;42756;38;42718
2013-04-21;42812;38;42774
2013-04-22;42868;38;42830
2013-04-23;42896;38;42858
2013-04-24;42908;38;42870
2013-04-25;42926;38;42888
2013-04-26;42940;38;42902
2013-04-27;42968;38;42930
2013-04-28;42999;38;42961
2013-04-29;43042;38;43004
2013-04-30;43065;38;43027
2013-05-01;43088;37;43051
2013-05-02;43131;37;43094
2013-05-03;43159;38;43121
2013-05-04;43199;38;43161
2013-05-05;43242;38;43204
2013-05-06;43293;38;43255
2013-05-07;43347;38;43309
2013-05-08;43391;38;43353
2013-05-09;43417;38;43379
2013-05-10;43441;38;43403
2013-05-11;43447;37;43410
2013-05-12;43514;37;43477
2013-05-13;43574;37;43537
2013-05-14;43620;38;43582
2013-05-15;43653;38;43615
2013-05-16;43682;38;43644
2013-05-17;43706;38;43668
2013-05-18;43745;38;43707
2013-05-19;43779;38;43741
2013-05-20;43834;38;43796
2013-05-21;43877;38;43839
2013-05-22;43936;38;43898
2013-05-23;43995;38;43957
2013-05-24;44024;38;43986
2013-05-25;44074;38;44036
2013-05-26;44129;38;44091
2013-05-27;44171;38;44133
2013-05-28;44208;38;44170
2013-05-29;44228;38;44190
2013-05-30;44276;38;44238
2013-05-31;44330;38;44292
2013-06-01;44373;38;44335
2013-06-02;44403;38;44365
2013-06-03;44437;38;44399
2013-06-04;44471;38;44433
2013-06-05;44493;38;44455
2013-06-06;44526;38;44488
2013-06-07;44550;38;44512
2013-06-08;44565;38;44527
2013-06-09;44600;38;44562
2013-06-10;44654;38;44616
2013-06-11;44673;38;44635
2013-06-20;44919;38;44881
2013-06-21;44945;38;44907
2013-06-22;44954;38;44916
2013-06-23;44978;38;44940
2013-06-24;44998;38;44960
2013-06-25;45016;38;44978
2013-06-26;45035;38;44997
2013-06-27;45056;38;45018
2013-06-28;45085;38;45047
2013-06-29;45108;38;45070
2013-06-30;45121;38;45083
2013-07-01;45149;38;45111
2013-07-02;45167;38;45129
2013-07-03;45191;38;45153
2013-07-04;45209;38;45171
2013-07-05;45222;38;45184
2013-07-06;45247;38;45209
2013-07-07;45267;38;45229
2013-07-08;45295;38;45257
2013-07-09;45308;38;45270
2013-07-10;45325;38;45287
2013-07-11;45344;38;45306
2013-07-12;45366;38;45328
2013-07-13;45384;38;45346
2013-07-14;45403;38;45365
2013-07-15;45409;38;45371
2013-07-16;45419;38;45381
2013-07-17;45440;38;45402
2013-07-18;45453;38;45415
2013-07-19;45476;38;45438
2013-07-20;45488;38;45450
2013-07-21;45503;38;45465
2013-07-22;45519;38;45481
2013-07-23;45538;38;45500
2013-07-24;45558;38;45520
2013-07-25;45578;38;45540
2013-07-26;45597;38;45559
2013-07-27;45590;38;45552
2013-07-28;45602;38;45564
2013-07-29;45617;38;45579
2013-07-30;45651;38;45613
2013-07-31;45681;38;45643
2013-08-01;45702;38;45664
2013-08-02;45718;38;45680
2013-08-03;45738;38;45700
2013-08-04;45762;38;45724
2013-08-05;45781;38;45743
2013-08-06;45787;38;45749
2013-08-07;45808;38;45770
2013-08-08;45823;38;45785
2013-08-09;45825;38;45787
2013-08-10;45827;38;45789
2013-08-11;45848;38;45810
2013-08-12;45850;38;45812
2013-08-13;45862;38;45824
2013-08-14;45872;38;45834
2013-08-15;45900;38;45862
2013-08-16;45928;38;45890
2013-08-17;45948;38;45910
2013-08-18;45970;38;45932
2013-08-19;45996;38;45958
2013-08-20;46005;38;45967
2013-08-21;46025;38;45987
2013-08-22;46051;38;46013
2013-08-23;46064;38;46026
2013-08-24;46104;38;46066
2013-08-25;46127;38;46089
2013-08-26;46142;38;46104
2013-08-27;46159;38;46121
2013-08-28;46169;38;46131
2013-08-29;46189;38;46151
2013-08-30;46206;38;46168
2013-08-31;46216;38;46178
2013-09-01;46244;38;46206
2013-09-02;46267;38;46229
2013-09-03;46294;38;46256
2013-09-04;46324;38;46286
2013-09-05;46334;38;46296
2013-09-06;46342;38;46304
2013-09-07;46354;38;46316
2013-09-08;46391;38;46353
2013-09-09;46419;38;46381
2013-09-10;46440;38;46402
2013-09-11;46433;38;46395
2013-09-12;46448;38;46410
2013-09-13;46466;38;46428
2013-09-14;46474;38;46436
2013-09-15;46492;38;46454
2013-09-16;46522;38;46484
2013-09-17;46542;38;46504
2013-09-18;46557;38;46519
2013-09-19;46574;38;46536
2013-09-20;46595;38;46557
2013-09-21;46605;38;46567
2013-09-22;46627;38;46589
2013-09-23;46661;38;46623
2013-09-24;46688;38;46650
2013-09-25;46706;38;46668
2013-09-26;46715;38;46677
2013-09-27;46737;38;46699
2013-09-28;46749;38;46711
2013-09-29;46758;38;46720
2013-09-30;46786;38;46748
2013-10-01;46817;38;46779
2013-10-02;46866;38;46828
2013-10-03;46907;38;46869
2013-10-04;46953;38;46915
2013-10-05;46994;38;46956
2013-10-06;47017;38;46979
2013-10-07;47051;38;47013
2013-10-08;47067;38;47029
2013-10-09;47104;38;47066
2013-10-10;47150;38;47112
2013-10-11;47162;38;47124
2013-10-12;47191;38;47153
2013-10-13;47214;38;47176
2013-10-14;47228;38;47190
2013-10-15;47250;38;47212
2013-10-16;47283;38;47245
2013-10-17;47300;38;47262
2013-10-18;47319;38;47281
2013-10-19;47343;38;47305
2013-10-20;47354;38;47316
2013-10-21;47367;38;47329
2013-10-22;47382;38;47344
2013-10-23;47396;38;47358
2013-10-24;47424;38;47386
2013-10-25;47441;38;47403
2013-10-26;47484;38;47446
2013-10-27;47515;38;47477
2013-10-28;47554;38;47516
2013-10-29;47575;38;47537
2013-10-30;47591;38;47553
2013-10-31;47603;38;47565
2013-11-01;47610;38;47572
2013-11-02;47639;38;47601
2013-11-03;47663;38;47625
2013-11-04;47684;38;47646
2013-11-05;47693;38;47655
2013-11-06;47709;38;47671
2013-11-07;47722;38;47684
2013-11-08;47742;38;47704
2013-11-09;47794;39;47755
2013-11-10;47806;39;47767
2013-11-11;47831;39;47792
2013-11-12;47866;39;47827
2013-11-13;47881;39;47842
2013-11-14;47900;39;47861
2013-11-15;47922;39;47883
2013-11-16;47936;39;47897
2013-11-17;47955;39;47916
2013-11-18;47956;39;47917
2013-11-19;47957;39;47918
2013-11-20;47971;39;47932
2013-11-21;47987;39;47948
2013-11-22;48026;40;47986
2013-11-23;48060;40;48020
