date;followers;following;fans
2013-04-26;1105;94;1011
2013-04-28;1105;95;1010
2013-04-30;1108;95;1013
2013-05-02;1109;96;1013
2013-05-04;1118;97;1021
2013-05-06;1119;99;1020
2013-05-08;1131;99;1032
2013-05-10;1130;99;1031
2013-05-12;1130;99;1031
2013-05-14;1135;100;1035
2013-05-16;1140;100;1040
2013-05-18;1140;100;1040
2013-05-20;1144;101;1043
2013-05-22;1143;101;1042
2013-05-24;1148;101;1047
2013-05-26;1147;101;1046
2013-05-28;1157;101;1056
2013-05-30;1159;101;1058
2013-06-01;1159;104;1055
2013-06-03;1169;106;1063
2013-06-05;1171;106;1065
2013-06-07;1172;109;1063
2013-06-09;1174;109;1065
2013-06-11;1173;111;1062
2013-06-20;1186;113;1073
2013-06-22;1189;113;1076
2013-06-24;1195;113;1082
2013-06-26;1200;114;1086
2013-06-28;1203;114;1089
2013-06-30;1205;114;1091
2013-07-02;1210;113;1097
2013-07-04;1211;113;1098
2013-07-06;1213;115;1098
2013-07-08;1217;115;1102
2013-07-10;1222;115;1107
2013-07-12;1227;116;1111
2013-07-14;1227;116;1111
2013-07-16;1230;116;1114
2013-07-18;1230;116;1114
2013-07-20;1231;116;1115
2013-07-22;1232;116;1116
2013-07-24;1235;115;1120
2013-07-26;1236;115;1121
2013-07-28;1237;115;1122
2013-07-30;1238;109;1129
2013-08-01;1241;109;1132
2013-08-03;1244;110;1134
2013-08-05;1247;110;1137
2013-08-07;1250;109;1141
2013-08-09;1260;110;1150
2013-08-11;1262;109;1153
2013-08-13;1264;108;1156
2013-08-15;1266;108;1158
2013-08-17;1273;108;1165
2013-08-19;1275;108;1167
2013-08-21;1274;108;1166
2013-08-23;1276;107;1169
2013-08-25;1277;110;1167
2013-08-27;1279;111;1168
2013-08-29;1286;111;1175
2013-08-31;1294;111;1183
2013-09-02;1295;112;1183
2013-09-04;1296;114;1182
2013-09-06;1297;114;1183
2013-09-08;1299;114;1185
2013-09-10;1302;114;1188
2013-09-12;1307;114;1193
2013-09-14;1311;114;1197
2013-09-16;1316;114;1202
2013-09-18;1316;116;1200
2013-09-20;1323;117;1206
2013-09-22;1325;118;1207
2013-09-24;1324;118;1206
2013-09-26;1330;120;1210
2013-09-28;1331;121;1210
2013-09-30;1337;121;1216
2013-10-02;1339;120;1219
2013-10-04;1342;123;1219
2013-10-06;1345;123;1222
2013-10-08;1348;124;1224
2013-10-10;1369;124;1245
2013-10-12;1379;125;1254
2013-10-14;1387;125;1262
2013-10-16;1395;125;1270
2013-10-18;1397;125;1272
2013-10-20;1397;125;1272
2013-10-22;1396;125;1271
2013-10-24;1394;125;1269
2013-10-26;1397;126;1271
2013-10-28;1397;127;1270
2013-10-30;1404;129;1275
2013-11-01;1405;129;1276
2013-11-03;1406;129;1277
2013-11-05;1412;131;1281
2013-11-07;1412;132;1280
2013-11-09;1417;133;1284
2013-11-11;1418;133;1285
2013-11-13;1419;134;1285
2013-11-15;1421;134;1287
2013-11-17;1425;134;1291
2013-11-19;1436;134;1302
2013-11-21;1435;134;1301
2013-11-23;1448;134;1314
2013-11-25;1447;135;1312
2013-11-27;1447;134;1313
2013-11-29;1448;134;1314
2013-12-01;1447;134;1313
2013-12-03;1445;134;1311
2013-12-05;1445;134;1311
2013-12-07;1448;133;1315
2013-12-09;1449;133;1316
2013-12-11;1447;133;1314
2013-12-13;1452;136;1316
2013-12-15;1455;137;1318
2013-12-17;1454;136;1318
2013-12-19;1458;136;1322
2013-12-21;1458;136;1322
2013-12-23;1456;135;1321
2013-12-25;1463;135;1328
2013-12-27;1463;134;1329
2013-12-29;1472;134;1338
2013-12-31;1472;134;1338
2014-01-02;1474;134;1340
2014-01-04;1475;134;1341
2014-01-06;1474;134;1340
2014-01-08;1476;135;1341
2014-01-10;1476;135;1341
2014-01-12;1497;134;1363
2014-01-14;1555;136;1419
2014-01-16;1563;137;1426
2014-01-18;1567;137;1430
2014-01-20;1569;137;1432
2014-01-22;1571;137;1434
2014-01-24;1573;137;1436
2014-01-26;1579;137;1442
2014-01-28;1583;136;1447
2014-01-30;1581;137;1444
2014-02-01;1587;139;1448
2014-02-03;1589;139;1450
2014-02-05;1592;139;1453
2014-02-07;1591;140;1451
2014-02-09;1593;140;1453
2014-02-11;1596;140;1456
2014-02-13;1599;141;1458
2014-02-15;1597;141;1456
2014-02-17;1600;142;1458
2014-02-19;1601;142;1459
2014-02-21;1601;141;1460
2014-02-23;1602;140;1462
2014-02-25;1604;138;1466
2014-02-27;1606;138;1468
2014-03-01;1609;139;1470
2014-03-03;1618;139;1479
2014-03-05;1623;138;1485
2014-03-07;1629;139;1490
2014-03-09;1632;139;1493
2014-03-11;1636;139;1497
2014-03-13;1636;139;1497
2014-03-15;1641;139;1502
2014-03-17;1644;139;1505
2014-03-19;1648;139;1509
2014-03-21;1646;139;1507
2014-03-23;1643;138;1505
2014-03-25;1643;138;1505
2014-03-27;1645;138;1507
2014-03-29;1643;138;1505
2014-03-31;1642;137;1505
2014-04-02;1641;135;1506
2014-04-04;1642;135;1507
2014-04-06;1645;136;1509
2014-04-08;1645;136;1509
2014-04-10;1645;136;1509
2014-04-12;1647;137;1510
2014-04-14;1647;137;1510
2014-04-16;1649;140;1509
2014-04-18;1648;140;1508
2014-04-20;1649;140;1509
2014-04-22;1649;140;1509
2014-04-24;1655;140;1515
2014-04-26;1658;139;1519
2014-04-28;1657;139;1518
2014-04-30;1664;140;1524
2014-05-02;1668;139;1529
2014-05-04;1669;138;1531
