date;followers;following;fans
2013-04-17;90179;85432;4747
2013-04-18;90178;85430;4748
2013-04-19;90156;85414;4742
2013-04-20;90151;85410;4741
2013-04-21;90151;85410;4741
2013-04-22;90139;85408;4731
2013-04-23;90132;85409;4723
2013-04-24;90119;85405;4714
2013-04-25;90106;85406;4700
2013-04-27;90111;85407;4704
2013-04-28;90110;85404;4706
2013-04-29;90122;85403;4719
2013-04-30;90110;85399;4711
2013-05-01;90109;85399;4710
2013-05-02;90110;85394;4716
2013-05-03;90097;85391;4706
2013-05-04;90096;85387;4709
2013-05-05;90082;85387;4695
2013-05-07;90078;85387;4691
2013-05-08;90069;85380;4689
2013-05-09;90060;85376;4684
2013-05-10;89221;84581;4640
2013-05-11;86970;82349;4621
2013-05-12;86952;82331;4621
2013-05-13;86945;82329;4616
2013-05-14;88751;84096;4655
2013-05-15;89124;84464;4660
2013-05-16;89498;84816;4682
2013-05-18;90009;85309;4700
2013-05-19;90029;85323;4706
2013-05-20;90030;85329;4701
2013-05-21;90046;85336;4710
2013-05-22;90047;85336;4711
2013-05-23;90034;85320;4714
2013-05-24;90008;85285;4723
2013-05-25;90002;85278;4724
2013-05-26;90016;85280;4736
2013-05-28;90015;85278;4737
2013-05-29;90007;85271;4736
2013-05-30;90003;85265;4738
2013-05-31;90016;85266;4750
2013-06-01;90019;85263;4756
2013-06-02;90015;85258;4757
2013-06-03;90017;85258;4759
2013-06-04;90024;85259;4765
2013-06-06;90031;85258;4773
2013-06-07;90030;85253;4777
2013-06-08;90029;85259;4770
2013-06-09;90035;85258;4777
2013-06-10;90034;85291;4743
2013-06-11;90044;85291;4753
2013-06-20;90073;85281;4792
2013-06-21;90092;85280;4812
2013-06-22;90111;85281;4830
2013-06-23;90117;85277;4840
2013-06-24;90135;85279;4856
2013-06-26;90133;85276;4857
2013-06-27;90141;85274;4867
2013-06-28;90159;85269;4890
2013-06-29;90166;85262;4904
2013-06-30;90174;85260;4914
2013-07-01;90176;85258;4918
2013-07-02;90175;85255;4920
2013-07-03;90181;85250;4931
2013-07-05;90202;85251;4951
2013-07-06;90196;85245;4951
2013-07-07;90197;85242;4955
2013-07-08;90203;85241;4962
2013-07-09;90207;85238;4969
2013-07-10;90225;85236;4989
2013-07-11;90234;85234;5000
2013-07-12;90244;85236;5008
2013-07-13;90258;85230;5028
2013-07-14;90265;85228;5037
2013-07-15;90264;85222;5042
2013-07-16;90267;85220;5047
2013-07-17;90289;85220;5069
2013-07-18;90298;85219;5079
2013-07-19;90300;85218;5082
2013-07-20;90308;85216;5092
2013-07-21;90322;85215;5107
2013-07-22;90331;85212;5119
2013-07-23;90336;85211;5125
2013-07-24;90337;85208;5129
2013-07-25;90346;85207;5139
2013-07-26;90291;85190;5101
2013-07-27;90166;85066;5100
2013-07-28;90074;84992;5082
2013-07-29;90064;84973;5091
2013-07-30;90075;84977;5098
2013-07-31;90082;84984;5098
2013-08-01;90095;84984;5111
2013-08-02;90096;84993;5103
2013-08-03;90098;84999;5099
2013-08-04;90109;84998;5111
2013-08-05;90112;84996;5116
2013-08-06;90117;84996;5121
2013-08-07;90126;85005;5121
2013-08-08;90114;84999;5115
2013-08-09;90129;85001;5128
