date;followers;following;fans
2013-04-17;26347;9988;16359
2013-04-18;26344;9988;16356
2013-04-19;21091;9989;11102
2013-04-20;16548;9991;6557
2013-04-21;16576;9989;6587
2013-04-22;16759;9989;6770
2013-04-23;17021;9987;7034
2013-04-24;17956;9987;7969
2013-04-25;18436;9986;8450
2013-04-26;20434;9985;10449
2013-04-27;20986;9972;11014
2013-04-28;23650;9973;13677
2013-04-29;24156;9972;14184
2013-04-30;24169;9972;14197
2013-05-01;24997;9972;15025
2013-05-02;25913;9969;15944
2013-05-03;26361;9969;16392
2013-05-04;26490;9969;16521
2013-05-05;26561;9968;16593
2013-05-06;26657;9969;16688
2013-05-07;26669;9970;16699
2013-05-08;26674;9970;16704
2013-05-09;26681;9971;16710
2013-05-10;26667;9965;16702
2013-05-11;26354;9720;16634
2013-05-12;26342;9706;16636
2013-05-13;26355;9707;16648
2013-05-14;26495;9816;16679
2013-05-15;26586;9891;16695
2013-05-16;26596;9892;16704
2013-05-17;26641;9931;16710
2013-05-18;26696;9968;16728
2013-05-19;26699;9967;16732
2013-05-20;26703;9970;16733
2013-05-21;26702;9970;16732
2013-05-22;26700;9971;16729
2013-05-23;26689;9971;16718
2013-05-24;26685;9972;16713
2013-05-25;26678;9969;16709
2013-05-26;26674;9969;16705
2013-05-27;26670;9968;16702
2013-05-28;26670;9967;16703
2013-05-29;26626;9965;16661
2013-05-30;25590;9964;15626
2013-05-31;25134;9966;15168
2013-06-01;25684;9967;15717
2013-06-02;25864;9967;15897
2013-06-03;26024;9967;16057
2013-06-04;25645;9967;15678
2013-06-05;23846;9966;13880
2013-06-06;23841;9966;13875
2013-06-07;22051;9964;12087
2013-06-08;20524;9963;10561
2013-06-09;18377;9963;8414
2013-06-10;18346;9959;8387
2013-06-11;18348;9958;8390
2013-06-20;16415;9959;6456
2013-06-21;14305;9959;4346
2013-06-22;14286;9958;4328
2013-06-23;14284;9958;4326
2013-06-24;14281;9957;4324
2013-06-25;14286;9957;4329
2013-06-26;14285;9957;4328
2013-06-27;14284;9957;4327
2013-06-28;14285;9958;4327
2013-06-29;14284;9957;4327
2013-06-30;14283;9947;4336
2013-07-02;14284;9946;4338
2013-07-03;14276;9947;4329
2013-07-04;14274;9947;4327
2013-07-05;14273;9946;4327
2013-07-06;14271;9946;4325
2013-07-07;14275;9945;4330
2013-07-08;14277;9945;4332
2013-07-09;14276;9945;4331
2013-07-10;14268;9946;4322
2013-07-12;14264;9946;4318
2013-07-13;14268;9947;4321
2013-07-14;14271;9950;4321
2013-07-15;14267;9947;4320
2013-07-16;14261;9946;4315
2013-07-17;14261;9946;4315
2013-07-18;14263;9947;4316
2013-07-19;14255;9946;4309
2013-07-21;14250;9945;4305
2013-07-22;14250;9944;4306
2013-07-23;14250;9943;4307
2013-07-24;14250;9941;4309
2013-07-25;14250;9940;4310
2013-07-26;14238;9932;4306
2013-07-27;14057;9909;4148
2013-07-29;14046;9905;4141
2013-07-30;14042;9905;4137
2013-07-31;14048;9908;4140
2013-08-01;14048;9908;4140
2013-08-02;14051;9912;4139
2013-08-03;14050;9912;4138
2013-08-04;14053;9911;4142
2013-08-05;14055;9912;4143
2013-08-07;14056;9914;4142
2013-08-08;14058;9913;4145
2013-08-09;14058;9914;4144
2013-08-10;14061;9915;4146
2013-08-11;14061;9915;4146
2013-08-12;14060;9914;4146
2013-08-13;14059;9914;4145
2013-08-15;14053;9912;4141
2013-08-16;14055;9912;4143
2013-08-17;14054;9913;4141
2013-08-18;14054;9913;4141
2013-08-19;14054;9914;4140
2013-08-20;14054;9913;4141
2013-08-22;14053;9914;4139
2013-08-23;14053;9914;4139
2013-08-24;14051;9915;4136
2013-08-25;14053;9915;4138
2013-08-26;14049;9913;4136
2013-08-27;14044;9912;4132
2013-08-28;14040;9912;4128
2013-08-30;14043;9912;4131
2013-08-31;14043;9911;4132
2013-09-01;14042;9911;4131
2013-09-02;14035;9912;4123
2013-09-03;14037;9913;4124
2013-09-04;14035;9910;4125
2013-09-06;14034;9911;4123
2013-09-07;14042;9911;4131
2013-09-08;14041;9912;4129
2013-09-09;14042;9913;4129
2013-09-10;14035;9914;4121
2013-09-11;14034;9914;4120
