date;followers;following;fans
2013-04-18;1771;300;1471
2013-04-20;1772;300;1472
2013-04-22;1773;300;1473
2013-04-24;1774;300;1474
2013-04-26;1776;300;1476
2013-04-28;1776;300;1476
2013-04-30;1776;300;1476
2013-05-02;1778;300;1478
2013-05-04;1776;297;1479
2013-05-06;1774;297;1477
2013-05-08;1777;297;1480
2013-05-10;1780;297;1483
2013-05-12;1766;297;1469
2013-05-14;1771;297;1474
2013-05-16;1774;297;1477
2013-05-18;1775;297;1478
2013-05-20;1780;298;1482
2013-05-22;1779;299;1480
2013-05-24;1777;299;1478
2013-05-26;1775;299;1476
2013-05-28;1778;299;1479
2013-05-30;1778;300;1478
2013-06-01;1776;300;1476
2013-06-03;1775;300;1475
2013-06-05;1775;300;1475
2013-06-07;1775;295;1480
2013-06-09;1775;295;1480
2013-06-11;1774;295;1479
2013-06-20;1778;295;1483
2013-06-22;1779;295;1484
2013-06-24;1779;295;1484
2013-06-26;1777;295;1482
2013-06-28;1777;295;1482
2013-06-30;1777;295;1482
2013-07-02;1776;295;1481
2013-07-04;1776;295;1481
2013-07-06;1780;295;1485
2013-07-08;1779;296;1483
2013-07-10;1779;297;1482
2013-07-12;1774;297;1477
2013-07-14;1774;297;1477
2013-07-16;1775;297;1478
2013-07-18;1775;297;1478
2013-07-20;1775;292;1483
2013-07-22;1776;292;1484
2013-07-24;1777;292;1485
2013-07-26;1778;292;1486
2013-07-28;1772;291;1481
2013-07-30;1773;292;1481
2013-08-01;1770;292;1478
2013-08-03;1769;292;1477
2013-08-05;1770;292;1478
2013-08-07;1770;292;1478
2013-08-09;1770;292;1478
2013-08-11;1770;292;1478
2013-08-13;1769;292;1477
2013-08-15;1766;291;1475
2013-08-17;1766;291;1475
2013-08-19;1765;291;1474
2013-08-21;1764;291;1473
2013-08-23;1763;291;1472
2013-08-25;1762;291;1471
2013-08-27;1762;291;1471
2013-08-29;1760;291;1469
2013-08-31;1761;291;1470
2013-09-02;1761;291;1470
2013-09-04;1761;291;1470
2013-09-06;1759;291;1468
2013-09-08;1760;291;1469
2013-09-10;1759;291;1468
2013-09-12;1761;291;1470
2013-09-14;1761;291;1470
2013-09-16;1765;293;1472
2013-09-18;1765;293;1472
2013-09-20;1764;293;1471
2013-09-22;1762;293;1469
2013-09-24;1762;293;1469
2013-09-26;1759;293;1466
2013-09-28;1759;293;1466
2013-09-30;1758;293;1465
2013-10-02;1759;293;1466
2013-10-04;1758;293;1465
2013-10-06;1758;293;1465
2013-10-08;1760;293;1467
2013-10-10;1760;293;1467
2013-10-12;1759;293;1466
2013-10-14;1758;293;1465
2013-10-16;1757;293;1464
2013-10-18;1759;293;1466
2013-10-20;1761;293;1468
2013-10-22;1762;293;1469
2013-10-24;1762;293;1469
2013-10-26;1763;293;1470
2013-10-28;1764;293;1471
2013-10-30;1764;293;1471
2013-11-01;1763;293;1470
2013-11-03;1765;293;1472
2013-11-05;1766;293;1473
2013-11-07;1765;292;1473
2013-11-09;1765;292;1473
2013-11-11;1765;292;1473
2013-11-13;1763;292;1471
2013-11-15;1764;292;1472
2013-11-17;1762;292;1470
2013-11-19;1761;292;1469
2013-11-21;1762;293;1469
2013-11-23;1759;293;1466
2013-11-25;1759;293;1466
2013-11-27;1758;293;1465
2013-11-29;1757;293;1464
2013-12-01;1755;292;1463
2013-12-03;1756;292;1464
2013-12-05;1754;292;1462
2013-12-07;1754;292;1462
2013-12-09;1753;292;1461
2013-12-11;1752;292;1460
2013-12-13;1751;292;1459
2013-12-15;1753;286;1467
2013-12-17;1753;286;1467
2013-12-19;1752;286;1466
2013-12-21;1751;286;1465
2013-12-23;1750;286;1464
2013-12-25;1750;286;1464
2013-12-27;1749;286;1463
2013-12-29;1749;286;1463
2013-12-31;1749;286;1463
2014-01-02;1749;286;1463
2014-01-04;1749;286;1463
2014-01-06;1751;286;1465
2014-01-08;1752;286;1466
2014-01-10;1752;286;1466
2014-01-12;1755;286;1469
2014-01-14;1753;287;1466
2014-01-16;1751;289;1462
2014-01-18;1752;297;1455
2014-01-20;1748;297;1451
2014-01-22;1749;298;1451
2014-01-24;1749;299;1450
2014-01-26;1747;298;1449
2014-01-28;1748;298;1450
2014-01-30;1748;300;1448
2014-02-01;1749;300;1449
2014-02-03;1749;301;1448
2014-02-05;1749;303;1446
2014-02-07;1744;303;1441
2014-02-09;1742;303;1439
2014-02-11;1742;303;1439
2014-02-13;1742;303;1439
2014-02-15;1741;303;1438
2014-02-17;1741;303;1438
2014-02-19;1740;303;1437
2014-02-21;1740;304;1436
2014-02-23;1742;304;1438
2014-02-25;1739;304;1435
2014-02-27;1741;304;1437
2014-03-01;1740;304;1436
2014-03-03;1740;304;1436
2014-03-05;1740;304;1436
2014-03-07;1741;305;1436
2014-03-09;1741;305;1436
2014-03-11;1742;305;1437
2014-03-13;1741;305;1436
2014-03-15;1742;306;1436
2014-03-17;1745;305;1440
2014-03-19;1747;305;1442
2014-03-21;1749;305;1444
2014-03-23;1751;307;1444
2014-03-25;1753;307;1446
2014-03-27;1755;307;1448
2014-03-29;1759;307;1452
2014-03-31;1760;307;1453
2014-04-02;1761;309;1452
2014-04-04;1760;308;1452
2014-04-06;1759;311;1448
2014-04-08;1758;309;1449
2014-04-10;1758;309;1449
2014-04-12;1761;309;1452
2014-04-14;1762;309;1453
2014-04-16;1763;309;1454
2014-04-18;1764;309;1455
2014-04-20;1767;309;1458
2014-04-22;1770;309;1461
2014-04-24;1771;308;1463
2014-04-26;1770;308;1462
2014-04-28;1771;308;1463
2014-04-30;1770;308;1462
2014-05-02;1774;308;1466
2014-05-04;1772;308;1464
