date;followers;following;fans
2013-04-18;3146;222;2924
2013-04-19;3151;222;2929
2013-04-20;3149;222;2927
2013-04-21;3152;222;2930
2013-04-22;3162;222;2940
2013-04-23;3164;222;2942
2013-04-24;3174;222;2952
2013-04-25;3182;222;2960
2013-04-26;3182;222;2960
2013-04-27;3190;222;2968
2013-04-28;3199;222;2977
2013-04-30;3208;222;2986
2013-05-01;3210;222;2988
2013-05-02;3214;222;2992
2013-05-03;3216;222;2994
2013-05-04;3220;222;2998
2013-05-05;3224;222;3002
2013-05-06;3242;222;3020
2013-05-07;3246;222;3024
2013-05-08;3251;222;3029
2013-05-09;3255;222;3033
2013-05-10;3258;222;3036
2013-05-11;3266;221;3045
2013-05-13;3270;221;3049
2013-05-14;3281;221;3060
2013-05-15;3290;221;3069
2013-05-16;3292;221;3071
2013-05-17;3293;221;3072
2013-05-18;3297;222;3075
2013-05-19;3300;222;3078
2013-05-20;3305;222;3083
2013-05-21;3312;222;3090
2013-05-23;3320;222;3098
2013-05-24;3326;222;3104
2013-05-25;3330;222;3108
2013-05-26;3336;222;3114
2013-05-27;3337;222;3115
2013-05-28;3338;222;3116
2013-05-29;3344;222;3122
2013-05-30;3349;222;3127
2013-06-01;3351;222;3129
2013-06-02;3358;222;3136
2013-06-03;3360;222;3138
2013-06-04;3367;222;3145
2013-06-05;3373;222;3151
2013-06-06;3378;222;3156
2013-06-07;3385;222;3163
2013-06-08;3390;222;3168
2013-06-10;3398;222;3176
2013-06-11;3402;222;3180
2013-06-20;3431;222;3209
2013-06-21;3434;222;3212
2013-06-22;3433;222;3211
2013-06-23;3433;222;3211
2013-06-24;3433;222;3211
2013-06-25;3435;222;3213
2013-06-27;3434;222;3212
2013-06-28;3439;222;3217
2013-06-29;3446;222;3224
2013-06-30;3445;222;3223
2013-07-01;3451;222;3229
2013-07-02;3455;222;3233
2013-07-03;3463;222;3241
2013-07-04;3463;222;3241
2013-07-05;3468;222;3246
2013-07-07;3476;222;3254
2013-07-08;3481;222;3259
2013-07-09;3484;222;3262
2013-07-10;3491;222;3269
2013-07-11;3503;223;3280
2013-07-12;3514;223;3291
2013-07-13;3515;223;3292
2013-07-14;3524;223;3301
2013-07-15;3535;223;3312
2013-07-17;3553;223;3330
2013-07-18;3560;223;3337
2013-07-19;3563;224;3339
2013-07-20;3568;224;3344
2013-07-21;3575;224;3351
2013-07-22;3575;224;3351
2013-07-23;3581;224;3357
2013-07-24;3584;224;3360
2013-07-25;3596;224;3372
2013-07-27;3604;224;3380
2013-07-28;3608;224;3384
2013-07-29;3607;224;3383
2013-07-30;3610;224;3386
2013-07-31;3616;224;3392
2013-08-01;3623;224;3399
2013-08-02;3629;224;3405
2013-08-03;3634;224;3410
2013-08-05;3636;224;3412
2013-08-06;3640;224;3416
2013-08-07;3640;224;3416
2013-08-08;3645;224;3421
2013-08-09;3645;224;3421
2013-08-10;3660;224;3436
2013-08-11;3664;224;3440
2013-08-13;3670;224;3446
2013-08-14;3673;224;3449
2013-08-15;3675;224;3451
2013-08-16;3677;224;3453
2013-08-17;3679;224;3455
2013-08-18;3685;224;3461
2013-08-19;3691;224;3467
2013-08-21;3699;224;3475
2013-08-22;3703;222;3481
2013-08-23;3706;222;3484
2013-08-24;3710;222;3488
2013-08-25;3714;223;3491
2013-08-26;3721;223;3498
2013-08-28;3734;224;3510
2013-08-29;3737;224;3513
2013-08-30;3741;224;3517
2013-08-31;3746;224;3522
2013-09-01;3746;224;3522
2013-09-02;3750;224;3526
2013-09-03;3759;224;3535
2013-09-05;3764;224;3540
2013-09-06;3772;224;3548
2013-09-07;3773;224;3549
2013-09-08;3773;224;3549
2013-09-09;3773;224;3549
2013-09-10;3791;224;3567
2013-09-12;3797;224;3573
2013-09-13;3798;224;3574
2013-09-14;3802;224;3578
2013-09-15;3808;224;3584
2013-09-16;3816;224;3592
2013-09-18;3823;224;3599
2013-09-19;3825;224;3601
2013-09-20;3834;224;3610
2013-09-21;3837;224;3613
2013-09-22;3838;225;3613
2013-09-23;3841;225;3616
2013-09-24;3844;225;3619
2013-09-26;3850;225;3625
2013-09-27;3853;225;3628
2013-09-28;3852;226;3626
2013-09-29;3855;226;3629
2013-09-30;3856;226;3630
2013-10-01;3864;226;3638
2013-10-03;3867;226;3641
2013-10-04;3869;226;3643
2013-10-05;3872;226;3646
2013-10-06;3877;226;3651
2013-10-07;3885;226;3659
2013-10-09;3894;226;3668
2013-10-10;3898;226;3672
2013-10-11;3903;226;3677
2013-10-12;3907;226;3681
2013-10-13;3907;226;3681
2013-10-15;4168;227;3941
2013-10-16;4194;227;3967
2013-10-17;4206;227;3979
2013-10-18;4207;227;3980
2013-10-19;4213;227;3986
2013-10-21;4219;227;3992
2013-10-22;4232;227;4005
2013-10-23;4268;227;4041
2013-10-24;4294;227;4067
2013-10-26;4307;227;4080
2013-10-27;4314;227;4087
2013-10-28;4310;227;4083
2013-10-29;4318;227;4091
2013-10-30;4327;227;4100
2013-10-31;4337;227;4110
2013-11-02;4338;227;4111
2013-11-03;4341;227;4114
2013-11-04;4347;227;4120
2013-11-05;4357;227;4130
2013-11-07;4362;227;4135
2013-11-08;4370;227;4143
2013-11-09;4378;227;4151
2013-11-10;4383;227;4156
2013-11-12;4390;227;4163
2013-11-13;4392;227;4165
2013-11-14;4402;228;4174
2013-11-15;4407;228;4179
2013-11-16;4421;228;4193
2013-11-18;4428;228;4200
2013-11-19;4432;228;4204
2013-11-20;4435;228;4207
2013-11-21;4444;228;4216
2013-11-22;4450;228;4222
2013-11-24;4455;228;4227
2013-11-25;4459;228;4231
2013-11-26;4457;228;4229
2013-11-27;4464;228;4236
2013-11-29;4470;228;4242
2013-11-30;4476;228;4248
2013-12-01;4475;228;4247
2013-12-02;4479;228;4251
2013-12-04;4482;228;4254
2013-12-05;4482;228;4254
2013-12-06;4481;228;4253
2013-12-07;4484;228;4256
2013-12-09;4486;228;4258
2013-12-10;4488;228;4260
2013-12-11;4487;228;4259
2013-12-12;4493;228;4265
2013-12-14;4497;228;4269
2013-12-15;4500;228;4272
2013-12-16;4504;228;4276
2013-12-17;4512;228;4284
2013-12-19;4515;228;4287
2013-12-20;4523;228;4295
2013-12-21;4524;228;4296
2013-12-22;4528;228;4300
2013-12-24;4532;228;4304
2013-12-25;4534;228;4306
2013-12-26;4536;228;4308
2013-12-27;4541;228;4313
2013-12-29;4549;228;4321
2013-12-30;4555;228;4327
2013-12-31;4566;228;4338
2014-01-02;4576;228;4348
2014-01-03;4582;228;4354
2014-01-04;4587;228;4359
2014-01-05;4596;228;4368
2014-01-07;4599;228;4371
2014-01-08;4611;229;4382
2014-01-09;4615;229;4386
2014-01-10;4644;229;4415
2014-01-12;4652;229;4423
2014-01-13;4655;229;4426
2014-01-14;4658;229;4429
2014-01-16;4666;229;4437
2014-01-17;4667;229;4438
2014-01-18;4670;229;4441
2014-01-19;4671;229;4442
2014-01-21;4681;229;4452
2014-01-22;4687;229;4458
2014-01-23;4691;229;4462
2014-01-25;4695;229;4466
2014-01-26;4699;229;4470
2014-01-27;4702;229;4473
2014-01-29;4721;229;4492
2014-01-31;4726;229;4497
2014-02-01;4729;229;4500
2014-02-02;4732;229;4503
2014-02-03;4738;230;4508
2014-02-05;4741;230;4511
2014-02-06;4756;230;4526
2014-02-07;4767;230;4537
2014-02-09;4768;230;4538
2014-02-10;4765;230;4535
2014-02-11;4773;230;4543
2014-02-12;4776;230;4546
2014-02-14;4782;230;4552
2014-02-15;4785;230;4555
2014-02-16;4792;230;4562
2014-02-17;4797;232;4565
2014-02-19;4799;232;4567
2014-02-20;4801;232;4569
2014-02-21;4810;232;4578
2014-02-23;4811;232;4579
2014-02-24;4810;232;4578
2014-02-26;4821;232;4589
2014-02-27;4822;232;4590
2014-02-28;4825;232;4593
2014-03-01;4868;232;4636
2014-03-03;4877;232;4645
2014-03-04;4880;232;4648
2014-03-06;4889;232;4657
2014-03-07;4895;232;4663
2014-03-08;4909;232;4677
2014-03-10;4915;232;4683
2014-03-11;4917;232;4685
2014-03-13;4924;232;4692
2014-03-14;4925;232;4693
2014-03-15;4924;232;4692
2014-03-16;4923;232;4691
2014-03-18;4929;232;4697
2014-03-19;4934;232;4702
2014-03-20;4930;232;4698
2014-03-22;4933;232;4701
2014-03-23;4937;232;4705
2014-03-24;4942;232;4710
2014-03-26;4949;232;4717
2014-03-27;4949;232;4717
2014-03-28;4952;232;4720
2014-03-30;4954;232;4722
2014-03-31;4959;232;4727
2014-04-02;4961;232;4729
2014-04-03;4960;232;4728
2014-04-04;4961;232;4729
2014-04-06;4969;232;4737
2014-04-07;4971;232;4739
2014-04-09;4982;232;4750
2014-04-10;5004;232;4772
2014-04-11;5011;232;4779
2014-04-13;5015;232;4783
2014-04-14;5020;232;4788
2014-04-15;5031;232;4799
2014-04-17;5032;232;4800
2014-04-18;5030;232;4798
2014-04-19;5033;232;4801
2014-04-21;5035;232;4803
2014-04-22;5040;232;4808
2014-04-24;5057;232;4825
2014-04-25;5059;232;4827
2014-04-26;5058;232;4826
2014-04-27;5061;232;4829
2014-04-29;5064;232;4832
2014-04-30;5055;232;4823
2014-05-01;5057;232;4825
2014-05-03;5060;232;4828
2014-05-04;5063;232;4831
2014-05-06;5065;232;4833
