date;followers;following;fans
2013-04-18;1637;203;1434
2013-04-20;1640;204;1436
2013-04-22;1647;204;1443
2013-04-24;1646;205;1441
2013-04-26;1649;205;1444
2013-04-28;1654;205;1449
2013-04-30;1662;206;1456
2013-05-02;1668;206;1462
2013-05-04;1670;206;1464
2013-05-06;1670;206;1464
2013-05-08;1674;206;1468
2013-05-10;1680;206;1474
2013-05-12;1681;206;1475
2013-05-14;1681;206;1475
2013-05-16;1687;206;1481
2013-05-18;1691;206;1485
2013-05-20;1693;206;1487
2013-05-22;1691;206;1485
2013-05-24;1692;207;1485
2013-05-26;1698;208;1490
2013-05-28;1701;208;1493
2013-05-30;1705;208;1497
2013-06-01;1706;208;1498
2013-06-03;1709;208;1501
2013-06-05;1715;208;1507
2013-06-07;1721;208;1513
2013-06-09;1724;208;1516
2013-06-11;1726;208;1518
2013-06-20;1739;205;1534
2013-06-22;1740;206;1534
2013-06-24;1739;206;1533
2013-06-26;1745;206;1539
2013-06-28;1750;206;1544
2013-06-30;1751;206;1545
2013-07-02;1753;206;1547
2013-07-04;1756;207;1549
2013-07-06;1761;207;1554
2013-07-08;1763;207;1556
2013-07-10;1768;207;1561
2013-07-12;1770;207;1563
2013-07-14;1777;207;1570
2013-07-16;1781;207;1574
2013-07-18;1782;208;1574
2013-07-20;1784;208;1576
2013-07-22;1783;208;1575
2013-07-24;1783;208;1575
2013-07-26;1788;208;1580
2013-07-28;1794;208;1586
2013-07-30;1796;208;1588
2013-08-01;1799;208;1591
2013-08-03;1801;208;1593
2013-08-05;1802;208;1594
2013-08-07;1803;208;1595
2013-08-09;1805;208;1597
2013-08-11;1808;208;1600
2013-08-13;1808;208;1600
2013-08-15;1811;208;1603
2013-08-17;1813;208;1605
2013-08-19;1815;208;1607
2013-08-21;1816;208;1608
2013-08-23;1822;208;1614
2013-08-25;1819;208;1611
2013-08-27;1824;208;1616
2013-08-29;1825;208;1617
2013-08-31;1830;208;1622
2013-09-02;1834;208;1626
2013-09-04;1838;211;1627
2013-09-06;1839;212;1627
2013-09-08;1848;212;1636
2013-09-10;1848;214;1634
2013-09-12;1852;214;1638
2013-09-14;1854;214;1640
