date;followers;following;fans
2014-02-14;1522;189;1333
2014-02-16;1529;189;1340
2014-02-18;1532;189;1343
2014-02-20;1543;189;1354
2014-02-22;1551;193;1358
2014-02-24;1560;193;1367
2014-02-26;1574;194;1380
2014-02-28;1579;194;1385
2014-03-02;1582;194;1388
2014-03-04;1594;194;1400
2014-03-06;1617;195;1422
2014-03-08;1720;208;1512
2014-03-10;1739;208;1531
2014-03-12;1745;209;1536
2014-03-14;1749;209;1540
2014-03-16;1752;209;1543
2014-03-18;1756;209;1547
2014-03-20;1765;235;1530
2014-03-22;1768;235;1533
2014-03-24;1778;235;1543
2014-03-26;1777;235;1542
2014-03-28;1783;235;1548
2014-03-30;1785;235;1550
2014-04-01;1785;235;1550
2014-04-03;1783;235;1548
2014-04-05;1785;235;1550
2014-04-07;1792;235;1557
2014-04-09;1799;235;1564
2014-04-11;1801;235;1566
2014-04-13;1805;235;1570
2014-04-15;1806;235;1571
2014-04-17;1809;235;1574
2014-04-19;1811;235;1576
2014-04-21;1816;235;1581
2014-04-23;1818;235;1583
2014-04-25;1820;235;1585
2014-04-27;1826;235;1591
2014-04-29;1827;235;1592
2014-05-01;1833;235;1598
2014-05-03;1836;235;1601
2014-05-05;1839;235;1604
