date;followers;following;fans
2013-04-18;2512;395;2117
2013-04-20;2519;396;2123
2013-04-22;2521;396;2125
2013-04-24;2528;395;2133
2013-04-26;2552;396;2156
2013-04-28;2550;396;2154
2013-04-30;2562;396;2166
2013-05-02;2567;396;2171
2013-05-04;2603;399;2204
2013-05-06;2617;399;2218
2013-05-08;2636;399;2237
2013-05-10;2635;399;2236
2013-05-12;2636;398;2238
2013-05-14;2655;399;2256
2013-05-16;2666;399;2267
2013-05-18;2691;399;2292
2013-05-20;2690;399;2291
2013-05-22;2688;399;2289
2013-05-24;2690;397;2293
2013-05-26;2692;398;2294
2013-05-28;2696;399;2297
2013-05-30;2700;399;2301
2013-06-01;2702;399;2303
2013-06-03;2701;366;2335
2013-06-05;2703;366;2337
2013-06-07;2703;366;2337
2013-06-09;2702;365;2337
2013-06-11;2696;365;2331
2013-06-20;2754;365;2389
2013-06-22;2788;365;2423
2013-06-24;2791;365;2426
2013-06-26;2793;365;2428
2013-06-28;2796;365;2431
2013-06-30;2845;365;2480
2013-07-02;2866;364;2502
2013-07-03;2872;364;2508
2013-07-04;2871;364;2507
2013-07-05;2895;364;2531
2013-07-06;2933;364;2569
2013-07-07;2938;364;2574
2013-07-08;2938;364;2574
2013-07-09;2946;365;2581
2013-07-10;2955;365;2590
2013-07-12;2967;365;2602
2013-07-13;2974;365;2609
2013-07-14;2977;365;2612
2013-07-15;2976;365;2611
2013-07-16;2985;365;2620
2013-07-17;2998;366;2632
2013-07-18;3009;366;2643
2013-07-19;3013;366;2647
2013-07-21;3015;366;2649
2013-07-22;3017;366;2651
2013-07-23;3019;366;2653
2013-07-24;3017;366;2651
2013-07-25;3018;367;2651
2013-07-26;3016;367;2649
2013-07-27;3008;367;2641
2013-07-29;3029;366;2663
2013-07-30;3031;366;2665
2013-07-31;3033;366;2667
2013-08-01;3039;366;2673
2013-08-02;3041;366;2675
2013-08-03;3041;366;2675
2013-08-04;3041;366;2675
2013-08-05;3042;366;2676
2013-08-07;3047;366;2681
2013-08-08;3048;366;2682
2013-08-09;3052;366;2686
2013-08-10;3050;366;2684
2013-08-11;3069;366;2703
2013-08-12;3071;366;2705
2013-08-13;3074;366;2708
2013-08-15;3077;366;2711
2013-08-16;3078;366;2712
2013-08-17;3115;366;2749
2013-08-18;3118;367;2751
2013-08-19;3117;367;2750
2013-08-20;3116;367;2749
2013-08-22;3118;367;2751
2013-08-23;3115;367;2748
2013-08-24;3137;367;2770
2013-08-25;3140;367;2773
2013-08-26;3147;367;2780
2013-08-27;3147;367;2780
2013-08-28;3146;367;2779
2013-08-30;3156;367;2789
2013-08-31;3157;367;2790
2013-09-01;3160;367;2793
2013-09-02;3159;367;2792
2013-09-03;3160;367;2793
2013-09-04;3163;367;2796
2013-09-06;3162;367;2795
2013-09-07;3162;367;2795
2013-09-08;3162;367;2795
2013-09-09;3162;367;2795
2013-09-10;3164;367;2797
2013-09-11;3165;367;2798
2013-09-12;3215;367;2848
2013-09-14;3221;367;2854
2013-09-15;3217;367;2850
2013-09-16;3217;367;2850
2013-09-17;3218;367;2851
2013-09-18;3218;367;2851
2013-09-19;3223;367;2856
2013-09-21;3226;367;2859
2013-09-22;3224;300;2924
2013-09-23;3223;300;2923
2013-09-24;3222;300;2922
2013-09-25;3224;300;2924
2013-09-26;3227;300;2927
2013-09-28;3229;300;2929
2013-09-29;3280;300;2980
2013-09-30;3283;300;2983
2013-10-01;3283;300;2983
2013-10-02;3283;300;2983
