date;followers;following;fans
2013-04-17;4864;648;4216
2013-04-18;4861;649;4212
2013-04-19;4861;649;4212
2013-04-20;4858;649;4209
2013-04-21;4858;649;4209
2013-04-22;4856;649;4207
2013-04-23;4859;649;4210
2013-04-24;4859;649;4210
2013-04-25;4863;649;4214
2013-04-27;4861;649;4212
2013-04-28;4863;649;4214
2013-04-29;4862;649;4213
2013-04-30;4863;650;4213
2013-05-01;4863;650;4213
2013-05-02;4863;650;4213
2013-05-03;4863;650;4213
2013-05-04;4864;650;4214
2013-05-05;4865;650;4215
2013-05-07;4863;650;4213
2013-05-08;4860;650;4210
2013-05-09;4863;650;4213
2013-05-10;4860;650;4210
2013-05-11;4855;650;4205
2013-05-12;4856;649;4207
2013-05-13;4855;649;4206
2013-05-14;4855;649;4206
2013-05-15;4855;648;4207
2013-05-16;4856;649;4207
2013-05-18;4850;649;4201
2013-05-19;4848;649;4199
2013-05-20;4847;649;4198
2013-05-21;4848;649;4199
2013-05-22;4850;649;4201
2013-05-23;4845;649;4196
2013-05-24;4844;649;4195
2013-05-25;4845;649;4196
2013-05-26;4843;649;4194
2013-05-28;4841;648;4193
2013-05-29;4845;648;4197
2013-05-30;4843;648;4195
2013-05-31;4842;647;4195
2013-06-01;4841;647;4194
2013-06-02;4847;647;4200
2013-06-03;4845;647;4198
2013-06-04;4839;647;4192
2013-06-06;4837;647;4190
2013-06-07;4835;647;4188
2013-06-08;4837;647;4190
2013-06-09;4837;647;4190
2013-06-10;4837;647;4190
2013-06-11;4836;646;4190
2013-06-20;4839;646;4193
2013-06-21;4841;645;4196
2013-06-22;4842;645;4197
2013-06-23;4842;645;4197
2013-06-24;4844;645;4199
2013-06-26;4845;646;4199
2013-06-27;4845;646;4199
2013-06-28;4845;646;4199
2013-06-29;4842;646;4196
2013-06-30;4844;646;4198
2013-07-01;4841;646;4195
2013-07-02;4842;644;4198
2013-07-03;4847;644;4203
2013-07-05;4848;644;4204
2013-07-06;4846;644;4202
2013-07-07;4846;644;4202
2013-07-08;4851;644;4207
2013-07-09;4851;644;4207
2013-07-10;4849;644;4205
2013-07-11;4851;644;4207
2013-07-12;4852;643;4209
2013-07-14;4853;643;4210
2013-07-15;4854;643;4211
2013-07-16;4855;643;4212
2013-07-17;4854;641;4213
2013-07-18;4855;641;4214
2013-07-19;4851;640;4211
2013-07-20;4851;640;4211
2013-07-21;4849;640;4209
2013-07-23;4851;640;4211
2013-07-24;4849;640;4209
2013-07-25;4850;640;4210
2013-07-26;4848;640;4208
2013-07-27;4850;639;4211
2013-07-28;4849;640;4209
2013-07-29;4848;640;4208
2013-07-30;4848;640;4208
2013-08-01;4848;640;4208
2013-08-02;4845;640;4205
2013-08-03;4844;640;4204
2013-08-04;4848;640;4208
2013-08-05;4849;640;4209
2013-08-06;4846;639;4207
2013-08-07;4842;638;4204
2013-08-09;4841;638;4203
2013-08-10;4842;638;4204
2013-08-11;4840;638;4202
2013-08-12;4842;638;4204
2013-08-13;4839;639;4200
2013-08-14;4836;639;4197
2013-08-15;4837;639;4198
2013-08-17;4837;639;4198
2013-08-18;4834;639;4195
2013-08-19;4834;638;4196
2013-08-20;4834;638;4196
2013-08-21;4835;638;4197
2013-08-22;4834;638;4196
2013-08-24;4837;638;4199
2013-08-25;4837;638;4199
2013-08-26;4837;638;4199
2013-08-27;4833;638;4195
2013-08-28;4831;638;4193
2013-08-29;4831;638;4193
2013-08-30;4827;638;4189
2013-09-01;4828;638;4190
2013-09-02;4828;638;4190
2013-09-03;4828;638;4190
2013-09-04;4829;638;4191
2013-09-05;4829;638;4191
2013-09-06;4831;638;4193
2013-09-08;4832;638;4194
2013-09-09;4829;638;4191
2013-09-10;4830;638;4192
2013-09-11;4834;638;4196
2013-09-12;4831;638;4193
2013-09-13;4832;638;4194
2013-09-15;4834;638;4196
2013-09-16;4833;638;4195
2013-09-17;4833;638;4195
2013-09-18;4834;638;4196
2013-09-19;4836;638;4198
2013-09-20;4835;638;4197
2013-09-22;4832;638;4194
2013-09-23;4831;637;4194
2013-09-24;4831;637;4194
2013-09-25;4831;637;4194
2013-09-26;4829;637;4192
2013-09-27;4828;637;4191
2013-09-29;4828;637;4191
2013-09-30;4829;637;4192
2013-10-01;4828;637;4191
2013-10-02;4830;637;4193
2013-10-03;4830;637;4193
2013-10-05;4832;637;4195
2013-10-06;4832;637;4195
2013-10-07;4833;637;4196
2013-10-08;4832;637;4195
2013-10-09;4834;636;4198
2013-10-11;4835;636;4199
2013-10-12;4831;636;4195
2013-10-13;4831;636;4195
2013-10-14;4831;636;4195
2013-10-15;4831;636;4195
2013-10-17;4833;637;4196
2013-10-18;4835;637;4198
2013-10-19;4836;636;4200
2013-10-20;4837;636;4201
2013-10-21;4839;636;4203
2013-10-23;4838;636;4202
2013-10-24;4837;636;4201
2013-10-25;4839;636;4203
2013-10-26;4838;636;4202
2013-10-27;4838;636;4202
2013-10-28;4839;636;4203
2013-10-30;4838;636;4202
2013-10-31;4839;636;4203
2013-11-01;4838;636;4202
2013-11-02;4833;636;4197
2013-11-03;4831;636;4195
2013-11-05;4833;638;4195
2013-11-06;4833;638;4195
2013-11-07;4831;639;4192
2013-11-08;4833;639;4194
2013-11-10;4832;639;4193
2013-11-11;4829;639;4190
2013-11-12;4830;639;4191
2013-11-13;4831;639;4192
2013-11-14;4831;639;4192
2013-11-16;4833;639;4194
2013-11-17;4832;639;4193
2013-11-18;4833;640;4193
2013-11-19;4832;640;4192
2013-11-21;4832;640;4192
2013-11-22;4831;640;4191
2013-11-23;4829;640;4189
2013-11-24;4829;639;4190
2013-11-26;4829;639;4190
2013-11-27;4829;639;4190
2013-11-28;4829;639;4190
2013-11-29;4829;640;4189
2013-11-30;4829;640;4189
2013-12-02;4826;640;4186
2013-12-03;4823;640;4183
2013-12-04;4822;640;4182
2013-12-05;4821;639;4182
2013-12-07;4821;640;4181
2013-12-08;4821;640;4181
2013-12-09;4821;640;4181
2013-12-10;4820;640;4180
2013-12-12;4818;640;4178
2013-12-13;4820;640;4180
2013-12-14;4820;640;4180
2013-12-15;4820;640;4180
2013-12-17;4820;640;4180
2013-12-18;4820;640;4180
2013-12-19;4820;640;4180
2013-12-20;4820;639;4181
2013-12-22;4817;638;4179
2013-12-23;4817;638;4179
2013-12-24;4815;638;4177
2013-12-25;4816;638;4178
2013-12-27;4818;638;4180
2013-12-28;4817;638;4179
2013-12-29;4819;638;4181
2013-12-31;4820;639;4181
2014-01-01;4819;639;4180
2014-01-02;4816;638;4178
2014-01-03;4812;638;4174
2014-01-05;4815;638;4177
2014-01-06;4811;638;4173
2014-01-07;4813;638;4175
2014-01-09;4813;638;4175
2014-01-10;4812;638;4174
2014-01-11;4812;638;4174
2014-01-12;4813;638;4175
2014-01-14;4815;638;4177
2014-01-15;4808;638;4170
2014-01-16;4809;637;4172
2014-01-18;4810;637;4173
2014-01-19;4809;636;4173
2014-01-20;4812;636;4176
2014-01-21;4812;636;4176
2014-01-23;4811;636;4175
2014-01-24;4808;636;4172
2014-01-25;4808;636;4172
2014-01-26;4809;636;4173
2014-01-28;4810;636;4174
2014-01-30;4807;637;4170
2014-01-31;4805;637;4168
2014-02-01;4804;637;4167
2014-02-02;4802;638;4164
2014-02-04;4804;638;4166
2014-02-05;4805;638;4167
2014-02-06;4806;638;4168
2014-02-08;4806;638;4168
2014-02-09;4804;638;4166
2014-02-10;4806;638;4168
2014-02-12;4810;638;4172
2014-02-13;4811;638;4173
2014-02-14;4815;638;4177
2014-02-15;4813;638;4175
2014-02-17;4813;638;4175
2014-02-18;4813;638;4175
2014-02-20;4814;638;4176
2014-02-21;4814;638;4176
2014-02-22;4816;638;4178
2014-02-24;4813;637;4176
2014-02-25;4816;638;4178
2014-02-26;4815;638;4177
2014-02-28;4815;638;4177
2014-03-01;4815;637;4178
2014-03-02;4814;638;4176
2014-03-04;4812;638;4174
2014-03-05;4813;638;4175
2014-03-06;4811;638;4173
2014-03-08;4810;638;4172
2014-03-09;4808;638;4170
2014-03-10;4809;637;4172
2014-03-12;4811;641;4170
2014-03-13;4811;642;4169
2014-03-14;4812;642;4170
2014-03-16;4811;641;4170
2014-03-17;4808;641;4167
2014-03-18;4807;641;4166
2014-03-20;4808;641;4167
2014-03-21;4809;642;4167
2014-03-22;4810;642;4168
2014-03-24;4809;642;4167
2014-03-25;4811;642;4169
2014-03-26;4811;642;4169
2014-03-28;4811;642;4169
2014-03-29;4811;642;4169
2014-03-31;4813;642;4171
2014-04-01;4814;642;4172
2014-04-02;4813;642;4171
2014-04-03;4814;642;4172
2014-04-05;4814;642;4172
2014-04-06;4814;642;4172
2014-04-07;4813;641;4172
2014-04-09;4812;641;4171
2014-04-10;4812;641;4171
2014-04-12;4810;641;4169
2014-04-13;4809;641;4168
2014-04-14;4807;641;4166
2014-04-16;4801;641;4160
2014-04-17;4802;641;4161
2014-04-18;4805;641;4164
2014-04-20;4805;641;4164
2014-04-21;4805;641;4164
2014-04-22;4803;641;4162
2014-04-24;4803;643;4160
2014-04-25;4806;644;4162
2014-04-26;4807;644;4163
2014-04-28;4805;643;4162
2014-04-29;4804;643;4161
2014-04-30;4806;643;4163
2014-05-02;4807;643;4164
2014-05-03;4805;643;4162
2014-05-04;4808;643;4165
