date;followers;following;fans
2013-04-18;1976;114;1862
2013-04-20;1981;114;1867
2013-04-22;1983;114;1869
2013-04-24;1986;114;1872
2013-04-26;1993;114;1879
2013-04-28;1995;114;1881
2013-04-30;2001;114;1887
2013-05-02;2017;114;1903
2013-05-04;2025;114;1911
2013-05-06;2026;114;1912
2013-05-08;2036;114;1922
2013-05-10;2044;114;1930
2013-05-12;2048;113;1935
2013-05-14;2058;113;1945
2013-05-16;2062;112;1950
2013-05-18;2065;113;1952
2013-05-20;2072;113;1959
2013-05-22;2076;113;1963
2013-05-24;2087;113;1974
2013-05-26;2098;113;1985
2013-05-28;2100;113;1987
2013-05-30;2114;113;2001
2013-06-01;2117;113;2004
2013-06-03;2121;113;2008
2013-06-05;2129;112;2017
2013-06-07;2141;112;2029
2013-06-09;2147;112;2035
2013-06-11;2154;112;2042
2013-06-20;2170;111;2059
2013-06-22;2188;111;2077
2013-06-24;2192;111;2081
2013-06-26;2194;111;2083
2013-06-28;2197;111;2086
2013-06-30;2204;111;2093
2013-07-02;2211;111;2100
2013-07-04;2215;111;2104
2013-07-06;2217;111;2106
2013-07-08;2220;110;2110
2013-07-10;2227;111;2116
2013-07-12;2232;111;2121
2013-07-14;2239;111;2128
2013-07-16;2243;111;2132
2013-07-18;2244;111;2133
2013-07-20;2246;110;2136
2013-07-22;2248;110;2138
2013-07-24;2253;110;2143
2013-07-26;2259;110;2149
2013-07-28;2263;110;2153
2013-07-30;2267;110;2157
2013-08-01;2271;110;2161
2013-08-03;2272;110;2162
2013-08-05;2280;110;2170
2013-08-07;2284;110;2174
2013-08-09;2290;110;2180
2013-08-11;2293;110;2183
2013-08-13;2298;110;2188
2013-08-15;2304;110;2194
2013-08-17;2308;110;2198
2013-08-19;2311;110;2201
2013-08-21;2316;110;2206
2013-08-23;2323;110;2213
2013-08-25;2325;110;2215
2013-08-27;2332;110;2222
2013-08-29;2334;110;2224
2013-08-31;2343;110;2233
2013-09-02;2353;110;2243
2013-09-04;2360;110;2250
2013-09-06;2374;110;2264
2013-09-08;2382;110;2272
2013-09-10;2384;110;2274
2013-09-12;2387;110;2277
2013-09-14;2394;110;2284
2013-09-16;2399;110;2289
2013-09-18;2401;110;2291
2013-09-20;2406;109;2297
2013-09-22;2408;109;2299
2013-09-24;2412;109;2303
2013-09-26;2422;109;2313
2013-09-28;2426;109;2317
2013-09-30;2436;108;2328
2013-10-02;2438;108;2330
2013-10-04;2439;108;2331
2013-10-06;2445;108;2337
2013-10-08;2450;108;2342
2013-10-10;2456;109;2347
2013-10-12;2455;109;2346
2013-10-14;2465;110;2355
2013-10-16;2474;111;2363
2013-10-18;2483;111;2372
2013-10-20;2485;111;2374
2013-10-22;2487;111;2376
2013-10-24;2496;111;2385
2013-10-26;2500;111;2389
2013-10-28;2505;111;2394
2013-10-30;2526;111;2415
2013-11-01;2537;112;2425
2013-11-03;2541;112;2429
2013-11-05;2546;112;2434
2013-11-07;2556;112;2444
2013-11-09;2559;112;2447
2013-11-11;2569;112;2457
2013-11-13;2580;112;2468
2013-11-15;2590;112;2478
2013-11-17;2598;112;2486
2013-11-19;2610;112;2498
2013-11-21;2621;112;2509
2013-11-22;2630;113;2517
2013-11-23;2636;113;2523
2013-11-24;2638;113;2525
2013-11-25;2655;113;2542
2013-11-27;2662;113;2549
2013-11-28;2670;113;2557
2013-11-29;2682;113;2569
2013-11-30;2692;113;2579
2013-12-02;2696;113;2583
2013-12-03;2712;113;2599
2013-12-04;2718;113;2605
2013-12-05;2732;113;2619
2013-12-06;2762;113;2649
2013-12-08;2769;113;2656
2013-12-09;2775;113;2662
2013-12-10;2780;113;2667
2013-12-11;2796;113;2683
2013-12-13;2800;113;2687
2013-12-14;2809;113;2696
2013-12-15;2812;113;2699
2013-12-17;2820;113;2707
2013-12-18;2825;113;2712
2013-12-19;2830;113;2717
2013-12-20;2835;113;2722
2013-12-21;2842;114;2728
2013-12-23;2850;114;2736
2013-12-24;2852;114;2738
2013-12-25;2855;114;2741
2013-12-27;2864;114;2750
2013-12-28;2875;114;2761
2013-12-29;2882;114;2768
2013-12-30;2899;114;2785
2014-01-01;2900;114;2786
2014-01-02;2912;114;2798
2014-01-03;2915;114;2801
2014-01-05;2924;114;2810
2014-01-06;2935;114;2821
2014-01-07;2940;114;2826
2014-01-08;2949;114;2835
2014-01-10;2955;114;2841
2014-01-11;2965;114;2851
2014-01-12;2974;114;2860
2014-01-14;2986;114;2872
2014-01-15;3004;114;2890
2014-01-16;3015;114;2901
2014-01-17;3026;114;2912
2014-01-19;3031;114;2917
2014-01-20;3040;114;2926
2014-01-21;3078;114;2964
2014-01-22;3111;114;2997
2014-01-24;3124;114;3010
2014-01-25;3128;114;3014
2014-01-26;3134;114;3020
2014-01-27;3136;114;3022
2014-01-30;3149;114;3035
2014-01-31;3156;114;3042
2014-02-01;3161;114;3047
2014-02-02;3162;114;3048
2014-02-04;3170;114;3056
2014-02-05;3177;114;3063
2014-02-06;3184;114;3070
2014-02-07;3200;114;3086
2014-02-09;3207;114;3093
2014-02-10;3216;114;3102
2014-02-11;3227;114;3113
2014-02-13;3241;113;3128
2014-02-14;3247;113;3134
2014-02-15;3256;113;3143
2014-02-17;3259;113;3146
2014-02-18;3264;113;3151
2014-02-19;3268;113;3155
2014-02-21;3273;113;3160
2014-02-22;3273;113;3160
2014-02-23;3279;113;3166
2014-02-25;3280;113;3167
2014-02-26;3282;113;3169
2014-02-27;3289;113;3176
2014-03-01;3290;114;3176
2014-03-02;3293;114;3179
2014-03-03;3303;114;3189
2014-03-05;3310;114;3196
2014-03-06;3310;114;3196
2014-03-07;3327;114;3213
2014-03-09;3332;114;3218
