date;followers;following;fans
2013-04-20;2258;373;1885
2013-04-22;2263;372;1891
2013-04-24;2273;375;1898
2013-04-26;2270;375;1895
2013-04-28;2282;379;1903
2013-04-30;2315;379;1936
2013-05-02;2327;378;1949
2013-05-04;2332;378;1954
2013-05-06;2335;378;1957
2013-05-08;2336;383;1953
2013-05-10;2338;363;1975
2013-05-12;2338;363;1975
2013-05-14;2343;362;1981
2013-05-16;2343;361;1982
2013-05-18;2345;362;1983
2013-05-20;2342;363;1979
2013-05-22;2341;364;1977
2013-05-24;2341;363;1978
2013-05-26;2335;363;1972
2013-05-28;2346;365;1981
2013-05-30;2359;368;1991
2013-06-01;2358;368;1990
2013-06-03;2359;369;1990
2013-06-05;2361;369;1992
2013-06-07;2361;368;1993
2013-06-09;2370;369;2001
2013-06-11;2373;371;2002
2013-06-20;2378;373;2005
2013-06-22;2382;376;2006
2013-06-24;2382;376;2006
2013-06-26;2378;377;2001
2013-06-28;2380;377;2003
2013-06-30;2395;378;2017
2013-07-02;2396;378;2018
2013-07-04;2393;378;2015
2013-07-06;2397;378;2019
2013-07-08;2433;379;2054
2013-07-10;2437;378;2059
2013-07-12;2436;378;2058
2013-07-14;2442;379;2063
2013-07-16;2438;380;2058
2013-07-18;2434;380;2054
2013-07-20;2430;381;2049
2013-07-22;2432;381;2051
2013-07-24;2433;381;2052
2013-07-26;2430;380;2050
2013-07-28;2430;382;2048
2013-07-30;2427;385;2042
2013-08-01;2427;385;2042
2013-08-03;2427;384;2043
2013-08-05;2423;384;2039
2013-08-07;2433;385;2048
2013-08-09;2432;385;2047
2013-08-11;2426;385;2041
2013-08-13;2425;386;2039
2013-08-15;2424;385;2039
2013-08-17;2419;387;2032
2013-08-19;2418;387;2031
2013-08-21;2416;388;2028
2013-08-23;2424;389;2035
2013-08-25;2430;389;2041
2013-08-27;2429;388;2041
2013-08-29;2432;389;2043
2013-08-31;2428;388;2040
2013-09-02;2426;388;2038
2013-09-04;2423;388;2035
2013-09-06;2427;388;2039
2013-09-08;2428;389;2039
2013-09-10;2427;388;2039
2013-09-12;2426;387;2039
2013-09-14;2427;387;2040
2013-09-16;2427;389;2038
2013-09-18;2435;390;2045
2013-09-20;2441;390;2051
2013-09-22;2444;391;2053
2013-09-24;2445;392;2053
2013-09-26;2447;394;2053
2013-09-28;2448;394;2054
2013-09-30;2447;394;2053
2013-10-02;2445;395;2050
2013-10-04;2444;395;2049
2013-10-06;2448;396;2052
2013-10-08;2450;397;2053
2013-10-10;2458;398;2060
2013-10-12;2463;399;2064
2013-10-14;2469;399;2070
2013-10-16;2467;399;2068
2013-10-18;2467;399;2068
2013-10-20;2465;398;2067
2013-10-22;2469;398;2071
2013-10-24;2467;397;2070
2013-10-26;2465;397;2068
2013-10-28;2473;399;2074
2013-10-30;2472;399;2073
2013-11-01;2471;392;2079
2013-11-03;2482;393;2089
2013-11-05;2483;393;2090
2013-11-07;2483;392;2091
2013-11-09;2477;393;2084
2013-11-11;2474;395;2079
2013-11-13;2468;397;2071
2013-11-15;2474;396;2078
2013-11-17;2468;395;2073
2013-11-19;2471;396;2075
2013-11-21;2465;396;2069
2013-11-23;2474;397;2077
2013-11-25;2472;398;2074
2013-11-27;2469;399;2070
2013-11-29;2469;398;2071
2013-12-01;2485;400;2085
