date;followers;following;fans
2013-08-05;10324;302;10022
2013-08-06;10347;302;10045
2013-08-07;10364;302;10062
2013-08-08;10397;302;10095
2013-08-09;10408;302;10106
2013-08-10;10427;302;10125
2013-08-11;10448;302;10146
2013-08-12;10472;302;10170
2013-08-13;10501;307;10194
2013-08-14;10515;307;10208
2013-08-15;10531;308;10223
2013-08-16;10546;308;10238
2013-08-17;10568;308;10260
2013-08-18;10594;308;10286
2013-08-19;10629;308;10321
2013-08-20;10664;308;10356
2013-08-21;10693;308;10385
2013-08-22;10726;308;10418
2013-08-23;10757;308;10449
2013-08-24;10783;308;10475
2013-08-25;10811;308;10503
2013-08-26;10851;308;10543
2013-08-27;10876;308;10568
2013-08-28;10903;308;10595
2013-08-29;10946;308;10638
2013-08-30;10985;308;10677
2013-08-31;11014;308;10706
2013-09-01;11049;308;10741
2013-09-02;11097;308;10789
2013-09-03;11145;308;10837
2013-09-04;11174;309;10865
2013-09-05;11203;308;10895
2013-09-06;11221;309;10912
2013-09-07;11234;309;10925
2013-09-08;11258;309;10949
2013-09-09;11286;309;10977
2013-09-10;11316;309;11007
2013-09-11;11330;309;11021
2013-09-12;11349;309;11040
2013-09-13;11364;309;11055
2013-09-14;11388;309;11079
2013-09-15;11404;309;11095
2013-09-16;11424;308;11116
2013-09-17;11454;309;11145
2013-09-18;11485;309;11176
2013-09-19;11523;309;11214
2013-09-20;11548;309;11239
2013-09-21;11577;309;11268
2013-09-22;11607;309;11298
2013-09-23;11668;309;11359
2013-09-24;11708;309;11399
2013-09-25;11738;309;11429
2013-09-26;11776;309;11467
2013-09-27;11811;309;11502
2013-09-28;11818;309;11509
2013-09-29;11841;309;11532
2013-09-30;11865;309;11556
2013-10-01;11889;309;11580
2013-10-02;11911;309;11602
2013-10-03;11942;309;11633
2013-10-04;11967;308;11659
2013-10-05;11991;308;11683
2013-10-06;12027;308;11719
2013-10-07;12055;308;11747
2013-10-08;12094;310;11784
2013-10-09;12123;310;11813
2013-10-10;12150;310;11840
2013-10-11;12169;311;11858
2013-10-12;12180;311;11869
2013-10-13;12204;311;11893
2013-10-14;12241;311;11930
2013-10-15;12269;311;11958
2013-10-16;12298;311;11987
2013-10-17;12322;311;12011
2013-10-18;12363;312;12051
2013-10-19;12391;312;12079
2013-10-20;12424;312;12112
2013-10-21;12456;312;12144
2013-10-22;12482;312;12170
2013-10-23;12509;312;12197
2013-10-24;12539;313;12226
2013-10-25;12557;313;12244
2013-10-26;12588;313;12275
2013-10-27;12612;313;12299
2013-10-28;12655;313;12342
2013-10-29;12689;313;12376
2013-10-30;12727;313;12414
2013-10-31;12756;313;12443
2013-11-01;12788;313;12475
2013-11-02;12817;313;12504
2013-11-03;12844;313;12531
2013-11-04;12876;313;12563
2013-11-05;12910;313;12597
2013-11-06;12950;312;12638
2013-11-07;12973;312;12661
2013-11-08;13021;312;12709
2013-11-09;13055;313;12742
2013-11-10;13086;313;12773
2013-11-11;13138;313;12825
2013-11-12;13170;313;12857
2013-11-13;13210;313;12897
2013-11-14;13244;313;12931
2013-11-15;13278;312;12966
2013-11-16;13317;311;13006
2013-11-17;13351;311;13040
2013-11-18;13394;319;13075
2013-11-19;13432;320;13112
2013-11-20;13473;320;13153
2013-11-21;13503;321;13182
2013-11-22;13533;324;13209
2013-11-23;13558;324;13234
2013-11-24;13564;324;13240
2013-11-25;13583;324;13259
2013-11-26;13592;325;13267
2013-11-27;13607;325;13282
2013-11-28;13638;325;13313
2013-11-29;13661;325;13336
2013-11-30;13681;326;13355
2013-12-01;13697;326;13371
2013-12-02;13731;326;13405
2013-12-03;13766;326;13440
2013-12-04;13779;326;13453
2013-12-05;13825;326;13499
2013-12-06;13866;326;13540
2013-12-07;13911;326;13585
2013-12-08;13929;326;13603
2013-12-09;13962;326;13636
2013-12-10;13979;326;13653
2013-12-11;13998;326;13672
2013-12-12;14022;326;13696
2013-12-13;14035;326;13709
2013-12-14;14072;326;13746
2013-12-15;14094;326;13768
2013-12-16;14120;326;13794
2013-12-17;14149;326;13823
2013-12-18;14174;326;13848
2013-12-19;14196;326;13870
2013-12-20;14216;326;13890
2013-12-21;14236;326;13910
2013-12-22;14257;326;13931
2013-12-23;14284;326;13958
2013-12-24;14310;326;13984
2013-12-25;14322;326;13996
2013-12-26;14344;326;14018
2013-12-27;14366;326;14040
2013-12-28;14395;326;14069
2013-12-29;14437;326;14111
2013-12-30;14472;326;14146
2013-12-31;14501;326;14175
2014-01-01;14523;326;14197
2014-01-02;14568;326;14242
2014-01-03;14607;326;14281
2014-01-04;14651;326;14325
2014-01-05;14693;326;14367
2014-01-06;14735;326;14409
2014-01-07;14760;326;14434
2014-01-08;14782;327;14455
2014-01-09;14818;327;14491
2014-01-10;14840;328;14512
2014-01-11;14857;330;14527
2014-01-12;14871;330;14541
2014-01-13;14895;330;14565
2014-01-14;14895;330;14565
2014-01-15;14913;331;14582
2014-01-16;14942;331;14611
2014-01-17;14985;331;14654
2014-01-18;15028;331;14697
2014-01-19;15065;331;14734
2014-01-20;15101;331;14770
2014-01-21;15176;331;14845
2014-01-22;15236;331;14905
2014-01-23;15259;331;14928
2014-01-24;15300;341;14959
2014-01-25;15326;341;14985
2014-01-26;15349;341;15008
2014-01-27;15389;341;15048
2014-01-28;15422;343;15079
2014-01-29;15506;348;15158
2014-01-30;15513;348;15165
2014-01-31;15547;348;15199
2014-02-01;15646;348;15298
2014-02-02;15720;348;15372
2014-02-03;15791;348;15443
2014-02-04;15831;348;15483
2014-02-05;15859;359;15500
2014-02-06;15879;365;15514
2014-02-07;15986;370;15616
2014-02-08;16098;370;15728
2014-02-09;16203;370;15833
2014-02-10;16345;370;15975
2014-02-11;16472;376;16096
2014-02-12;16474;377;16097
2014-02-13;16545;377;16168
2014-02-14;16480;377;16103
2014-02-15;16533;377;16156
2014-02-16;16559;377;16182
2014-02-17;16625;377;16248
2014-02-18;16703;377;16326
2014-02-19;16556;377;16179
2014-02-20;16461;386;16075
2014-02-21;16480;386;16094
2014-02-22;16511;387;16124
2014-02-23;16566;387;16179
2014-02-24;16639;387;16252
2014-02-25;16670;387;16283
2014-02-26;16709;387;16322
2014-02-27;16741;387;16354
2014-02-28;16754;387;16367
2014-03-01;16769;387;16382
2014-03-02;16794;387;16407
2014-03-03;16823;387;16436
2014-03-04;16847;387;16460
2014-03-05;16891;387;16504
2014-03-06;16934;387;16547
2014-03-07;16958;387;16571
2014-03-08;16980;387;16593
2014-03-09;17007;387;16620
2014-03-10;17037;387;16650
2014-03-11;17058;387;16671
2014-03-12;17089;387;16702
2014-03-13;17106;387;16719
2014-03-14;17127;387;16740
2014-03-15;17148;388;16760
2014-03-16;17164;388;16776
2014-03-17;17207;388;16819
2014-03-18;17214;389;16825
2014-03-19;17223;390;16833
2014-03-20;17240;390;16850
2014-03-21;17250;391;16859
2014-03-22;17276;391;16885
2014-03-23;17312;391;16921
2014-03-24;17348;391;16957
2014-03-25;17373;392;16981
2014-03-26;17398;392;17006
2014-03-27;17430;392;17038
2014-03-28;17460;392;17068
2014-03-29;17487;392;17095
2014-03-30;17513;392;17121
2014-03-31;17530;392;17138
2014-04-01;17552;391;17161
2014-04-02;17576;392;17184
2014-04-03;17598;392;17206
2014-04-04;17621;392;17229
2014-04-05;17640;393;17247
2014-04-06;17659;393;17266
2014-04-07;17686;393;17293
2014-04-08;17727;397;17330
2014-04-09;17730;397;17333
2014-04-10;17753;398;17355
2014-04-11;17770;400;17370
2014-04-12;17784;400;17384
2014-04-13;17803;400;17403
2014-04-14;17817;400;17417
2014-04-15;17822;399;17423
2014-04-16;17850;400;17450
2014-04-17;17865;401;17464
2014-04-18;17885;401;17484
2014-04-19;17900;401;17499
2014-04-20;17909;401;17508
2014-04-21;17915;401;17514
2014-04-22;17941;401;17540
2014-04-23;17948;401;17547
2014-04-24;17962;400;17562
2014-04-25;17984;400;17584
2014-04-26;18001;400;17601
2014-04-27;18013;400;17613
2014-04-28;18040;400;17640
2014-04-29;18052;400;17652
2014-04-30;18075;400;17675
2014-05-01;18093;400;17693
2014-05-02;18114;400;17714
2014-05-03;18135;400;17735
2014-05-04;18142;400;17742
2014-05-05;18154;400;17754
