date;followers;following;fans
2013-04-17;2977;254;2723
2013-04-18;2983;254;2729
2013-04-19;2988;254;2734
2013-04-20;2991;254;2737
2013-04-21;2995;254;2741
2013-04-22;2996;254;2742
2013-04-23;2996;254;2742
2013-04-24;3006;254;2752
2013-04-26;3012;254;2758
2013-04-27;3016;254;2762
2013-04-28;3017;254;2763
2013-04-29;3023;254;2769
2013-04-30;3029;254;2775
2013-05-01;3038;254;2784
2013-05-02;3049;254;2795
2013-05-03;3059;254;2805
2013-05-04;3066;254;2812
2013-05-06;3067;254;2813
2013-05-07;3074;254;2820
2013-05-08;3087;254;2833
2013-05-09;3091;254;2837
2013-05-10;3100;254;2846
2013-05-11;3106;254;2852
2013-05-12;3110;254;2856
2013-05-13;3117;254;2863
2013-05-15;3124;254;2870
2013-05-16;3126;254;2872
2013-05-17;3128;254;2874
2013-05-18;3136;254;2882
2013-05-19;3141;254;2887
2013-05-20;3142;254;2888
2013-05-21;3144;254;2890
2013-05-22;3163;254;2909
2013-05-24;3171;254;2917
2013-05-25;3174;254;2920
2013-05-26;3183;254;2929
2013-05-27;3184;254;2930
2013-05-28;3186;254;2932
2013-05-29;3201;254;2947
2013-05-30;3206;254;2952
2013-05-31;3212;254;2958
2013-06-02;3217;254;2963
2013-06-03;3223;254;2969
2013-06-04;3226;254;2972
2013-06-05;3234;254;2980
2013-06-06;3241;254;2987
2013-06-07;3246;254;2992
2013-06-08;3252;254;2998
2013-06-09;3257;254;3003
2013-06-10;3262;254;3008
2013-06-20;3305;253;3052
2013-06-21;3316;254;3062
2013-06-22;3333;254;3079
2013-06-23;3338;254;3084
2013-06-24;3341;254;3087
2013-06-25;3346;254;3092
2013-06-26;3347;254;3093
2013-06-27;3356;254;3102
2013-06-29;3362;254;3108
2013-06-30;3362;254;3108
2013-07-01;3368;254;3114
2013-07-02;3375;254;3121
2013-07-03;3384;254;3130
2013-07-04;3401;254;3147
2013-07-05;3406;254;3152
2013-07-06;3410;254;3156
2013-07-07;3414;254;3160
2013-07-08;3424;254;3170
2013-07-10;3428;254;3174
2013-07-11;3436;253;3183
2013-07-12;3451;253;3198
2013-07-13;3455;253;3202
2013-07-14;3459;253;3206
2013-07-15;3463;253;3210
2013-07-16;3463;253;3210
2013-07-17;3463;253;3210
2013-07-18;3470;253;3217
2013-07-20;3474;253;3221
2013-07-21;3479;253;3226
2013-07-22;3482;253;3229
2013-07-23;3483;253;3230
2013-07-24;3490;253;3237
2013-07-25;3497;253;3244
2013-07-26;3503;253;3250
2013-07-28;3509;253;3256
2013-07-29;3509;253;3256
2013-07-30;3515;253;3262
2013-07-31;3519;253;3266
2013-08-01;3523;253;3270
2013-08-02;3523;253;3270
2013-08-03;3527;253;3274
2013-08-04;3535;253;3282
2013-08-06;3543;253;3290
2013-08-07;3550;253;3297
2013-08-08;3556;253;3303
2013-08-09;3560;253;3307
2013-08-10;3567;253;3314
2013-08-11;3569;253;3316
2013-08-12;3573;253;3320
2013-08-13;3577;253;3324
2013-08-15;3583;253;3330
2013-08-16;3588;253;3335
2013-08-17;3595;253;3342
2013-08-18;3596;253;3343
2013-08-19;3594;253;3341
2013-08-20;3603;253;3350
2013-08-22;3610;252;3358
2013-08-23;3619;252;3367
2013-08-24;3626;252;3374
2013-08-25;3631;252;3379
2013-08-26;3634;252;3382
