date;followers;following;fans
2014-03-07;2084;94;1990
2014-03-09;2075;93;1982
2014-03-11;2068;100;1968
2014-03-13;2071;110;1961
2014-03-15;2063;110;1953
2014-03-17;2061;111;1950
2014-03-19;2069;122;1947
2014-03-21;2070;133;1937
2014-03-23;2013;132;1881
2014-03-25;2010;132;1878
2014-03-27;2009;132;1877
2014-03-29;2003;132;1871
2014-03-31;2002;136;1866
2014-04-02;2001;136;1865
2014-04-04;2003;136;1867
2014-04-06;2004;137;1867
2014-04-08;2002;136;1866
2014-04-10;2000;136;1864
2014-04-12;1999;136;1863
2014-04-14;1999;136;1863
2014-04-16;1995;137;1858
2014-04-18;1996;137;1859
2014-04-20;1998;137;1861
2014-04-22;1997;137;1860
2014-04-24;1994;136;1858
2014-04-26;1994;136;1858
2014-04-28;1992;137;1855
2014-04-30;1990;137;1853
2014-05-02;1988;137;1851
2014-05-04;1987;137;1850
