date;followers;following;fans
2013-04-17;19784;834;18950
2013-04-18;19809;834;18975
2013-04-19;19830;835;18995
2013-04-20;19863;836;19027
2013-04-21;19894;836;19058
2013-04-22;19923;836;19087
2013-04-23;19940;836;19104
2013-04-24;19968;836;19132
2013-04-25;19990;836;19154
2013-04-26;20019;836;19183
2013-04-27;20050;836;19214
2013-04-28;20082;836;19246
2013-04-29;20113;836;19277
2013-04-30;20139;836;19303
2013-05-01;20172;836;19336
2013-05-02;20206;836;19370
2013-05-03;20238;836;19402
2013-05-04;20274;837;19437
2013-05-05;20295;837;19458
2013-05-06;20323;837;19486
2013-05-07;20354;839;19515
2013-05-08;20386;839;19547
2013-05-09;20407;839;19568
2013-05-10;20432;839;19593
2013-05-11;20460;839;19621
2013-05-12;20502;839;19663
2013-05-13;20533;839;19694
2013-05-14;20578;839;19739
2013-05-15;20606;841;19765
2013-05-16;20646;841;19805
2013-05-17;20673;842;19831
2013-05-18;20698;842;19856
2013-05-19;20723;841;19882
2013-05-20;20752;841;19911
2013-05-21;20785;842;19943
2013-05-22;20818;841;19977
2013-05-23;20863;842;20021
2013-05-24;20895;842;20053
2013-05-25;20931;843;20088
2013-05-26;20964;843;20121
2013-05-27;20998;843;20155
2013-05-28;21037;843;20194
2013-05-29;21093;843;20250
2013-05-30;21135;843;20292
2013-05-31;21176;843;20333
2013-06-01;21197;843;20354
2013-06-02;21235;843;20392
2013-06-03;21266;842;20424
2013-06-04;21294;843;20451
2013-06-05;21313;843;20470
2013-06-06;21335;843;20492
2013-06-07;21366;843;20523
2013-06-08;21388;843;20545
2013-06-09;21415;843;20572
2013-06-10;21444;843;20601
2013-06-11;21471;844;20627
2013-06-20;21693;846;20847
2013-06-21;21726;846;20880
2013-06-22;21761;846;20915
2013-06-23;21770;845;20925
2013-06-24;21818;845;20973
2013-06-25;21850;845;21005
2013-06-26;21891;845;21046
2013-06-27;21911;846;21065
2013-06-28;21946;845;21101
2013-06-29;21975;846;21129
2013-06-30;21988;845;21143
2013-07-01;22009;845;21164
2013-07-02;22034;845;21189
2013-07-03;22053;845;21208
2013-07-04;22076;845;21231
2013-07-05;22106;845;21261
2013-07-06;22134;851;21283
2013-07-07;22157;851;21306
2013-07-08;22167;851;21316
2013-07-09;22200;851;21349
2013-07-10;22234;852;21382
2013-07-11;22261;851;21410
2013-07-12;22283;851;21432
2013-07-13;22305;851;21454
2013-07-14;22331;851;21480
2013-07-15;22364;851;21513
2013-07-16;22384;851;21533
2013-07-17;22428;851;21577
2013-07-18;22478;850;21628
2013-07-19;22516;850;21666
2013-07-20;22541;850;21691
2013-07-21;22563;850;21713
2013-07-22;22595;850;21745
2013-07-23;22617;850;21767
2013-07-24;22641;850;21791
2013-07-25;22664;852;21812
2013-07-26;22692;850;21842
2013-07-27;22698;850;21848
2013-07-28;22723;850;21873
2013-07-29;22740;851;21889
2013-07-30;22777;851;21926
2013-07-31;22804;851;21953
2013-08-01;22842;850;21992
2013-08-02;22881;850;22031
2013-08-03;22913;850;22063
2013-08-04;22944;850;22094
2013-08-05;22969;850;22119
2013-08-06;23000;850;22150
2013-08-07;23026;850;22176
2013-08-08;23055;851;22204
2013-08-09;23083;851;22232
2013-08-10;23115;851;22264
2013-08-11;23160;851;22309
2013-08-12;23198;851;22347
2013-08-13;23230;851;22379
2013-08-14;23284;851;22433
2013-08-15;23327;850;22477
2013-08-16;23363;850;22513
2013-08-17;23388;850;22538
2013-08-18;23420;849;22571
2013-08-19;23459;849;22610
2013-08-20;23504;849;22655
2013-08-21;23537;850;22687
2013-08-22;23565;850;22715
2013-08-23;23591;851;22740
2013-08-24;23614;851;22763
2013-08-25;23636;851;22785
2013-08-26;23667;851;22816
2013-08-27;23699;851;22848
2013-08-28;23722;852;22870
2013-08-29;23746;851;22895
2013-08-30;23782;851;22931
2013-08-31;23814;851;22963
2013-09-01;23844;851;22993
2013-09-02;23886;851;23035
2013-09-03;23921;850;23071
2013-09-04;23957;850;23107
2013-09-05;23974;850;23124
2013-09-06;24012;850;23162
2013-09-07;24037;850;23187
2013-09-08;24065;850;23215
2013-09-09;24113;850;23263
2013-09-10;24150;852;23298
2013-09-11;24180;851;23329
2013-09-12;24213;852;23361
2013-09-13;24237;851;23386
2013-09-14;24267;854;23413
2013-09-15;24292;854;23438
2013-09-16;24315;854;23461
2013-09-17;24347;854;23493
2013-09-18;24370;854;23516
2013-09-19;24399;854;23545
2013-09-20;24431;854;23577
2013-09-21;24461;854;23607
2013-09-22;24504;854;23650
2013-09-23;24552;854;23698
2013-09-24;24576;854;23722
2013-09-25;24612;854;23758
2013-09-26;24670;855;23815
2013-09-27;24701;855;23846
2013-09-28;24763;857;23906
2013-09-29;24804;858;23946
2013-09-30;24849;858;23991
2013-10-01;24904;858;24046
2013-10-02;24941;858;24083
2013-10-03;24971;858;24113
2013-10-04;25017;858;24159
2013-10-05;25047;858;24189
2013-10-06;25091;859;24232
2013-10-07;25135;864;24271
2013-10-08;25175;864;24311
2013-10-09;25199;864;24335
2013-10-10;25251;865;24386
2013-10-11;25302;865;24437
2013-10-12;25346;865;24481
2013-10-13;25374;864;24510
2013-10-14;25423;864;24559
2013-10-15;25465;864;24601
2013-10-16;25513;863;24650
2013-10-17;25558;863;24695
2013-10-18;25611;864;24747
2013-10-19;25643;864;24779
2013-10-20;25670;864;24806
2013-10-21;25716;864;24852
2013-10-22;25765;864;24901
2013-10-23;25788;864;24924
2013-10-24;25818;864;24954
2013-10-25;25839;864;24975
2013-10-26;25869;864;25005
2013-10-27;25902;865;25037
2013-10-28;25949;865;25084
2013-10-29;25989;864;25125
2013-10-30;26034;864;25170
2013-10-31;26065;865;25200
2013-11-01;26081;865;25216
2013-11-02;26119;866;25253
2013-11-03;26163;866;25297
2013-11-04;26182;866;25316
2013-11-05;26229;866;25363
2013-11-06;26263;866;25397
2013-11-07;26306;866;25440
2013-11-08;26378;866;25512
2013-11-09;26407;866;25541
2013-11-10;26432;866;25566
2013-11-11;26473;866;25607
2013-11-12;26511;866;25645
2013-11-13;26548;865;25683
2013-11-14;26580;864;25716
2013-11-15;26608;865;25743
2013-11-16;26635;865;25770
2013-11-17;26674;865;25809
2013-11-18;26733;865;25868
2013-11-19;26776;866;25910
2013-11-20;26799;865;25934
2013-11-21;26841;867;25974
2013-11-22;26870;868;26002
2013-11-23;26937;868;26069
2013-11-24;27011;868;26143
2013-11-25;27093;868;26225
2013-11-26;27156;868;26288
2013-11-27;27211;868;26343
2013-11-28;27261;868;26393
2013-11-29;27309;868;26441
2013-11-30;27351;868;26483
2013-12-01;27403;868;26535
2013-12-02;27465;868;26597
2013-12-03;27524;868;26656
2013-12-04;27569;868;26701
2013-12-05;27607;868;26739
2013-12-06;27633;869;26764
2013-12-07;27663;869;26794
2013-12-08;27688;869;26819
2013-12-09;27744;870;26874
2013-12-10;27774;870;26904
2013-12-11;27802;873;26929
2013-12-12;27849;873;26976
2013-12-13;27885;873;27012
2013-12-14;27902;873;27029
2013-12-15;27942;873;27069
2013-12-16;27995;873;27122
2013-12-17;28051;873;27178
2013-12-18;28101;875;27226
2013-12-19;28142;875;27267
2013-12-20;28173;875;27298
2013-12-21;28197;875;27322
2013-12-22;28232;875;27357
2013-12-23;28260;875;27385
2013-12-24;28306;877;27429
2013-12-25;28360;878;27482
2013-12-26;28433;878;27555
2013-12-27;28467;878;27589
2013-12-28;28533;878;27655
2013-12-29;28585;878;27707
2013-12-30;28640;878;27762
2013-12-31;28704;878;27826
2014-01-01;28738;878;27860
2014-01-02;28791;877;27914
2014-01-03;28842;878;27964
2014-01-04;28899;878;28021
2014-01-05;28964;878;28086
2014-01-06;29018;878;28140
2014-01-07;29071;878;28193
2014-01-08;29120;877;28243
2014-01-09;29169;877;28292
2014-01-10;29223;877;28346
2014-01-11;29258;877;28381
2014-01-12;29299;877;28422
2014-01-13;29362;877;28485
2014-01-14;29419;878;28541
2014-01-15;29452;879;28573
2014-01-16;29504;879;28625
2014-01-17;29547;879;28668
2014-01-18;29586;879;28707
2014-01-19;29624;879;28745
2014-01-20;29713;879;28834
2014-01-21;29816;881;28935
2014-01-22;29888;882;29006
2014-01-23;29934;883;29051
2014-01-24;29979;883;29096
2014-01-25;30031;883;29148
2014-01-26;30068;883;29185
2014-01-27;30119;883;29236
2014-01-28;30174;883;29291
2014-01-29;30258;883;29375
2014-01-30;30264;883;29381
2014-01-31;30314;883;29431
2014-02-01;30351;883;29468
2014-02-02;30386;883;29503
2014-02-03;30454;883;29571
2014-02-04;30496;883;29613
2014-02-05;30553;884;29669
2014-02-06;30588;884;29704
2014-02-07;30647;884;29763
2014-02-08;30704;885;29819
2014-02-09;30739;885;29854
2014-02-10;30782;885;29897
2014-02-11;30847;893;29954
2014-02-12;30893;896;29997
2014-02-13;30963;896;30067
2014-02-14;31016;897;30119
2014-02-15;31067;897;30170
2014-02-16;31144;897;30247
2014-02-17;31209;897;30312
2014-02-18;31252;897;30355
2014-02-19;31313;902;30411
2014-02-20;31366;904;30462
2014-02-21;31438;905;30533
2014-02-22;31478;905;30573
