date;followers;following;fans
2013-04-17;3592;4;3588
2013-04-18;3593;4;3589
2013-04-19;3594;4;3590
2013-04-20;3601;4;3597
2013-04-21;3602;4;3598
2013-04-22;3605;4;3601
2013-04-23;3606;4;3602
2013-04-24;3609;4;3605
2013-04-25;3612;4;3608
2013-04-27;3617;4;3613
2013-04-28;3621;4;3617
2013-04-29;3624;4;3620
2013-04-30;3629;4;3625
2013-05-01;3633;4;3629
2013-05-02;3640;4;3636
2013-05-03;3645;4;3641
2013-05-04;3650;4;3646
2013-05-05;3658;4;3654
2013-05-07;3663;4;3659
2013-05-08;3666;4;3662
2013-05-09;3668;4;3664
2013-05-10;3666;4;3662
2013-05-11;3658;4;3654
2013-05-12;3667;4;3663
2013-05-13;3674;4;3670
2013-05-14;3685;4;3681
2013-05-15;3689;4;3685
2013-05-16;3695;4;3691
2013-05-18;3703;4;3699
2013-05-19;3710;4;3706
2013-05-20;3711;4;3707
2013-05-21;3717;4;3713
2013-05-22;3727;4;3723
2013-05-23;3728;4;3724
2013-05-24;3727;4;3723
2013-05-25;3730;4;3726
2013-05-26;3737;4;3733
2013-05-28;3741;4;3737
2013-05-29;3743;4;3739
2013-05-30;3746;4;3742
2013-05-31;3748;4;3744
2013-06-01;3755;4;3751
2013-06-02;3759;4;3755
2013-06-03;3764;4;3760
2013-06-04;3772;4;3768
2013-06-06;3778;4;3774
2013-06-07;3782;4;3778
2013-06-08;3786;4;3782
2013-06-09;3784;4;3780
2013-06-10;3792;4;3788
2013-06-11;3792;4;3788
2013-06-20;3844;4;3840
2013-06-21;3853;4;3849
2013-06-22;3859;4;3855
2013-06-23;3862;4;3858
2013-06-24;3871;4;3867
2013-06-26;3876;4;3872
2013-06-27;3884;4;3880
2013-06-28;3889;4;3885
2013-06-29;3895;4;3891
2013-06-30;3894;4;3890
2013-07-01;3898;4;3894
2013-07-02;3907;4;3903
2013-07-03;3922;4;3918
2013-07-05;3922;4;3918
2013-07-06;3925;4;3921
2013-07-07;3934;4;3930
2013-07-08;3937;4;3933
2013-07-09;3945;4;3941
2013-07-10;3951;4;3947
2013-07-11;3955;4;3951
2013-07-12;3966;4;3962
2013-07-14;3970;4;3966
2013-07-15;3977;4;3973
2013-07-16;3981;4;3977
2013-07-17;3982;4;3978
2013-07-18;3986;4;3982
2013-07-19;3989;4;3985
2013-07-20;3992;4;3988
2013-07-21;4006;4;4002
2013-07-23;4008;4;4004
2013-07-24;4017;4;4013
2013-07-25;4023;4;4019
2013-07-26;4024;4;4020
2013-07-27;4032;4;4028
2013-07-28;4034;4;4030
2013-07-29;4040;4;4036
2013-07-30;4043;4;4039
2013-08-01;4046;4;4042
2013-08-02;4047;4;4043
2013-08-03;4045;4;4041
2013-08-04;4050;4;4046
2013-08-05;4050;4;4046
2013-08-06;4052;4;4048
2013-08-07;4057;4;4053
2013-08-09;4057;4;4053
2013-08-10;4057;4;4053
2013-08-11;4056;4;4052
2013-08-12;4064;4;4060
2013-08-13;4066;4;4062
2013-08-14;4070;4;4066
2013-08-15;4076;4;4072
2013-08-17;4083;4;4079
2013-08-18;4082;4;4078
2013-08-19;4089;4;4085
2013-08-20;4092;4;4088
2013-08-21;4094;4;4090
