date;followers;following;fans
2013-11-17;2028;726;1302
2013-11-19;2037;725;1312
2013-11-21;2035;726;1309
2013-11-23;2031;727;1304
2013-11-25;2032;727;1305
2013-11-27;2032;725;1307
2013-11-29;2030;725;1305
2013-12-01;2027;723;1304
2013-12-03;2026;724;1302
2013-12-05;2023;725;1298
2013-12-07;2023;724;1299
2013-12-09;2031;733;1298
2013-12-11;2063;737;1326
2013-12-13;2068;739;1329
2013-12-15;2068;742;1326
2013-12-17;2069;742;1327
2013-12-19;2066;742;1324
2013-12-21;2066;742;1324
2013-12-23;2065;742;1323
2013-12-25;2066;741;1325
2013-12-27;2066;740;1326
2013-12-29;2066;740;1326
2013-12-31;2081;742;1339
2014-01-02;2083;741;1342
2014-01-04;2080;746;1334
2014-01-06;2078;746;1332
2014-01-08;2077;748;1329
2014-01-10;2077;748;1329
2014-01-12;2077;748;1329
2014-01-14;2077;747;1330
2014-01-16;2080;747;1333
2014-01-18;2082;748;1334
2014-01-20;2084;748;1336
2014-01-22;2087;748;1339
2014-01-24;2087;747;1340
2014-01-26;2088;747;1341
2014-01-28;2090;747;1343
2014-01-30;2090;747;1343
2014-02-01;2092;747;1345
2014-02-03;2093;748;1345
2014-02-05;2088;748;1340
2014-02-07;2092;749;1343
2014-02-09;2094;749;1345
2014-02-11;2092;749;1343
2014-02-13;2092;750;1342
2014-02-15;2090;750;1340
2014-02-17;2093;750;1343
2014-02-19;2097;752;1345
2014-02-21;2225;755;1470
2014-02-23;2261;757;1504
2014-02-25;2271;758;1513
2014-02-27;2290;763;1527
2014-03-01;2294;765;1529
2014-03-03;2302;765;1537
2014-03-05;2305;766;1539
2014-03-07;2304;770;1534
2014-03-09;2306;769;1537
2014-03-11;2311;772;1539
2014-03-13;2304;773;1531
2014-03-15;2310;773;1537
2014-03-17;2310;773;1537
2014-03-19;2316;776;1540
2014-03-21;2315;778;1537
2014-03-23;2321;777;1544
2014-03-25;2329;779;1550
2014-03-27;2327;778;1549
2014-03-29;2329;777;1552
2014-03-31;2331;777;1554
2014-04-02;2337;779;1558
2014-04-04;2337;781;1556
2014-04-06;2337;781;1556
2014-04-08;2336;781;1555
2014-04-11;2340;781;1559
2014-04-13;2344;781;1563
2014-04-15;2346;782;1564
2014-04-17;2353;786;1567
2014-04-19;2376;789;1587
2014-04-21;2385;787;1598
2014-04-23;2388;788;1600
2014-04-25;2388;789;1599
2014-04-27;2388;789;1599
2014-04-29;2391;788;1603
2014-05-01;2394;790;1604
2014-05-03;2393;791;1602
2014-05-05;2395;791;1604
