date;followers;following;fans
2013-10-10;6166;1747;4419
2013-10-11;6159;1747;4412
2013-10-13;6157;1747;4410
2013-10-14;6157;1747;4410
2013-10-15;6155;1747;4408
2013-10-16;6154;1747;4407
2013-10-17;6154;1746;4408
2013-10-19;6146;1746;4400
2013-10-20;6141;1746;4395
2013-10-21;6141;1746;4395
2013-10-22;6140;1746;4394
2013-10-23;6140;1746;4394
2013-10-25;6138;1746;4392
2013-10-26;6136;1746;4390
2013-10-27;6136;1746;4390
2013-10-28;6136;1746;4390
2013-10-29;6133;1746;4387
2013-10-31;6133;1746;4387
2013-11-01;6131;1746;4385
2013-11-02;6129;1745;4384
2013-11-03;6127;1745;4382
2013-11-04;6123;1745;4378
2013-11-06;6121;1745;4376
2013-11-07;6120;1744;4376
2013-11-08;6118;1744;4374
2013-11-09;6114;1744;4370
2013-11-11;6114;1744;4370
2013-11-12;6114;1745;4369
2013-11-13;6114;1745;4369
2013-11-14;6112;1745;4367
2013-11-16;6111;1745;4366
2013-11-17;6109;1745;4364
2013-11-18;6109;1745;4364
2013-11-19;6108;1745;4363
2013-11-20;6103;1745;4358
2013-11-22;6101;1745;4356
2013-11-23;6099;1745;4354
2013-11-24;6099;1745;4354
2013-11-25;6097;1745;4352
2013-11-26;6092;1743;4349
2013-11-28;6090;1743;4347
2013-11-29;6088;1743;4345
2013-11-30;6086;1744;4342
2013-12-01;6080;1744;4336
2013-12-03;6080;1744;4336
2013-12-04;6078;1744;4334
2013-12-05;6079;1744;4335
2013-12-06;6078;1744;4334
2013-12-08;6079;1745;4334
2013-12-09;6078;1745;4333
2013-12-10;6075;1745;4330
2013-12-11;6073;1745;4328
2013-12-13;6069;1745;4324
2013-12-14;6069;1745;4324
2013-12-15;6067;1745;4322
2013-12-16;6066;1745;4321
2013-12-18;6067;1745;4322
2013-12-19;6068;1746;4322
2013-12-20;6067;1746;4321
2013-12-21;6063;1746;4317
2013-12-23;6062;1746;4316
2013-12-24;6063;1746;4317
2013-12-25;6061;1745;4316
2013-12-27;6061;1745;4316
2013-12-28;6061;1745;4316
2013-12-29;6058;1745;4313
2013-12-30;6058;1745;4313
2014-01-01;6058;1745;4313
2014-01-02;6058;1745;4313
2014-01-03;6057;1744;4313
2014-01-05;6058;1744;4314
2014-01-06;6058;1744;4314
2014-01-07;6057;1744;4313
2014-01-08;6056;1744;4312
2014-01-10;6054;1743;4311
2014-01-11;6054;1742;4312
2014-01-12;6049;1742;4307
2014-01-14;6048;1742;4306
2014-01-15;6049;1742;4307
2014-01-16;6050;1742;4308
2014-01-17;6048;1742;4306
2014-01-19;6047;1743;4304
2014-01-20;6046;1743;4303
2014-01-21;6045;1743;4302
2014-01-22;6044;1742;4302
2014-01-24;6043;1742;4301
2014-01-25;6042;1742;4300
2014-01-26;6042;1742;4300
2014-01-28;6040;1741;4299
2014-01-30;6036;1741;4295
2014-01-31;6034;1741;4293
2014-02-01;6035;1741;4294
2014-02-02;6031;1741;4290
2014-02-04;6030;1741;4289
2014-02-05;6027;1741;4286
2014-02-06;6025;1741;4284
2014-02-07;6020;1740;4280
2014-02-09;6020;1740;4280
2014-02-10;6017;1739;4278
2014-02-11;6014;1739;4275
2014-02-13;6011;1739;4272
2014-02-14;6010;1739;4271
2014-02-15;6005;1737;4268
2014-02-17;6000;1737;4263
2014-02-18;5997;1737;4260
2014-02-20;5997;1737;4260
2014-02-21;5994;1737;4257
2014-02-22;5993;1735;4258
2014-02-24;5991;1735;4256
2014-02-25;5990;1736;4254
2014-02-26;5987;1736;4251
2014-02-28;5984;1736;4248
2014-03-01;5985;1736;4249
2014-03-02;5978;1736;4242
2014-03-04;5976;1736;4240
2014-03-05;5974;1737;4237
2014-03-06;5972;1737;4235
2014-03-08;5972;1738;4234
2014-03-09;5972;1738;4234
2014-03-10;5972;1738;4234
2014-03-12;5973;1738;4235
2014-03-13;5973;1738;4235
2014-03-14;5970;1738;4232
2014-03-16;5970;1738;4232
2014-03-17;5970;1738;4232
2014-03-19;5970;1738;4232
2014-03-20;5968;1738;4230
2014-03-21;5969;1738;4231
2014-03-22;5969;1737;4232
2014-03-24;5969;1737;4232
2014-03-25;5970;1737;4233
2014-03-26;5968;1736;4232
2014-03-28;5965;1736;4229
2014-03-29;5963;1736;4227
2014-03-31;5962;1736;4226
2014-04-01;5961;1736;4225
2014-04-02;5961;1736;4225
2014-04-04;5963;1737;4226
2014-04-05;5962;1737;4225
2014-04-06;5960;1737;4223
2014-04-08;5958;1737;4221
2014-04-09;5957;1737;4220
2014-04-10;5957;1737;4220
2014-04-12;5955;1737;4218
2014-04-13;5952;1737;4215
2014-04-14;5950;1737;4213
2014-04-16;5949;1737;4212
2014-04-17;5947;1737;4210
2014-04-19;5946;1737;4209
2014-04-20;5946;1737;4209
2014-04-22;5946;1737;4209
2014-04-23;5944;1737;4207
2014-04-24;5943;1737;4206
2014-04-25;5943;1736;4207
2014-04-27;5942;1736;4206
2014-04-28;5943;1737;4206
2014-04-30;5940;1736;4204
2014-05-01;5940;1736;4204
2014-05-02;5938;1736;4202
2014-05-04;5937;1737;4200
2014-05-05;5935;1737;4198
