date;followers;following;fans
2013-04-18;11055;1423;9632
2013-04-19;11058;1423;9635
2013-04-20;11060;1423;9637
2013-04-21;11068;1424;9644
2013-04-22;11072;1424;9648
2013-04-23;11100;1424;9676
2013-04-24;11113;1424;9689
2013-04-25;11120;1424;9696
2013-04-26;11127;1426;9701
2013-04-27;11148;1426;9722
2013-04-28;11152;1425;9727
2013-04-29;11154;1425;9729
2013-04-30;11164;1424;9740
2013-05-01;11177;1424;9753
2013-05-02;11187;1424;9763
2013-05-03;11199;1424;9775
2013-05-04;11211;1425;9786
2013-05-05;11221;1425;9796
2013-05-06;11232;1425;9807
2013-05-07;11241;1426;9815
2013-05-08;11242;1426;9816
2013-05-09;11317;1430;9887
2013-05-11;11362;1428;9934
2013-05-12;11370;1428;9942
2013-05-13;11375;1428;9947
2013-05-14;11399;1426;9973
2013-05-15;11424;1426;9998
2013-05-16;11430;1427;10003
2013-05-17;11444;1427;10017
2013-05-18;11456;1428;10028
2013-05-19;11467;1430;10037
2013-05-20;11472;1434;10038
2013-05-21;11474;1436;10038
2013-05-22;11491;1437;10054
2013-05-23;11508;1437;10071
2013-05-24;11529;1440;10089
2013-05-25;11546;1444;10102
2013-05-26;11560;1444;10116
2013-05-27;11571;1448;10123
2013-05-28;11602;1449;10153
2013-05-29;11615;1458;10157
2013-05-30;11639;1462;10177
2013-05-31;11659;1463;10196
2013-06-01;11678;1465;10213
2013-06-02;11690;1465;10225
2013-06-03;11699;1467;10232
2013-06-04;11714;1469;10245
2013-06-05;11725;1469;10256
2013-06-06;11754;1474;10280
2013-06-07;11771;1477;10294
2013-06-08;11776;1476;10300
2013-06-09;11784;1476;10308
2013-06-10;11799;1477;10322
2013-06-11;11811;1479;10332
2013-06-20;11903;1483;10420
2013-06-21;11921;1483;10438
2013-06-22;11935;1483;10452
2013-06-23;11944;1483;10461
2013-06-24;11953;1483;10470
2013-06-25;11972;1484;10488
2013-06-26;12030;1484;10546
2013-06-27;12072;1485;10587
2013-06-28;12096;1486;10610
2013-06-29;12108;1487;10621
2013-06-30;12119;1488;10631
2013-07-01;12123;1491;10632
2013-07-02;12141;1492;10649
2013-07-03;12161;1492;10669
2013-07-04;12172;1492;10680
2013-07-05;12186;1494;10692
2013-07-06;12193;1495;10698
2013-07-07;12196;1497;10699
2013-07-08;12208;1498;10710
2013-07-09;12216;1498;10718
2013-07-10;12230;1499;10731
2013-07-11;12248;1501;10747
2013-07-12;12261;1501;10760
2013-07-13;12273;1501;10772
2013-07-14;12293;1503;10790
2013-07-15;12305;1503;10802
2013-07-16;12325;1508;10817
2013-07-17;12351;1511;10840
2013-07-18;12363;1511;10852
2013-07-19;12375;1511;10864
2013-07-20;12382;1510;10872
2013-07-21;12389;1510;10879
2013-07-22;12388;1510;10878
2013-07-23;12396;1511;10885
2013-07-24;12402;1512;10890
2013-07-25;12411;1512;10899
2013-07-26;12421;1515;10906
2013-07-27;12428;1515;10913
2013-07-28;12441;1515;10926
2013-07-29;12454;1515;10939
2013-07-30;12464;1515;10949
2013-07-31;12471;1515;10956
2013-08-01;12490;1515;10975
2013-08-02;12507;1514;10993
2013-08-03;12533;1517;11016
2013-08-04;12536;1518;11018
2013-08-05;12546;1518;11028
2013-08-06;12552;1519;11033
2013-08-07;12563;1519;11044
2013-08-08;12579;1521;11058
2013-08-09;12586;1523;11063
2013-08-10;12598;1523;11075
2013-08-11;12607;1523;11084
2013-08-12;12617;1523;11094
2013-08-13;12629;1523;11106
2013-08-14;12641;1523;11118
