date;followers;following;fans
2013-04-18;2730;53;2677
2013-04-19;2728;53;2675
2013-04-20;2732;53;2679
2013-04-21;2733;53;2680
2013-04-22;2731;53;2678
2013-04-23;2733;53;2680
2013-04-24;2736;53;2683
2013-04-25;2738;53;2685
2013-04-26;2741;53;2688
2013-04-27;2741;53;2688
2013-04-29;2746;53;2693
2013-04-30;2748;53;2695
2013-05-01;2749;53;2696
2013-05-02;2750;53;2697
2013-05-03;2754;53;2701
2013-05-04;2755;53;2702
2013-05-05;2758;53;2705
2013-05-06;2761;53;2708
2013-05-07;2766;53;2713
2013-05-08;2771;53;2718
2013-05-09;2775;53;2722
2013-05-11;2775;53;2722
2013-05-12;2775;53;2722
2013-05-13;2781;53;2728
2013-05-14;2786;53;2733
2013-05-15;2791;53;2738
2013-05-16;2794;53;2741
2013-05-17;2797;53;2744
2013-05-18;2798;53;2745
2013-05-19;2798;53;2745
2013-05-20;2798;53;2745
2013-05-22;2800;53;2747
2013-05-23;2799;53;2746
2013-05-24;2800;53;2747
2013-05-25;2805;53;2752
2013-05-26;2805;53;2752
2013-05-27;2805;53;2752
2013-05-28;2806;53;2753
2013-05-29;2812;53;2759
2013-05-31;2811;53;2758
2013-06-01;2814;53;2761
2013-06-02;2814;53;2761
2013-06-03;2824;53;2771
2013-06-04;2827;53;2774
2013-06-05;2829;53;2776
2013-06-06;2834;53;2781
2013-06-07;2839;53;2786
2013-06-09;2842;53;2789
2013-06-10;2840;53;2787
2013-06-11;2838;53;2785
2013-06-20;2854;53;2801
2013-06-21;2858;53;2805
2013-06-22;2859;53;2806
2013-06-23;2858;53;2805
2013-06-24;2858;53;2805
2013-06-26;2857;53;2804
2013-06-27;2860;53;2807
2013-06-28;2865;53;2812
2013-06-29;2866;53;2813
2013-06-30;2868;53;2815
2013-07-01;2871;53;2818
2013-07-02;2874;53;2821
2013-07-03;2882;53;2829
2013-07-04;2884;53;2831
2013-07-05;2888;53;2835
2013-07-07;2887;53;2834
2013-07-08;2889;53;2836
2013-07-09;2888;53;2835
2013-07-10;2889;53;2836
2013-07-11;2892;53;2839
2013-07-12;2896;53;2843
2013-07-13;2898;53;2845
2013-07-14;2902;53;2849
2013-07-16;2904;53;2851
2013-07-17;2910;53;2857
2013-07-18;2910;53;2857
2013-07-19;2913;53;2860
2013-07-20;2915;53;2862
2013-07-21;2918;53;2865
2013-07-22;2917;53;2864
2013-07-23;2917;53;2864
2013-07-25;2920;53;2867
2013-07-26;2925;53;2872
2013-07-27;2927;53;2874
2013-07-28;2930;53;2877
2013-07-29;2931;53;2878
2013-07-30;2935;62;2873
2013-07-31;2936;62;2874
2013-08-01;2942;63;2879
2013-08-03;2941;63;2878
2013-08-04;2942;63;2879
2013-08-05;2943;63;2880
2013-08-06;2946;63;2883
2013-08-07;2944;63;2881
2013-08-08;2948;63;2885
2013-08-09;2952;63;2889
2013-08-11;2954;63;2891
2013-08-12;2955;63;2892
2013-08-13;2958;63;2895
2013-08-14;2960;63;2897
2013-08-15;2964;63;2901
2013-08-16;2969;63;2906
2013-08-17;2969;63;2906
2013-08-19;2972;63;2909
2013-08-20;2980;63;2917
2013-08-21;2986;63;2923
2013-08-22;2989;63;2926
