date;followers;following;fans
2013-09-10;1176;119;1057
2013-09-12;1182;147;1035
2013-09-14;1184;147;1037
2013-09-16;1189;159;1030
2013-09-18;1195;159;1036
2013-09-20;1202;159;1043
2013-09-22;1210;164;1046
2013-09-24;1223;164;1059
2013-09-26;1232;164;1068
2013-09-28;1239;164;1075
2013-09-30;1242;164;1078
2013-10-02;1246;164;1082
2013-10-04;1250;164;1086
2013-10-06;1252;164;1088
2013-10-08;1256;164;1092
2013-10-10;1258;164;1094
2013-10-12;1260;164;1096
2013-10-14;1266;164;1102
2013-10-16;1268;164;1104
2013-10-18;1269;164;1105
2013-10-20;1274;170;1104
2013-10-22;1277;170;1107
2013-10-24;1278;170;1108
2013-10-26;1280;171;1109
2013-10-28;1285;171;1114
2013-10-30;1292;171;1121
2013-11-01;1301;171;1130
2013-11-03;1303;171;1132
2013-11-05;1311;171;1140
2013-11-07;1314;171;1143
2013-11-09;1323;177;1146
2013-11-11;1328;177;1151
2013-11-13;1333;177;1156
2013-11-15;1337;177;1160
2013-11-17;1339;177;1162
2013-11-19;1343;177;1166
2013-11-21;1345;177;1168
2013-11-23;1349;177;1172
2013-11-25;1355;177;1178
2013-11-27;1357;177;1180
2013-11-29;1360;177;1183
2013-12-01;1365;177;1188
2013-12-03;1375;176;1199
2013-12-05;1385;176;1209
2013-12-07;1413;176;1237
2013-12-09;1427;176;1251
2013-12-11;1434;176;1258
2013-12-13;1449;176;1273
2013-12-15;1453;176;1277
2013-12-17;1456;176;1280
2013-12-19;1458;176;1282
2013-12-21;1461;176;1285
2013-12-23;1462;176;1286
2013-12-25;1465;176;1289
2013-12-27;1477;176;1301
2013-12-29;1485;176;1309
2013-12-31;1507;176;1331
2014-01-02;1513;176;1337
2014-01-04;1523;176;1347
2014-01-06;1533;175;1358
2014-01-08;1539;175;1364
2014-01-10;1543;175;1368
2014-01-12;1559;175;1384
2014-01-14;1569;175;1394
2014-01-16;1577;175;1402
2014-01-18;1585;175;1410
2014-01-20;1602;175;1427
2014-01-22;1619;175;1444
2014-01-24;1629;175;1454
2014-01-26;1635;207;1428
2014-01-28;1646;207;1439
2014-01-30;1650;207;1443
2014-02-01;1655;207;1448
2014-02-03;1657;207;1450
2014-02-05;1665;207;1458
2014-02-07;1670;206;1464
2014-02-09;1671;206;1465
2014-02-11;1670;206;1464
2014-02-13;1676;206;1470
2014-02-15;1677;206;1471
2014-02-17;1679;206;1473
2014-02-19;1683;206;1477
2014-02-21;1684;205;1479
2014-02-23;1687;205;1482
2014-02-25;1693;205;1488
2014-02-27;1694;205;1489
2014-03-01;1692;205;1487
2014-03-03;1696;205;1491
2014-03-05;1703;205;1498
2014-03-07;1707;205;1502
2014-03-09;1709;205;1504
2014-03-11;1711;205;1506
2014-03-13;1717;205;1512
2014-03-15;1715;205;1510
2014-03-17;1720;205;1515
2014-03-19;1720;205;1515
2014-03-21;1723;205;1518
2014-03-23;1729;205;1524
2014-03-25;1731;205;1526
2014-03-27;1735;205;1530
2014-03-29;1737;205;1532
2014-03-31;1741;220;1521
2014-04-02;1749;220;1529
2014-04-04;1751;220;1531
2014-04-06;1758;220;1538
2014-04-08;1764;219;1545
2014-04-10;1768;219;1549
2014-04-12;1769;218;1551
2014-04-14;1769;218;1551
2014-04-16;1773;218;1555
2014-04-18;1775;219;1556
2014-04-20;1778;219;1559
2014-04-22;1780;219;1561
2014-04-24;1787;219;1568
2014-04-26;1789;219;1570
2014-04-28;1794;219;1575
2014-04-30;1795;219;1576
2014-05-02;1798;219;1579
2014-05-04;1799;219;1580
