date;followers;following;fans
2013-04-18;2877;12;2865
2013-04-19;2880;12;2868
2013-04-20;2885;12;2873
2013-04-21;2890;12;2878
2013-04-22;2893;12;2881
2013-04-23;2904;12;2892
2013-04-24;2906;12;2894
2013-04-25;2912;12;2900
2013-04-26;2916;12;2904
2013-04-27;2918;12;2906
2013-04-29;2925;12;2913
2013-04-30;2928;12;2916
2013-05-01;2936;12;2924
2013-05-02;2943;12;2931
2013-05-03;2948;12;2936
2013-05-04;2950;12;2938
2013-05-05;2954;12;2942
2013-05-06;2958;12;2946
2013-05-07;2964;12;2952
2013-05-08;2965;12;2953
2013-05-09;2974;12;2962
2013-05-11;2978;12;2966
2013-05-12;2984;12;2972
2013-05-13;2987;12;2975
2013-05-14;2991;12;2979
2013-05-15;2999;12;2987
2013-05-16;3002;12;2990
2013-05-17;3005;12;2993
2013-05-18;3008;12;2996
2013-05-19;3015;12;3003
2013-05-20;3026;12;3014
2013-05-22;3033;12;3021
2013-05-23;3041;12;3029
2013-05-24;3049;12;3037
2013-05-25;3051;12;3039
2013-05-26;3061;12;3049
2013-05-27;3073;12;3061
2013-05-28;3085;12;3073
2013-05-29;3096;12;3084
2013-05-31;3101;12;3089
2013-06-01;3112;12;3100
2013-06-02;3120;12;3108
2013-06-03;3128;12;3116
2013-06-04;3133;12;3121
2013-06-05;3137;12;3125
2013-06-06;3142;12;3130
2013-06-07;3148;12;3136
2013-06-09;3155;12;3143
2013-06-10;3160;12;3148
2013-06-11;3165;12;3153
2013-06-20;3206;12;3194
2013-06-21;3214;12;3202
2013-06-22;3220;12;3208
2013-06-23;3227;12;3215
2013-06-24;3234;12;3222
2013-06-26;3244;12;3232
2013-06-27;3253;12;3241
2013-06-28;3269;12;3257
2013-06-29;3276;12;3264
2013-06-30;3280;12;3268
2013-07-01;3287;12;3275
2013-07-02;3295;12;3283
2013-07-03;3297;12;3285
2013-07-04;3301;12;3289
2013-07-05;3304;12;3292
2013-07-07;3312;12;3300
2013-07-08;3314;12;3302
2013-07-09;3325;12;3313
2013-07-10;3330;12;3318
2013-07-11;3339;12;3327
2013-07-12;3343;12;3331
2013-07-13;3349;12;3337
2013-07-14;3355;12;3343
2013-07-16;3355;12;3343
2013-07-17;3359;12;3347
2013-07-18;3365;12;3353
2013-07-19;3369;12;3357
2013-07-20;3369;12;3357
2013-07-21;3369;12;3357
2013-07-22;3372;12;3360
2013-07-23;3388;12;3376
2013-07-25;3387;12;3375
2013-07-26;3391;12;3379
2013-07-27;3392;12;3380
2013-07-28;3403;12;3391
2013-07-29;3404;12;3392
2013-07-30;3411;12;3399
2013-07-31;3415;12;3403
2013-08-01;3419;12;3407
2013-08-03;3423;12;3411
2013-08-04;3422;12;3410
2013-08-05;3425;12;3413
2013-08-06;3426;12;3414
2013-08-07;3425;12;3413
2013-08-08;3433;12;3421
2013-08-09;3442;12;3430
2013-08-11;3449;12;3437
2013-08-12;3453;12;3441
2013-08-13;3454;12;3442
2013-08-14;3463;12;3451
2013-08-15;3466;12;3454
2013-08-16;3473;12;3461
2013-08-17;3483;12;3471
2013-08-19;3484;12;3472
2013-08-20;3492;12;3480
2013-08-21;3498;12;3486
2013-08-22;3499;12;3487
2013-08-23;3504;12;3492
2013-08-24;3508;12;3496
2013-08-25;3524;12;3512
2013-08-27;3531;12;3519
2013-08-28;3537;12;3525
2013-08-29;3541;12;3529
2013-08-30;3541;12;3529
2013-08-31;3548;12;3536
2013-09-01;3556;12;3544
2013-09-03;3559;12;3547
2013-09-04;3561;12;3549
2013-09-05;3564;12;3552
2013-09-06;3566;12;3554
2013-09-07;3573;12;3561
2013-09-08;3578;12;3566
2013-09-09;3586;12;3574
2013-09-11;3590;12;3578
2013-09-12;3594;12;3582
2013-09-13;3597;12;3585
2013-09-14;3599;12;3587
2013-09-15;3601;12;3589
2013-09-16;3612;12;3600
2013-09-18;3613;12;3601
2013-09-19;3612;12;3600
2013-09-20;3614;12;3602
2013-09-21;3614;12;3602
2013-09-22;3619;12;3607
2013-09-24;3617;12;3605
2013-09-25;3618;12;3606
2013-09-26;3622;12;3610
2013-09-27;3624;12;3612
2013-09-28;3621;12;3609
2013-09-29;3621;12;3609
2013-10-01;3621;12;3609
2013-10-02;3624;12;3612
2013-10-03;3630;12;3618
2013-10-04;3633;12;3621
2013-10-05;3633;12;3621
2013-10-06;3636;12;3624
2013-10-08;3638;12;3626
2013-10-09;3640;12;3628
2013-10-10;3641;12;3629
2013-10-11;3642;12;3630
2013-10-12;3645;12;3633
2013-10-14;3647;12;3635
2013-10-15;3648;12;3636
2013-10-16;3651;12;3639
2013-10-17;3649;12;3637
2013-10-19;3648;12;3636
2013-10-20;3647;12;3635
2013-10-21;3647;12;3635
2013-10-22;3650;12;3638
2013-10-23;3650;12;3638
2013-10-25;3654;12;3642
2013-10-26;3656;12;3644
2013-10-27;3657;12;3645
2013-10-28;3660;12;3648
2013-10-29;3662;12;3650
2013-10-31;3662;12;3650
2013-11-01;3661;12;3649
2013-11-02;3660;12;3648
2013-11-03;3662;12;3650
2013-11-04;3667;12;3655
2013-11-06;3666;12;3654
2013-11-07;3667;12;3655
2013-11-08;3670;12;3658
2013-11-09;3681;12;3669
2013-11-11;3683;12;3671
2013-11-12;3688;12;3676
2013-11-13;3689;12;3677
2013-11-14;3692;12;3680
2013-11-16;3697;12;3685
2013-11-17;3698;12;3686
2013-11-18;3700;12;3688
2013-11-19;3699;12;3687
2013-11-20;3701;12;3689
2013-11-22;3704;12;3692
2013-11-23;3708;12;3696
2013-11-24;3710;12;3698
2013-11-25;3714;12;3702
2013-11-26;3714;12;3702
2013-11-28;3714;12;3702
2013-11-29;3717;12;3705
2013-11-30;3721;12;3709
2013-12-01;3727;12;3715
2013-12-03;3730;12;3718
2013-12-04;3731;12;3719
2013-12-05;3732;12;3720
2013-12-06;3732;12;3720
2013-12-08;3736;12;3724
2013-12-09;3738;12;3726
2013-12-10;3737;12;3725
2013-12-11;3737;12;3725
2013-12-12;3739;12;3727
2013-12-14;3743;12;3731
2013-12-15;3745;12;3733
2013-12-16;3746;12;3734
2013-12-18;3743;12;3731
2013-12-19;3743;12;3731
2013-12-20;3738;12;3726
2013-12-21;3740;12;3728
2013-12-23;3747;12;3735
2013-12-24;3748;12;3736
2013-12-25;3748;12;3736
2013-12-26;3745;12;3733
2013-12-28;3744;12;3732
2013-12-29;3746;12;3734
2013-12-30;3746;12;3734
2013-12-31;3751;12;3739
2014-01-02;3751;12;3739
2014-01-03;3752;12;3740
2014-01-04;3754;12;3742
2014-01-06;3756;12;3744
2014-01-07;3754;12;3742
2014-01-08;3758;12;3746
2014-01-10;3762;12;3750
2014-01-11;3762;12;3750
2014-01-12;3762;12;3750
2014-01-13;3763;12;3751
2014-01-15;3766;12;3754
2014-01-16;3766;12;3754
2014-01-17;3765;12;3753
2014-01-18;3769;12;3757
2014-01-20;3769;12;3757
2014-01-21;3772;12;3760
2014-01-22;3774;12;3762
2014-01-23;3777;12;3765
2014-01-25;3778;12;3766
2014-01-26;3781;12;3769
2014-01-27;3781;12;3769
2014-01-30;3778;12;3766
2014-01-31;3778;12;3766
2014-02-01;3778;12;3766
2014-02-02;3777;12;3765
2014-02-04;3778;12;3766
2014-02-05;3778;12;3766
2014-02-06;3776;12;3764
2014-02-07;3777;12;3765
2014-02-09;3779;12;3767
2014-02-10;3780;12;3768
2014-02-11;3779;12;3767
2014-02-13;3779;12;3767
2014-02-14;3777;12;3765
2014-02-15;3779;12;3767
2014-02-17;3780;12;3768
2014-02-18;3781;12;3769
2014-02-19;3782;12;3770
2014-02-20;3782;12;3770
2014-02-22;3781;12;3769
2014-02-23;3779;12;3767
2014-02-24;3775;12;3763
2014-02-26;3773;12;3761
2014-02-27;3772;12;3760
2014-02-28;3772;12;3760
2014-03-02;3770;12;3758
2014-03-03;3768;12;3756
2014-03-04;3770;12;3758
2014-03-06;3771;12;3759
2014-03-07;3772;12;3760
2014-03-08;3772;12;3760
2014-03-10;3771;12;3759
2014-03-11;3770;12;3758
2014-03-13;3771;12;3759
2014-03-14;3768;12;3756
2014-03-15;3768;12;3756
2014-03-17;3767;12;3755
2014-03-18;3767;12;3755
2014-03-19;3768;12;3756
2014-03-21;3768;12;3756
2014-03-22;3769;12;3757
2014-03-23;3769;12;3757
2014-03-25;3770;12;3758
2014-03-26;3771;12;3759
2014-03-27;3772;12;3760
2014-03-29;3771;12;3759
2014-03-30;3771;12;3759
2014-04-01;3770;12;3758
2014-04-02;3769;12;3757
2014-04-03;3771;12;3759
2014-04-05;3771;12;3759
2014-04-06;3772;12;3760
2014-04-07;3774;12;3762
2014-04-09;3777;12;3765
2014-04-10;3777;12;3765
2014-04-12;3777;12;3765
2014-04-13;3777;12;3765
2014-04-14;3777;12;3765
2014-04-16;3775;12;3763
2014-04-17;3777;12;3765
2014-04-18;3773;12;3761
2014-04-20;3771;12;3759
2014-04-21;3770;12;3758
2014-04-22;3770;12;3758
2014-04-24;3770;12;3758
2014-04-25;3770;12;3758
2014-04-26;3768;12;3756
2014-04-28;3771;12;3759
2014-04-29;3769;12;3757
2014-04-30;3770;12;3758
2014-05-02;3772;12;3760
2014-05-03;3770;12;3758
2014-05-04;3771;12;3759
2014-05-06;3771;12;3759
