date;followers;following;fans
2013-04-18;1458;299;1159
2013-04-20;1460;299;1161
2013-04-22;1460;299;1161
2013-04-24;1463;299;1164
2013-04-26;1468;299;1169
2013-04-28;1469;299;1170
2013-04-30;1470;299;1171
2013-05-02;1469;299;1170
2013-05-04;1471;299;1172
2013-05-06;1474;299;1175
2013-05-08;1479;299;1180
2013-05-10;1480;298;1182
2013-05-12;1464;293;1171
2013-05-14;1462;295;1167
2013-05-16;1483;299;1184
2013-05-18;1490;299;1191
2013-05-20;1497;299;1198
2013-05-22;1498;299;1199
2013-05-24;1501;299;1202
2013-05-26;1504;300;1204
2013-05-28;1507;300;1207
2013-05-30;1508;300;1208
2013-06-01;1510;300;1210
2013-06-03;1514;300;1214
2013-06-05;1517;300;1217
2013-06-07;1522;300;1222
2013-06-09;1524;300;1224
2013-06-11;1528;300;1228
2013-06-20;1547;300;1247
2013-06-22;1551;300;1251
2013-06-24;1555;300;1255
2013-06-26;1561;300;1261
2013-06-28;1563;300;1263
2013-06-30;1566;300;1266
2013-07-02;1569;300;1269
2013-07-04;1576;300;1276
2013-07-06;1584;300;1284
2013-07-08;1586;300;1286
2013-07-10;1591;300;1291
2013-07-12;1595;300;1295
2013-07-14;1600;308;1292
2013-07-16;1613;308;1305
2013-07-18;1620;308;1312
2013-07-20;1621;308;1313
2013-07-22;1620;308;1312
2013-07-24;1626;308;1318
2013-07-26;1629;308;1321
2013-07-28;1627;307;1320
2013-07-30;1626;308;1318
2013-08-01;1632;308;1324
2013-08-03;1635;311;1324
2013-08-05;1636;311;1325
2013-08-07;1641;311;1330
2013-08-09;1643;311;1332
2013-08-11;1645;311;1334
2013-08-13;1650;311;1339
2013-08-15;1654;311;1343
2013-08-17;1663;311;1352
2013-08-19;1666;311;1355
2013-08-21;1677;311;1366
2013-08-23;1679;314;1365
2013-08-25;1680;314;1366
2013-08-27;1682;314;1368
2013-08-29;1690;314;1376
2013-08-31;1694;315;1379
2013-09-02;1697;315;1382
2013-09-04;1704;318;1386
2013-09-06;1705;319;1386
2013-09-08;1708;319;1389
2013-09-10;1711;319;1392
2013-09-12;1713;319;1394
2013-09-14;1717;319;1398
2013-09-16;1720;319;1401
2013-09-18;1722;320;1402
2013-09-20;1722;320;1402
2013-09-22;1723;320;1403
2013-09-24;1726;320;1406
2013-09-26;1726;320;1406
2013-09-28;1729;320;1409
2013-09-30;1727;320;1407
2013-10-02;1732;320;1412
2013-10-04;1733;320;1413
2013-10-06;1741;320;1421
2013-10-08;1746;320;1426
2013-10-10;1752;320;1432
2013-10-12;1752;320;1432
2013-10-14;1752;320;1432
2013-10-16;1752;319;1433
2013-10-18;1753;319;1434
2013-10-20;1753;319;1434
2013-10-22;1756;319;1437
2013-10-24;1761;319;1442
2013-10-26;1756;319;1437
2013-10-28;1759;319;1440
2013-10-30;1764;319;1445
2013-11-01;1765;319;1446
2013-11-03;1768;319;1449
2013-11-05;1768;319;1449
2013-11-07;1773;319;1454
2013-11-09;1779;318;1461
2013-11-11;1778;318;1460
2013-11-13;1778;318;1460
2013-11-15;1778;318;1460
2013-11-17;1781;318;1463
2013-11-19;1781;318;1463
2013-11-21;1789;318;1471
2013-11-23;1794;318;1476
2013-11-25;1796;318;1478
2013-11-27;1802;318;1484
2013-11-29;1806;318;1488
2013-12-01;1807;318;1489
2013-12-03;1807;318;1489
2013-12-05;1815;318;1497
2013-12-07;1816;318;1498
2013-12-09;1819;318;1501
2013-12-11;1825;318;1507
2013-12-13;1826;318;1508
2013-12-15;1832;318;1514
2013-12-17;1835;318;1517
2013-12-19;1839;318;1521
2013-12-21;1844;318;1526
2013-12-23;1845;318;1527
2013-12-25;1846;318;1528
2013-12-27;1848;318;1530
2013-12-29;1851;318;1533
2013-12-31;1852;318;1534
2014-01-02;1855;318;1537
2014-01-04;1853;318;1535
2014-01-06;1854;318;1536
2014-01-08;1853;317;1536
2014-01-10;1857;318;1539
2014-01-12;1858;318;1540
2014-01-14;1857;318;1539
2014-01-16;1859;317;1542
2014-01-18;1860;317;1543
2014-01-20;1861;317;1544
2014-01-22;1864;317;1547
2014-01-24;1869;317;1552
2014-01-26;1869;317;1552
2014-01-28;1871;317;1554
2014-01-30;1874;317;1557
2014-02-01;1876;317;1559
2014-02-03;1876;317;1559
2014-02-05;1886;317;1569
2014-02-07;1888;317;1571
2014-02-09;1890;317;1573
2014-02-11;1893;317;1576
2014-02-13;1895;317;1578
2014-02-15;1897;317;1580
2014-02-17;1898;317;1581
2014-02-19;1903;317;1586
2014-02-21;1905;317;1588
2014-02-23;1911;317;1594
2014-02-25;1916;317;1599
2014-02-27;1919;317;1602
2014-03-01;1922;317;1605
2014-03-03;1924;317;1607
2014-03-05;1930;317;1613
2014-03-07;1931;317;1614
2014-03-09;1929;317;1612
2014-03-11;1929;317;1612
2014-03-13;1931;317;1614
2014-03-15;1935;317;1618
2014-03-17;1938;317;1621
2014-03-19;1940;317;1623
2014-03-21;1944;317;1627
2014-03-23;1948;317;1631
2014-03-25;1948;317;1631
2014-03-27;1951;317;1634
2014-03-29;1955;317;1638
2014-03-31;1955;317;1638
2014-04-02;1956;317;1639
2014-04-04;1959;317;1642
2014-04-06;1961;317;1644
2014-04-08;1963;317;1646
2014-04-10;1964;317;1647
2014-04-12;1968;317;1651
2014-04-14;1968;317;1651
2014-04-16;1968;317;1651
2014-04-18;1968;317;1651
2014-04-20;1969;317;1652
2014-04-22;1970;317;1653
2014-04-24;1971;317;1654
2014-04-26;1973;317;1656
2014-04-28;1978;317;1661
2014-04-30;1980;317;1663
2014-05-02;1978;317;1661
2014-05-04;1985;317;1668
