date;followers;following;fans
2013-04-18;5593;255;5338
2013-04-19;5593;124;5469
2013-04-20;5581;125;5456
2013-04-21;5619;234;5385
2013-04-22;5621;109;5512
2013-04-23;5607;107;5500
2013-04-24;5599;107;5492
2013-04-25;5589;106;5483
2013-04-26;5576;106;5470
2013-04-27;5567;105;5462
2013-04-28;5557;105;5452
2013-04-29;5540;107;5433
2013-04-30;5535;107;5428
2013-05-01;5556;176;5380
2013-05-02;5542;178;5364
2013-05-03;5535;179;5356
2013-05-04;5527;180;5347
2013-05-05;5545;286;5259
2013-05-06;5547;311;5236
2013-05-07;5589;443;5146
2013-05-08;5605;480;5125
2013-05-09;5627;658;4969
2013-05-10;5650;642;5008
2013-05-11;5636;548;5088
2013-05-12;5625;589;5036
2013-05-13;5623;678;4945
2013-05-14;5620;678;4942
2013-05-15;5613;533;5080
2013-05-16;5601;534;5067
2013-05-17;5625;250;5375
2013-05-18;5630;247;5383
2013-05-19;5716;378;5338
2013-05-20;5749;471;5278
2013-05-21;5759;524;5235
2013-05-22;5781;656;5125
2013-05-23;5784;656;5128
2013-05-24;5800;774;5026
2013-05-25;5817;759;5058
2013-05-26;5836;781;5055
2013-05-27;5843;798;5045
2013-05-28;5946;1170;4776
2013-05-29;5943;1176;4767
2013-05-30;5935;1201;4734
2013-05-31;5960;996;4964
2013-06-01;5945;988;4957
2013-06-02;5981;1200;4781
2013-06-03;5972;1156;4816
2013-06-04;5980;1203;4777
2013-06-05;5969;1165;4804
2013-06-07;5977;1164;4813
2013-06-08;5970;1162;4808
2013-06-09;5957;1162;4795
2013-06-10;5964;177;5787
2013-06-11;5958;96;5862
2013-06-20;5967;83;5884
2013-06-21;5962;83;5879
2013-06-22;5955;92;5863
2013-06-23;5947;90;5857
2013-06-24;5933;102;5831
2013-06-25;5922;104;5818
2013-06-26;5909;121;5788
2013-06-27;5902;131;5771
2013-06-28;5896;131;5765
2013-06-29;5889;164;5725
2013-06-30;5901;211;5690
2013-07-01;5903;219;5684
