date;followers;following;fans
2013-04-17;2031;378;1653
2013-04-19;2066;378;1688
2013-04-21;2120;378;1742
2013-04-22;2167;378;1789
2013-04-25;2218;378;1840
2013-04-27;2267;378;1889
2013-04-28;2351;379;1972
2013-05-01;2454;349;2105
2013-05-03;2564;348;2216
2013-05-05;2656;348;2308
2013-05-07;2770;348;2422
2013-05-09;2877;348;2529
2013-05-10;2941;348;2593
2013-05-11;2991;348;2643
2013-05-12;3057;348;2709
2013-05-13;3113;348;2765
2013-05-14;3176;348;2828
2013-05-15;3234;348;2886
2013-05-16;3293;348;2945
2013-05-17;3359;348;3011
2013-05-18;3406;348;3058
2013-05-19;3461;348;3113
2013-05-21;3529;348;3181
2013-05-22;3573;348;3225
2013-05-23;3622;348;3274
2013-05-24;3673;347;3326
2013-05-25;3732;348;3384
2013-05-26;3782;345;3437
2013-05-27;3839;345;3494
2013-05-28;3895;345;3550
2013-05-29;3956;345;3611
2013-05-31;4006;345;3661
2013-06-01;4071;345;3726
2013-06-02;4126;346;3780
2013-06-03;4174;345;3829
2013-06-04;4227;345;3882
2013-06-05;4271;345;3926
2013-06-06;4318;346;3972
2013-06-08;4382;346;4036
2013-06-09;4450;346;4104
2013-06-10;4508;346;4162
2013-06-11;4547;346;4201
2013-06-20;4981;340;4641
2013-06-21;4982;341;4641
2013-06-22;4979;341;4638
2013-06-23;4979;341;4638
2013-06-24;5009;369;4640
2013-06-26;5022;369;4653
2013-06-27;5025;370;4655
2013-06-28;5034;370;4664
2013-06-29;5034;371;4663
2013-06-30;5033;371;4662
2013-07-01;5031;371;4660
2013-07-02;5030;371;4659
2013-07-03;5031;371;4660
2013-07-04;5031;372;4659
2013-07-06;5031;372;4659
2013-07-07;5029;372;4657
2013-07-08;5032;372;4660
2013-07-09;5031;372;4659
2013-07-10;5029;372;4657
2013-07-11;5034;372;4662
2013-07-12;5035;372;4663
2013-07-13;5032;371;4661
2013-07-15;5031;371;4660
2013-07-16;5034;371;4663
2013-07-17;5036;371;4665
2013-07-18;5042;370;4672
2013-07-19;5044;370;4674
2013-07-20;5045;371;4674
2013-07-21;5049;371;4678
2013-07-22;5050;371;4679
2013-07-24;5047;371;4676
2013-07-25;5046;373;4673
2013-07-26;5045;373;4672
2013-07-27;5038;373;4665
2013-07-28;5032;367;4665
2013-07-29;5031;367;4664
2013-07-30;5034;367;4667
2013-07-31;5028;400;4628
2013-08-02;5029;404;4625
2013-08-03;5031;404;4627
2013-08-04;5033;404;4629
2013-08-05;5032;403;4629
2013-08-06;5034;403;4631
2013-08-07;5031;405;4626
2013-08-08;5035;405;4630
2013-08-10;5033;405;4628
2013-08-11;5029;405;4624
2013-08-12;5030;407;4623
2013-08-13;5031;412;4619
2013-08-14;5031;413;4618
2013-08-15;5028;413;4615
2013-08-16;5034;415;4619
2013-08-18;5038;416;4622
2013-08-19;5039;416;4623
2013-08-20;5044;415;4629
2013-08-21;5044;415;4629
2013-08-22;5040;415;4625
2013-08-23;5042;415;4627
2013-08-24;5043;415;4628
2013-08-26;5045;415;4630
2013-08-27;5048;415;4633
2013-08-28;5046;415;4631
2013-08-29;5044;415;4629
2013-08-30;5044;416;4628
2013-08-31;5045;416;4629
2013-09-02;5040;416;4624
2013-09-03;5040;416;4624
2013-09-04;5043;416;4627
2013-09-05;5044;416;4628
2013-09-06;5043;416;4627
2013-09-07;5042;416;4626
2013-09-08;5044;415;4629
2013-09-10;5043;415;4628
2013-09-11;5043;415;4628
2013-09-12;5044;421;4623
2013-09-13;5043;421;4622
2013-09-14;5044;421;4623
2013-09-15;5044;421;4623
2013-09-17;5045;421;4624
2013-09-18;5048;421;4627
2013-09-19;5049;421;4628
2013-09-20;5050;423;4627
2013-09-21;5048;427;4621
