date;followers;following;fans
2013-04-18;1631;286;1345
2013-04-20;1632;286;1346
2013-04-22;1632;286;1346
2013-04-24;1632;286;1346
2013-04-26;1631;286;1345
2013-04-28;1631;286;1345
2013-04-30;1631;286;1345
2013-05-02;1633;286;1347
2013-05-04;1639;286;1353
2013-05-06;1640;286;1354
2013-05-08;1641;286;1355
2013-05-10;1635;287;1348
2013-05-12;1590;283;1307
2013-05-14;1605;283;1322
2013-05-16;1622;285;1337
2013-05-18;1637;287;1350
2013-05-20;1637;288;1349
2013-05-22;1639;288;1351
2013-05-24;1639;288;1351
2013-05-26;1639;288;1351
2013-05-28;1637;288;1349
2013-05-30;1637;287;1350
2013-06-01;1636;287;1349
2013-06-03;1634;287;1347
2013-06-05;1630;287;1343
2013-06-07;1628;287;1341
2013-06-09;1629;287;1342
2013-06-11;1629;287;1342
2013-06-20;1622;288;1334
2013-06-22;1621;288;1333
2013-06-24;1619;288;1331
2013-06-26;1618;288;1330
2013-06-28;1615;288;1327
2013-06-30;1614;288;1326
2013-07-02;1610;288;1322
2013-07-04;1610;288;1322
2013-07-06;1608;286;1322
2013-07-08;1609;287;1322
2013-07-10;1610;288;1322
2013-07-12;1609;288;1321
2013-07-14;1609;288;1321
2013-07-16;1607;288;1319
2013-07-18;1606;288;1318
2013-07-20;1605;288;1317
2013-07-22;1604;288;1316
2013-07-24;1606;288;1318
2013-07-26;1594;288;1306
2013-07-28;1590;288;1302
2013-07-30;1589;288;1301
2013-08-01;1588;288;1300
2013-08-03;1587;288;1299
2013-08-05;1583;288;1295
2013-08-07;1583;288;1295
2013-08-09;1583;288;1295
2013-08-11;1584;288;1296
2013-08-13;1585;289;1296
2013-08-15;1586;289;1297
2013-08-17;1586;289;1297
2013-08-19;1585;289;1296
2013-08-21;1585;289;1296
2013-08-23;1585;289;1296
2013-08-25;1582;289;1293
2013-08-27;1582;289;1293
2013-08-29;1583;289;1294
2013-08-31;1583;289;1294
2013-09-02;1583;289;1294
2013-09-04;1583;290;1293
2013-09-06;1582;291;1291
2013-09-08;1582;291;1291
2013-09-10;1582;291;1291
2013-09-12;1579;291;1288
2013-09-14;1577;291;1286
2013-09-16;1576;291;1285
2013-09-18;1574;291;1283
2013-09-20;1570;291;1279
2013-09-22;1569;291;1278
2013-09-24;1570;291;1279
2013-09-26;1570;291;1279
2013-09-28;1568;291;1277
2013-09-29;1567;292;1275
2013-10-02;1566;292;1274
2013-10-04;1566;292;1274
2013-10-06;1565;294;1271
2013-10-08;1564;294;1270
2013-10-10;1563;294;1269
2013-10-12;1562;294;1268
2013-10-14;1563;294;1269
2013-10-16;1562;294;1268
2013-10-18;1559;295;1264
2013-10-20;1558;295;1263
2013-10-22;1558;295;1263
2013-10-24;1556;295;1261
2013-10-26;1556;295;1261
2013-10-28;1555;295;1260
2013-10-30;1555;295;1260
2013-11-01;1553;295;1258
2013-11-03;1552;295;1257
2013-11-05;1555;296;1259
2013-11-07;1554;296;1258
2013-11-09;1556;298;1258
2013-11-11;1556;298;1258
2013-11-13;1553;298;1255
2013-11-15;1553;298;1255
2013-11-17;1553;298;1255
2013-11-19;1553;298;1255
2013-11-21;1554;298;1256
2013-11-23;1554;298;1256
2013-11-25;1556;298;1258
2013-11-27;1556;298;1258
2013-11-29;1558;298;1260
2013-12-01;1560;301;1259
2013-12-03;1556;301;1255
2013-12-05;1556;301;1255
2013-12-07;1558;301;1257
2013-12-09;1556;301;1255
2013-12-11;1556;302;1254
2013-12-13;1556;302;1254
2013-12-15;1555;302;1253
2013-12-17;1555;302;1253
2013-12-19;1554;302;1252
2013-12-21;1554;302;1252
2013-12-23;1555;302;1253
2013-12-25;1556;303;1253
2013-12-27;1554;303;1251
2013-12-29;1551;304;1247
