date;followers;following;fans
2013-12-24;3449;2448;1001
2013-12-27;3449;2447;1002
2013-12-29;3448;2447;1001
2013-12-31;3452;2446;1006
2014-01-02;3455;2446;1009
2014-01-04;3453;2446;1007
2014-01-06;3457;2446;1011
2014-01-08;3454;2445;1009
2014-01-10;3456;2445;1011
2014-01-12;3454;2445;1009
2014-01-14;3458;2445;1013
2014-01-16;3459;2446;1013
2014-01-18;3465;2446;1019
2014-01-20;3465;2446;1019
2014-01-22;3466;2446;1020
2014-01-24;3460;2445;1015
2014-01-26;3469;2445;1024
2014-01-28;3475;2445;1030
2014-01-30;3474;2445;1029
2014-02-01;3475;2443;1032
2014-02-03;3473;2443;1030
2014-02-05;3472;2442;1030
2014-02-07;3474;2441;1033
2014-02-09;3475;2441;1034
2014-02-11;3469;2440;1029
2014-02-13;3471;2441;1030
2014-02-15;3469;2441;1028
2014-02-17;3471;2441;1030
2014-02-19;3474;2442;1032
2014-02-21;3477;2442;1035
2014-02-23;3476;2441;1035
2014-02-25;3478;2442;1036
2014-02-27;3476;2442;1034
2014-03-01;3472;2441;1031
2014-03-03;3472;2441;1031
2014-03-05;3467;2439;1028
2014-03-07;3475;2439;1036
2014-03-09;3477;2440;1037
2014-03-11;3478;2440;1038
2014-03-13;3475;2440;1035
2014-03-15;3476;2440;1036
2014-03-17;3473;2440;1033
2014-03-19;3473;2439;1034
2014-03-21;3473;2440;1033
2014-03-23;3473;2440;1033
2014-03-25;3472;2440;1032
2014-03-27;3475;2440;1035
2014-03-29;3478;2440;1038
2014-03-31;3480;2440;1040
2014-04-02;3491;2441;1050
2014-04-04;3499;2441;1058
2014-04-06;3493;2442;1051
2014-04-08;3491;2442;1049
2014-04-10;3495;2443;1052
2014-04-12;3494;2443;1051
2014-04-14;3496;2443;1053
2014-04-16;3501;2442;1059
2014-04-18;3501;2441;1060
2014-04-20;3507;2441;1066
2014-04-22;3504;2440;1064
2014-04-24;3509;2439;1070
2014-04-26;3510;2438;1072
2014-04-28;3506;2437;1069
2014-04-30;3509;2437;1072
2014-05-02;3506;2437;1069
2014-05-04;3508;2437;1071
