date;followers;following;fans
2013-04-17;2995;160;2835
2013-04-18;2995;160;2835
2013-04-19;2995;160;2835
2013-04-20;2997;160;2837
2013-04-21;2999;160;2839
2013-04-22;3001;160;2841
2013-04-23;3002;160;2842
2013-04-24;3003;160;2843
2013-04-25;3004;160;2844
2013-04-27;3004;160;2844
2013-04-28;3007;160;2847
2013-04-29;3011;160;2851
2013-04-30;3014;160;2854
2013-05-01;3017;160;2857
2013-05-02;3020;160;2860
2013-05-03;3019;160;2859
2013-05-04;3022;160;2862
2013-05-05;3027;160;2867
2013-05-07;3028;160;2868
2013-05-08;3031;160;2871
2013-05-09;3034;160;2874
2013-05-10;3037;160;2877
2013-05-11;3029;160;2869
2013-05-12;3031;160;2871
2013-05-13;3036;160;2876
2013-05-14;3045;160;2885
2013-05-15;3053;160;2893
2013-05-16;3064;160;2904
2013-05-18;3071;160;2911
2013-05-19;3072;160;2912
2013-05-20;3073;160;2913
2013-05-21;3079;160;2919
2013-05-22;3084;160;2924
2013-05-23;3085;160;2925
2013-05-24;3085;160;2925
2013-05-25;3087;160;2927
2013-05-26;3095;160;2935
2013-05-28;3099;160;2939
2013-05-29;3100;160;2940
2013-05-30;3101;160;2941
2013-05-31;3103;160;2943
2013-06-01;3104;160;2944
2013-06-02;3106;160;2946
2013-06-03;3108;160;2948
2013-06-04;3113;160;2953
2013-06-06;3116;160;2956
2013-06-07;3118;160;2958
2013-06-08;3120;159;2961
2013-06-09;3120;159;2961
2013-06-10;3124;159;2965
2013-06-11;3122;159;2963
2013-06-20;3137;159;2978
2013-06-21;3139;159;2980
2013-06-22;3141;159;2982
2013-06-23;3146;160;2986
2013-06-24;3148;160;2988
2013-06-26;3151;160;2991
2013-06-27;3155;160;2995
2013-06-28;3156;160;2996
2013-06-29;3165;160;3005
2013-06-30;3163;160;3003
2013-07-01;3169;160;3009
2013-07-02;3172;160;3012
2013-07-03;3180;160;3020
2013-07-05;3179;160;3019
2013-07-06;3180;160;3020
2013-07-07;3180;160;3020
2013-07-08;3181;160;3021
2013-07-09;3184;160;3024
2013-07-10;3183;160;3023
2013-07-11;3186;160;3026
2013-07-12;3192;160;3032
2013-07-14;3190;160;3030
2013-07-15;3192;160;3032
2013-07-16;3193;160;3033
2013-07-17;3192;160;3032
2013-07-18;3192;160;3032
2013-07-19;3196;160;3036
2013-07-20;3198;160;3038
2013-07-21;3203;160;3043
2013-07-23;3206;160;3046
2013-07-24;3206;160;3046
2013-07-25;3209;160;3049
2013-07-26;3210;160;3050
2013-07-27;3212;160;3052
2013-07-28;3211;160;3051
2013-07-29;3213;160;3053
2013-07-30;3214;160;3054
2013-08-01;3214;160;3054
2013-08-02;3216;160;3056
2013-08-03;3217;160;3057
2013-08-04;3220;160;3060
2013-08-05;3226;160;3066
2013-08-06;3227;160;3067
2013-08-07;3232;160;3072
2013-08-09;3233;160;3073
2013-08-10;3231;160;3071
2013-08-11;3233;160;3073
2013-08-12;3236;160;3076
2013-08-13;3237;160;3077
2013-08-14;3236;160;3076
2013-08-15;3240;160;3080
2013-08-17;3246;160;3086
2013-08-18;3248;160;3088
2013-08-19;3251;160;3091
2013-08-20;3257;160;3097
2013-08-21;3259;160;3099
2013-08-22;3262;160;3102
2013-08-23;3274;160;3114
2013-08-25;3278;160;3118
2013-08-26;3279;160;3119
2013-08-27;3281;160;3121
2013-08-28;3286;160;3126
2013-08-29;3289;160;3129
2013-08-30;3295;160;3135
2013-08-31;3301;160;3141
2013-09-02;3304;160;3144
2013-09-03;3311;160;3151
2013-09-04;3312;160;3152
2013-09-05;3314;160;3154
2013-09-06;3313;160;3153
2013-09-07;3316;160;3156
2013-09-09;3323;160;3163
2013-09-10;3328;160;3168
2013-09-11;3328;160;3168
2013-09-12;3332;160;3172
2013-09-13;3337;160;3177
2013-09-14;3339;160;3179
2013-09-16;3339;160;3179
2013-09-17;3344;160;3184
2013-09-18;3345;160;3185
2013-09-19;3347;160;3187
2013-09-20;3351;160;3191
2013-09-21;3359;160;3199
2013-09-23;3359;159;3200
2013-09-24;3361;159;3202
2013-09-25;3361;159;3202
2013-09-26;3368;159;3209
2013-09-27;3370;159;3211
2013-09-29;3376;159;3217
2013-09-30;3382;159;3223
2013-10-01;3386;159;3227
2013-10-02;3385;159;3226
2013-10-03;3392;159;3233
2013-10-05;3394;159;3235
2013-10-06;3398;159;3239
2013-10-07;3400;159;3241
2013-10-08;3402;159;3243
2013-10-09;3404;159;3245
2013-10-11;3408;159;3249
2013-10-12;3415;159;3256
2013-10-13;3419;159;3260
2013-10-14;3420;159;3261
2013-10-15;3422;159;3263
2013-10-17;3421;159;3262
2013-10-18;3426;159;3267
2013-10-19;3428;159;3269
2013-10-20;3432;159;3273
2013-10-21;3437;159;3278
2013-10-23;3440;159;3281
2013-10-24;3442;159;3283
2013-10-25;3448;159;3289
2013-10-26;3449;159;3290
2013-10-27;3450;159;3291
2013-10-28;3451;159;3292
2013-10-30;3455;159;3296
2013-10-31;3459;159;3300
2013-11-01;3459;159;3300
2013-11-02;3461;159;3302
2013-11-03;3462;159;3303
2013-11-05;3461;159;3302
2013-11-06;3461;159;3302
2013-11-07;3461;159;3302
2013-11-08;3465;159;3306
2013-11-10;3474;159;3315
2013-11-11;3473;159;3314
2013-11-12;3475;159;3316
2013-11-13;3475;159;3316
2013-11-14;3478;159;3319
2013-11-16;3481;159;3322
2013-11-17;3486;159;3327
2013-11-18;3487;159;3328
2013-11-19;3493;159;3334
2013-11-21;3497;159;3338
2013-11-22;3498;159;3339
2013-11-23;3502;159;3343
2013-11-24;3500;159;3341
2013-11-26;3505;159;3346
2013-11-27;3509;159;3350
2013-11-28;3510;159;3351
2013-11-29;3513;159;3354
2013-11-30;3513;159;3354
2013-12-02;3514;159;3355
2013-12-03;3516;159;3357
2013-12-04;3523;159;3364
2013-12-05;3528;159;3369
2013-12-07;3529;159;3370
2013-12-08;3532;159;3373
2013-12-09;3541;159;3382
2013-12-10;3544;159;3385
2013-12-12;3546;159;3387
2013-12-13;3549;159;3390
2013-12-14;3551;159;3392
2013-12-15;3555;159;3396
2013-12-17;3560;159;3401
2013-12-18;3564;159;3405
2013-12-19;3565;159;3406
2013-12-20;3567;159;3408
2013-12-22;3567;159;3408
2013-12-23;3572;159;3413
2013-12-24;3572;159;3413
2013-12-25;3575;159;3416
2013-12-27;3581;159;3422
2013-12-28;3585;159;3426
2013-12-29;3586;159;3427
2013-12-31;3596;159;3437
2014-01-01;3598;159;3439
2014-01-02;3599;159;3440
2014-01-03;3607;159;3448
2014-01-05;3614;159;3455
2014-01-06;3614;159;3455
2014-01-07;3611;159;3452
2014-01-09;3619;159;3460
2014-01-10;3625;159;3466
2014-01-11;3631;159;3472
2014-01-12;3639;159;3480
2014-01-14;3645;159;3486
2014-01-15;3650;159;3491
2014-01-16;3656;159;3497
2014-01-18;3666;159;3507
2014-01-19;3670;159;3511
2014-01-20;3669;159;3510
2014-01-21;3677;159;3518
2014-01-23;3680;159;3521
2014-01-24;3684;159;3525
2014-01-25;3687;159;3528
2014-01-26;3688;159;3529
2014-01-28;3691;159;3532
2014-01-30;3693;159;3534
2014-01-31;3700;159;3541
2014-02-01;3703;159;3544
2014-02-02;3710;159;3551
2014-02-04;3713;159;3554
2014-02-05;3718;159;3559
2014-02-06;3719;159;3560
2014-02-08;3727;159;3568
2014-02-09;3733;159;3574
2014-02-10;3737;159;3578
2014-02-12;3742;159;3583
2014-02-13;3742;159;3583
2014-02-14;3746;159;3587
2014-02-15;3748;159;3589
2014-02-17;3751;159;3592
2014-02-18;3756;159;3597
2014-02-20;3765;159;3606
2014-02-21;3763;158;3605
2014-02-22;3765;158;3607
2014-02-24;3766;158;3608
2014-02-25;3772;158;3614
2014-02-26;3772;158;3614
2014-02-28;3782;158;3624
2014-03-01;3783;158;3625
2014-03-02;3784;158;3626
2014-03-04;3794;158;3636
2014-03-05;3796;158;3638
2014-03-06;3798;158;3640
2014-03-08;3802;158;3644
2014-03-09;3807;158;3649
2014-03-10;3812;158;3654
2014-03-12;3817;158;3659
2014-03-13;3818;158;3660
2014-03-14;3827;158;3669
2014-03-16;3835;158;3677
2014-03-17;3837;158;3679
2014-03-18;3840;158;3682
2014-03-20;3838;158;3680
2014-03-21;3840;158;3682
2014-03-22;3844;158;3686
2014-03-24;3850;158;3692
2014-03-25;3854;158;3696
2014-03-26;3857;158;3699
2014-03-28;3858;158;3700
2014-03-29;3859;158;3701
2014-03-31;3865;158;3707
2014-04-01;3865;158;3707
2014-04-02;3871;158;3713
2014-04-03;3879;158;3721
2014-04-05;3882;158;3724
2014-04-06;3889;158;3731
2014-04-07;3892;158;3734
2014-04-09;3895;158;3737
2014-04-10;3896;158;3738
2014-04-12;3899;158;3741
2014-04-13;3901;158;3743
2014-04-14;3906;158;3748
2014-04-16;3908;158;3750
2014-04-17;3912;158;3754
2014-04-18;3916;158;3758
2014-04-20;3921;158;3763
2014-04-21;3924;158;3766
2014-04-22;3925;158;3767
2014-04-24;3932;158;3774
2014-04-25;3931;158;3773
2014-04-26;3932;158;3774
2014-04-28;3935;158;3777
2014-04-29;3935;158;3777
2014-04-30;3938;158;3780
2014-05-02;3939;158;3781
2014-05-03;3943;158;3785
2014-05-04;3944;158;3786
