date;followers;following;fans
2013-04-18;1873;212;1661
2013-04-20;1875;212;1663
2013-04-22;1878;212;1666
2013-04-24;1881;212;1669
2013-04-26;1888;212;1676
2013-04-28;1893;213;1680
2013-04-30;1893;214;1679
2013-05-02;1891;214;1677
2013-05-04;1893;206;1687
2013-05-06;1898;207;1691
2013-05-08;1900;207;1693
2013-05-10;1903;208;1695
2013-05-12;1897;210;1687
2013-05-14;1901;211;1690
2013-05-16;1903;211;1692
2013-05-18;1905;211;1694
2013-05-20;1907;211;1696
2013-05-22;1908;211;1697
2013-05-24;1908;211;1697
2013-05-26;1913;229;1684
2013-05-28;1912;229;1683
2013-05-30;1924;264;1660
2013-06-01;1926;238;1688
2013-06-03;1927;238;1689
2013-06-05;1931;239;1692
2013-06-07;1936;240;1696
2013-06-09;1937;241;1696
2013-06-11;1950;241;1709
2013-06-20;1955;240;1715
2013-06-22;1961;240;1721
2013-06-24;1958;240;1718
2013-06-26;1960;241;1719
2013-06-28;1961;241;1720
2013-06-30;1966;244;1722
2013-07-02;1967;244;1723
2013-07-04;1971;244;1727
2013-07-06;1975;244;1731
2013-07-08;1973;244;1729
2013-07-10;1979;275;1704
2013-07-12;1985;275;1710
2013-07-14;1987;275;1712
2013-07-16;1988;275;1713
2013-07-18;1996;276;1720
2013-07-20;1998;275;1723
2013-07-22;2010;298;1712
2013-07-24;2014;297;1717
2013-07-26;2020;297;1723
2013-07-28;2024;297;1727
2013-07-30;2024;297;1727
2013-08-01;2025;296;1729
2013-08-03;2028;261;1767
2013-08-05;2035;261;1774
2013-08-07;2037;260;1777
2013-08-09;2037;260;1777
2013-08-11;2038;261;1777
2013-08-13;2045;261;1784
2013-08-15;2048;261;1787
2013-08-17;2050;261;1789
2013-08-19;2049;261;1788
2013-08-21;2050;261;1789
2013-08-23;2053;199;1854
2013-08-25;2050;199;1851
2013-08-27;2053;199;1854
2013-08-29;2059;199;1860
2013-08-31;2065;199;1866
2013-09-02;2067;200;1867
